,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,100.25,99.28,99.5,99.49,99.96,100.2,,99.71
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,100.22,99.23,99.55,99.5,100.1,100.22,,99.72
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.89,0,100.74,98.99,99.65,99.74,100.61,100.61,,99.92
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.59,0,100.69,98.79,99.53,99.55,100.4,100.82,,99.79
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.6,0,100.68,98.49,99.3,99.39,100.39,100.53,,99.64
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.52,0,100.74,98.48,99.25,99.37,100.39,100.53,,99.61
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.47,0,100.72,98.3,99.15,99.21,100.42,100.25,,99.5
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.36,0,100.9,98.28,99,99.21,100.6,100.43,,99.52
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.94,98.38,99.25,99.37,100.62,100.78,,99.71
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.51,0,100.95,98.52,99.8,99.82,100.61,100.44,,100.04
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.61,0,100.93,100.73,100.89,100.71,100.52,101.08,,100.76
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.87,0,100,100,99.95,100,99.94,97.47,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.28,0,98.23,97.27,97.5,97.46,97.66,99.91,,97.63
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.11,0,100.32,100.18,100.21,100.17,100.1,100.28,,100.19
