,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.39,0,100.25,99.49,100.31,99.73,100.07,100.2,,99.95
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.26,0,100.23,99.49,100.32,99.73,100.2,100.22,,99.97
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.89,0,100.75,99.34,100.6,100.11,100.71,100.61,,100.27
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,102.26,0,100.83,99.15,100.56,100.28,100.55,100.82,,100.61
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.65,0,100.83,99.12,100.97,99.68,100.55,100.53,,100.14
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.56,0,100.82,98.81,100.96,99.66,100.53,100.53,,100.07
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.49,0,100.85,98.62,100.85,99.66,100.55,100.25,,99.99
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.38,0,100.88,98.61,101.03,99.81,100.72,100.43,,100.09
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.94,98.75,100.91,99.98,100.75,100.78,,100.23
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,102.52,0,100.97,98.91,101.1,100,100.77,100.44,,100.66
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.6,0,100.98,100.73,100.75,100.77,100.68,101,,100.78
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.91,0,99.95,99.97,99.98,99.96,99.94,97.47,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.31,0,98.05,97.29,97.88,97.75,97.68,99.96,,97.73
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.1,0,100.19,100.15,100.15,100.09,100.06,100.02,,100.11
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,100,0,100,100,100,100,100,100,,100
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,97.02,0,97.63,97.46,97.63,97.52,97.44,97.62,,97.53
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.49,0,99.62,99.62,99.68,99.68,99.62,99.67,,99.64
