,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.37,0,99.95,99.28,99.5,99.49,99.85,98.64,,99.5
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,100.18,99.23,99.6,99.5,100.11,98.6,,99.54
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.87,0,100.55,98.99,99.65,99.6,100.61,99.3,,99.62
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.57,0,100.5,98.79,99.53,99.4,100.4,99,,99.42
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.58,0,100.45,98.49,99.3,99.24,100.39,98.7,,99.24
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.51,0,100.45,98.48,99.25,99.22,100.39,98.55,,99.18
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.46,0,100.5,98.3,99.15,99.06,100.42,98.24,,99.08
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.36,0,100.6,98.28,98.9,99.21,100.6,98.2,,99.07
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.52,0,100.61,98.38,99.25,99.21,100.62,98.3,,99.19
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.5,0,100.7,98.52,99.8,99.72,100.6,99.62,,99.85
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.61,0,100.72,100.73,100.72,100.72,100.53,101.08,,100.68
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.85,0,100.1,100.09,99.99,99.99,99.91,99.55,,99.97
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.34,0,97.68,97.3,97.5,97.51,97.71,95.6,,97.47
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.12,0,100.2,100.18,100.23,100.15,100.1,100.15,,100.16
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.96,0,99.97,99.95,99.96,99.97,99.97,99.96,,99.96
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.98,0,97.39,97.18,97.39,97.28,96.98,97.39,,97.24
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.07,0,99.26,99.16,99.26,99.2,99.27,99.36,,99.23
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.73,0,99.87,99.83,99.86,99.86,99.89,99.82,,99.85
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,98.94,0,98.95,99.06,98.94,98.93,98.94,99.06,,98.97
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.73,0,98.66,98.43,98.59,98.66,98.85,98.7,,98.67
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.99,0,99.95,99.95,99.81,99.93,99.86,99.99,,99.94
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.34,0,99.7,99.69,99.6,99.6,99.72,99.69,,99.66
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.67,0,98.61,98.51,98.67,98.66,98.78,98.65,,98.65
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.26,0,99.7,99.67,99.6,99.65,99.71,99.6,,99.64
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.65,0,98.63,98.91,98.9,98.77,98.78,98.77,,98.77
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.6,0,98.59,98.17,98.46,98.49,98.54,98.45,,98.51
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.37,0,95.26,95.52,95.67,95.57,95.62,95.57,,95.53
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.57,0,98.4,97.96,98.42,98.41,98.43,98.4,,98.41
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.45,0,95.29,95.75,95.53,95.6,95.71,95.53,,95.56
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.49,0,98.48,98.78,98.49,98.48,98.4,98.62,,98.51
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.55,0,95.7,96.04,95.7,95.7,95.71,95.7,,95.7
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.34,0,98.43,98.43,98.37,98.4,98.34,98.42,,98.39
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.38,0,98.36,98.36,98.37,98.37,98.32,98.35,,98.36
