Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.35,-0.03
PIBFR10YQ2033-12-14,92.91,0.03
PIBFR10YS2028-05-31,98.51,-0.02
PIBFR10YS2028-06-28,98.49,-0.02
PIBFR10YS2028-08-09,98.75,0.02
PIBFR10YS2029-02-21,98.65,0.02
PIBFR10YS2029-03-21,98.39,-0.01
PIBFR10YS2029-04-18,98.38,0.00
PIBFR10YS2029-05-30,98.19,0.00
PIBFR10YS2029-06-27,98.42,0.04
PIBFR10YS2029-07-25,98.35,0.00
PIBFR10YS2029-08-22,98.56,0.00
PIBFR10YS2030-06-18,99.99,0.00
PIBFR10YS2031-11-04,95.44,-0.07
PIBFR10YS2034-02-07,95.35,-0.11
PIBFR10YS2034-04-18,93.95,0.00
PIBFR10YS2034-09-05,94.43,0.00
PIBFR10YS2034-10-03,93.89,-0.01
PIBFR10YS2034-11-14,92.95,-0.01
PIBFR10YS2034-12-12,92.60,0.01
PIBFR2YQ2025-02-09,99.92,0.01
PIBFR2YQ2025-04-06,99.82,0.01
PIBFR2YQ2025-09-21,99.43,0.01
PIBFR2YS2026-10-03,99.72,-0.01
PIBFR2YS2027-01-09,99.65,0.00
PIBFR3YQ2025-04-07,100.02,0.00
PIBFR3YQ2025-09-08,99.91,-0.01
PIBFR3YQ2026-02-09,99.54,-0.02
PIBFR3YQ2026-09-21,98.92,0.00
PIBFR3YQ2026-10-19,98.79,0.00
PIBFR3YQ2027-02-07,98.76,0.01
PIBFR5YQ2025-10-22,99.31,0.00
PIBFR5YS2025-06-18,100.33,-0.01
PIBFR5YS2026-05-06,99.68,-0.01
PIBFR5YS2027-11-17,98.44,0.01
PIBFR5YS2028-04-06,97.97,0.00
PIBFR5YS2028-08-10,97.78,-0.01
PIBFR5YS2028-09-21,97.85,-0.02
PIBFR5YS2028-10-19,97.65,0.00
PIBFR5YS2028-12-14,97.30,0.00
PIBFR5YS2029-02-07,97.79,-0.03
PIBFR5YS2029-04-18,97.37,-0.01
PIBFR5YS2029-06-27,96.69,0.03
PIBFR5YS2029-09-05,97.53,0.00
PIBFR5YS2029-10-03,97.34,0.00
PIBFR5YS2029-11-14,97.29,-0.02
PIBFR5YS2029-12-12,97.02,0.02
PIBFR5YS2030-01-09,96.62,-0.01
