Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.27,0.01
PIBFR10YQ2033-12-14,95.01,-0.04
PIBFR10YS2028-05-31,98.87,0.00
PIBFR10YS2028-06-28,98.59,-0.10
PIBFR10YS2028-08-09,98.65,-0.03
PIBFR10YS2029-02-21,98.50,-0.01
PIBFR10YS2029-03-21,98.32,-0.05
PIBFR10YS2029-04-18,98.28,-0.04
PIBFR10YS2029-05-30,98.30,-0.01
PIBFR10YS2029-06-27,98.33,-0.02
PIBFR10YS2029-07-25,98.30,-0.03
PIBFR10YS2029-08-22,98.60,0.03
PIBFR10YS2030-06-18,99.93,0.01
PIBFR10YS2031-11-04,95.02,0.00
PIBFR10YS2034-02-07,96.01,0.08
PIBFR10YS2034-04-18,93.64,-0.27
PIBFR10YS2034-09-05,94.38,-0.07
PIBFR10YS2034-10-03,93.87,-0.06
PIBFR10YS2034-11-14,93.35,0.56
PIBFR2YQ2025-02-09,99.81,0.06
PIBFR2YQ2025-04-06,99.68,0.11
PIBFR2YQ2025-09-21,99.24,0.20
PIBFR2YS2026-10-03,99.73,-0.01
PIBFR3YQ2025-04-07,100.06,0.02
PIBFR3YQ2025-09-08,99.57,0.01
PIBFR3YQ2026-02-09,98.96,0.02
PIBFR3YQ2026-09-21,98.92,0.01
PIBFR3YQ2026-10-19,98.64,-0.03
PIBFR3YQ2027-02-07,98.71,-0.01
PIBFR5YQ2025-10-22,99.25,0.07
PIBFR5YS2025-06-18,100.47,-0.01
PIBFR5YS2026-05-06,99.24,0.25
PIBFR5YS2027-11-17,97.49,-0.04
PIBFR5YS2028-04-06,97.55,0.11
PIBFR5YS2028-08-10,97.89,0.00
PIBFR5YS2028-09-21,97.98,-0.01
PIBFR5YS2028-10-19,97.14,0.04
PIBFR5YS2028-12-14,97.53,-0.03
PIBFR5YS2029-02-07,97.90,0.03
PIBFR5YS2029-04-18,96.83,0.03
PIBFR5YS2029-06-27,97.31,-0.05
PIBFR5YS2029-09-05,97.75,0.00
PIBFR5YS2029-10-03,97.45,0.02
PIBFR5YS2029-11-14,96.67,0.02
