,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,99.9,99.28,99.35,99.38,99.86,0,,99.49
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.26,0,99.65,99.23,99.3,99.26,100.24,0,,99.37
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.82,0,99.83,98.99,99.2,99.33,100.73,0,,99.34
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.53,0,99.9,98.79,99,99.1,100.54,0,,99.2
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.56,0,99.95,98.49,98.9,98.93,100.51,0,,99.09
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.49,0,99.96,98.48,98.8,98.93,100.55,0,,99.05
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.46,0,99.99,98.3,98.7,98.91,100.6,0,,99.02
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.38,0,99.99,98.28,98.65,98.92,100.77,0,,98.99
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.48,0,99.97,98.38,98.75,98.72,100.76,0,,98.98
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.79,0,99.96,98.52,99.3,98.32,100.76,0,,99.14
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.63,0,100,100.73,100.37,99.99,100.74,0,,100.27
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.8,0,100.11,100.1,99.89,99.83,99.88,0,,99.93
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.3,0,97.3,97.3,97.1,97.11,97.68,0,,97.25
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.15,0,100.18,100.18,100.17,100.17,100.13,0,,100.17
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.94,0,99.9,100.02,99.94,99.97,100.02,0,,99.97
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.97,0,96.96,96.97,96.97,96.96,96.92,0,,96.97
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.05,0,98.75,98.75,98.85,98.85,99.26,0,,98.88
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.69,0,99.6,99.83,99.86,99.81,99.87,0,,99.8
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,98.92,0,98.8,98.69,98.69,98.69,98.8,0,,98.75
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.69,0,98.17,98.43,98.31,98.43,98.69,0,,98.47
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.82,0,99.7,99.98,99.9,99.91,99.93,0,,99.89
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.31,0,99.4,99.69,99.6,99.6,99.71,0,,99.57
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.65,0,98.12,98.51,98.52,98.52,98.62,0,,98.54
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.21,0,99.25,99.67,99.6,99.56,99.69,0,,99.52
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.63,0,98.36,98.63,98.61,98.5,98.58,0,,98.58
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.59,0,98.18,98.17,98.17,98.26,98.54,0,,98.29
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.36,0,94.75,95.64,95.01,95.36,95.67,0,,95.34
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.53,0,97.95,98.24,98.1,98.18,98.38,0,,98.23
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.41,0,94.75,95.75,95.26,95.46,95.77,0,,95.47
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.47,0,98.18,98.47,98.18,98.24,98.38,0,,98.32
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.54,0,95.28,96.04,95.54,95.39,95.79,0,,95.57
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.36,0,97.83,97.84,97.9,97.9,97.9,0,,97.89
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.35,0,97.93,97.87,97.87,97.87,98.28,0,,97.99
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.12,0,95.27,95.63,95.12,95.38,95.43,0,,95.3
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.73,0,99.6,99.87,99.75,99.78,99.84,0,,99.78
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.33,0,97.84,98,97.84,97.84,98,0,,97.92
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.1,0,95.1,95.62,95.1,95.36,95.63,0,,95.3
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.25,0,99,99.62,99.25,99.19,99.52,0,,99.3
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.32,0,97.82,98.48,98.15,97.99,98.15,0,,98.15
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.14,0,95.3,95.93,95.66,95.45,95.61,0,,95.51
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.29,0,97.64,97.78,97.78,97.78,97.85,0,,97.8
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.09,0,94.82,95.78,94.71,95.12,94.98,0,,95
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.71,0,99.43,99.96,99.8,99.84,99.98,0,,99.83
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,97.7,97.91,97.94,97.94,97.84,0,,97.91
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.36,0,95.09,95.86,95.36,95.36,95.57,0,,95.41
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.18,0,97.76,98.18,97.83,98.01,97.83,0,,97.96
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.44,0,95.11,95.54,95.27,95.27,95.22,0,,95.3
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.14,0,95.09,95.31,95.14,95.14,95.25,0,,95.17
