,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0.00,98.01,98.11,98.05,98.05,97.75,0.00,98.00,,98.00
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0.00,97.97,98.14,98.00,97.97,97.75,0.00,97.95,,97.96
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0.00,98.46,98.75,98.45,98.47,98.10,0.00,98.45,,98.45
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0.00,98.40,98.64,98.35,98.38,98.10,0.00,98.37,,98.37
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0.00,98.44,98.99,98.35,98.43,98.35,0.00,98.40,,98.49
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0.00,98.44,98.56,98.40,98.44,98.10,0.00,98.42,,98.39
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0.00,98.44,98.43,98.40,98.44,98.10,0.00,98.42,,98.37
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0.00,98.53,98.63,98.45,98.52,98.15,0.00,98.50,,98.46
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0.00,98.50,98.70,98.50,98.49,98.15,0.00,98.49,,98.47
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0.00,98.47,98.70,98.40,98.47,98.15,0.00,98.35,,98.42
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,0.00,99.85,99.44,99.40,99.32,99.35,0.00,99.32,,99.45
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,0.00,98.06,98.26,98.45,98.54,98.20,0.00,98.50,,98.34
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,0.00,98.43,98.58,98.45,98.43,98.35,0.00,98.42,,98.44
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,0.00,94.60,94.99,94.70,94.60,95.00,0.00,94.60,,94.75
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,0.00,98.50,98.45,98.35,98.48,98.46,0.00,98.47,,98.45
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,0.00,99.46,99.47,99.42,99.46,99.48,0.00,99.45,,99.46
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,0.00,99.04,99.05,99.00,99.02,98.97,0.00,99.01,,99.02
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,0.00,98.63,98.73,98.70,98.67,98.79,0.00,98.66,,98.70
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,0.00,99.27,99.44,99.25,99.29,99.27,0.00,99.28,,99.30
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,0.00,95.53,95.50,95.60,95.50,95.43,0.00,95.51,,95.51
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,0.00,97.39,97.32,97.10,97.39,96.82,0.00,97.38,,97.23
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,0.00,98.87,99.13,99.00,99.00,98.87,0.00,98.99,,98.98
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,0.00,98.36,98.49,98.40,98.43,98.27,0.00,98.40,,98.39
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,0.00,98.73,99.02,99.00,98.96,98.47,0.00,98.95,,98.86
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,0.00,97.27,97.40,97.25,97.39,97.26,0.00,97.38,,97.33
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,0.00,96.97,97.32,97.15,97.13,97.10,0.00,97.13,,97.13
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,0.00,98.47,98.69,98.65,98.66,98.66,0.00,98.66,,98.63
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,0.00,98.23,98.13,98.15,98.19,98.15,0.00,98.19,,98.17
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,0.00,97.38,97.36,97.50,97.33,97.33,0.00,97.33,,97.37
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,0.00,98.20,98.08,98.35,98.38,98.14,0.00,98.38,,98.26
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,0.00,97.22,97.14,97.25,97.22,97.22,0.00,97.22,,97.21
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,0.00,96.87,96.79,97.05,96.82,96.82,0.00,96.82,,96.86
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,0.00,94.85,94.59,94.60,94.60,94.49,0.00,94.60,,94.62
