,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.22,98.1,98,98,98.01,98.05,98.05,98.09,,98.05
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.16,98.05,97.92,98,97.92,98,97.95,98.05,,98
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.55,98.63,98.35,98.4,98.35,99.38,98.4,98.51,,98.47
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.19,98.2,98.21,98.2,98.21,99.49,98.25,98.43,,98.25
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.54,98.42,98.17,98.25,98.17,98.14,98.23,98.46,,98.28
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.41,98.39,98.1,98.25,98.26,98.16,98.15,98.32,,98.26
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.25,98.21,98.25,98.2,98.31,98.24,98.28,98.36,,98.26
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.31,98.3,98.3,98.2,98.45,98.15,98.32,98.3,,98.29
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.41,98.32,98.27,98.2,98.29,98.15,98.3,98.25,,98.27
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.48,98.55,98.24,98.2,98.24,99.62,98.27,98.39,,98.36
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.13,100.33,100.33,100.2,103.33,100.2,100.38,100.11,,100.26
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.77,100.04,99.88,99.9,99.9,99.85,99.9,100.04,,99.91
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.01,98.71,99.1,99.53,99.17,99.13,99.08,98.71,,99.03
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.91,95.71,95.28,96.18,95.8,94.94,95.25,95.59,,95.43
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.36,99.23,99.31,99.32,99.36,99.23,99.33,99.35,,99.32
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,99.99,100,99.99,99.99,99.99,99.98,99.95,99.95,,99.98
