,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.96,0,100.1,99.49,100.3,99.73,100.07,100.07,,99.99
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.26,0,100.2,99.49,100.32,99.73,100.2,100.22,,99.97
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.89,0,100.7,99.34,100.59,100.11,100.71,100.46,,100.24
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,102.24,0,100.8,99.15,100.68,100.28,100.54,100.69,,100.6
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.66,0,100.8,99.12,100.78,99.68,100.55,100.53,,100.13
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.57,0,100.82,98.81,100.82,99.66,100.53,100.53,,100.07
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.5,0,100.85,98.62,100.85,99.66,100.55,100.25,,99.99
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.38,0,100.88,98.61,101.02,99.81,100.71,100.43,,100.09
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.94,98.75,100.9,99.98,100.74,100.78,,100.23
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,102.5,0,100.97,98.91,101.08,100.77,100.77,100.77,,100.87
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.6,0,100.98,100.68,100.75,100.77,100.86,101,,100.81
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.93,0,99.95,99.97,99.98,99.96,99.94,97.47,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.32,0,97.9,97.29,97.88,97.75,97.69,99.96,,97.71
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.1,0,100.06,100.15,100.06,100.09,100.02,100.09,,100.08
PIB-FRB-15,4-Nov-21,4-Nov-31,Half-Yearly,97.03,0,97.63,97.46,97.63,97.52,97.44,97.62,,97.53
PIB-FRB-16,17-Nov-22,17-Nov-27,Half-Yearly,99.49,0,99.62,99.62,99.68,99.68,99.64,99.67,,99.65
PIB-FRB-17,9-Feb-23,9-Feb-26,Quarterly,99.97,0,99.95,99.93,99.94,99.95,99.97,99.89,,99.95
PIB-FRB-18,6-Apr-23,6-Apr-28,Half-Yearly,99.12,0,99.16,99.14,99.14,99.14,99.12,99.16,,99.14
PIB-FRB-19,10-Aug-23,10-Aug-28,Half-Yearly,99.01,0,98.91,98.88,98.89,98.88,99.01,99.01,,98.94
PIB-FRB-20,21-Sep-23,21-Sep-25,Quarterly,100,0,99.98,99.98,99.98,99.94,99.96,99.99,,99.98
PIB-FRB-21,21-Sep-23,21-Sep-26,Quarterly,99.42,0,99.84,99.84,99.89,99.79,99.8,99.69,,99.79
PIB-FRB-22,21-Sep-23,21-Sep-28,Half-Yearly,99,0,99,99.02,98.95,99,99,98.94,,98.99
PIB-FRB-23,19-Oct-23,19-Oct-26,Quarterly,99.32,0,99.75,99.67,99.72,99.67,99.75,99.6,,99.68
PIB-FRB-24,19-Oct-23,19-Oct-28,Half-Yearly,98.96,0,99.15,99.07,98.96,98.91,98.96,98.96,,98.98
PIB-FRB-25,14-Dec-23,14-Dec-28,Half-Yearly,98.63,0,98.89,98.74,98.9,98.84,98.9,98.75,,98.82
PIB-FRB-26,14-Dec-23,14-Dec-33,Half-Yearly,95.7,0,96.14,96.15,96.15,96.15,96.11,96.19,,96.14
PIB-FRB-27,7-Feb-24,7-Feb-29,Half-Yearly,98.59,0,98.92,98.73,98.73,98.87,98.87,98.82,,98.8
PIB-FRB-28,7-Feb-24,7-Feb-34,Half-Yearly,95.63,0,95.99,95.84,95.99,95.99,95.89,96.09,,95.94
PIB-FRB-29,18-Apr-24,18-Apr-29,Half-Yearly,98.83,0,98.95,98.96,98.83,98.83,98.78,98.77,,98.84
PIB-FRB-30,18-Apr-24,18-Apr-34,Half-Yearly,95.86,0,96.1,96.09,96.09,96.05,96.06,95.91,,96.04
PIB-FRB-31,27-Jun-24,27-Jun-29,Half-Yearly,98.76,0,98.75,98.59,98.76,98.72,98.67,98.69,,98.72
PIB-FRB-32,5-Sep-24,5-Sep-29,Half-Yearly,98.74,0,98.61,98.61,98.64,98.61,98.58,98.61,,98.62
PIB-FRB-33,5-Sep-24,5-Sep-34,Half-Yearly,95.61,0,95.98,95.68,95.71,95.84,95.87,95.94,,95.81
PIB-FRB-34,3-Oct-24,3-Oct-26,Half-Yearly,99.79,0,99.82,99.87,99.8,99.8,99.88,99.78,,99.82
PIB-FRB-35,3-Oct-24,3-Oct-29,Half-Yearly,98.72,0,98.8,98.61,98.66,98.65,98.63,98.71,,98.67
PIB-FRB-36,3-Oct-24,3-Oct-34,Half-Yearly,95.71,0,95.94,95.79,95.95,95.9,95.97,95.94,,95.9
PIB-FRB-37,7-Feb-24,7-Feb-27,Quarterly,99.44,0,99.66,99.62,99.4,99.47,99.54,98.8,,99.49
PIB-FRB-38,14-Nov-24,14-Nov-29,Half-Yearly,98.84,0,98.83,98.68,98.68,98.77,98.56,98.74,,98.74
PIB-FRB-39,14-Nov-24,14-Nov-34,Half-Yearly,96.22,0,95.95,95.78,96.21,95.96,95.91,95.94,,95.99
PIB-FRB-40,12-Dec-24,12-Dec-29,Half-Yearly,98.65,0,98.8,98.64,98.64,98.64,98.48,98.74,,98.66
PIB-FRB-41,12-Dec-24,12-Dec-34,Half-Yearly,95.82,0,95.81,95.81,95.8,95.81,95.81,95.79,,95.81
PIB-FRB-42,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.85,99.98,99.8,99.85,99.79,100,,99.85
PIB-FRB-43,9-Jan-25,9-Jan-30,Half-Yearly,98.56,0,98.62,98.62,98.56,98.56,98.49,98.62,,98.58
PIB-FRB-44,9-Jan-25,9-Jan-35,Half-Yearly,95.79,0,95.76,95.76,95.76,95.76,95.76,95.48,,95.76
PIB-FRB-45,17-Apr-25,17-Apr-30,Half-Yearly,98.53,0,98.69,98.75,98.6,98.59,98.52,98.58,,98.6
PIB-FRB-46,17-Apr-25,17-Apr-35,Half-Yearly,95.61,0,95.86,95.67,95.96,95.81,95.87,95.85,,95.81
PIB-FRB-47,29-May-25,29-May-35,Half-Yearly,95.45,0,95.72,95.77,95.72,95.72,95.72,95.71,,95.72
PIB-FRB-48,10-Jul-25,10-Jul-35,Half-Yearly,95.64,0,95.64,95.75,95.64,95.64,95.64,95.69,,95.65
