Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.11,0.52,,,
PIBFR10YQ2033-12-14,95.48,0.04,,,
PIBFR10YS2028-05-31,99.48,0.07,,,
PIBFR10YS2028-06-28,99.37,0.03,,,
PIBFR10YS2028-08-09,99.21,-0.02,,,
PIBFR10YS2029-02-21,99.21,0.11,,,
PIBFR10YS2029-03-21,99.04,0.09,,,
PIBFR10YS2029-04-18,98.95,0.10,,,
PIBFR10YS2029-05-30,98.84,0.12,,,
PIBFR10YS2029-06-27,98.81,0.12,,,
PIBFR10YS2029-07-25,98.89,0.12,,,
PIBFR10YS2029-08-22,99.22,-0.11,,,
PIBFR10YS2030-06-18,100.82,0.06,,,
PIBFR10YS2031-11-04,96.96,-0.02,,,
PIBFR10YS2034-02-07,95.54,0.00,,,
PIBFR10YS2034-04-18,95.73,0.02,,,
PIBFR10YS2034-09-05,95.36,0.00,,,
PIBFR10YS2034-10-03,95.36,-0.08,,,
PIBFR10YS2034-11-14,95.47,-0.06,,,
PIBFR10YS2034-12-12,95.12,0.03,,,
PIBFR10YS2035-01-09,95.41,0.02,,,
PIBFR10YS2035-04-17,95.30,-0.05,,,
PIBFR10YS2035-05-29,95.18,-0.07,,,
PIBFR2YQ2025-09-21,99.91,0.00,,,
PIBFR2YS2026-10-03,99.78,0.00,,,
PIBFR2YS2027-01-09,99.87,0.01,,,
PIBFR3YQ2025-09-08,99.97,0.00,,,
PIBFR3YQ2026-02-09,99.79,-0.01,,,
PIBFR3YQ2026-09-21,99.59,-0.01,,,
PIBFR3YQ2026-10-19,99.51,-0.02,,,
PIBFR3YQ2027-02-07,99.18,-0.07,,,
PIBFR5YQ2025-10-22,99.89,0.03,,,
PIBFR5YS2025-06-18,100.00,-0.01,,,
PIBFR5YS2026-05-06,100.16,-0.01,,,
PIBFR5YS2027-11-17,98.93,-0.06,,,
PIBFR5YS2028-04-06,98.78,-0.08,,,
PIBFR5YS2028-08-10,98.56,-0.03,,,
PIBFR5YS2028-09-21,98.58,-0.12,,,
PIBFR5YS2028-10-19,98.63,-0.07,,,
PIBFR5YS2028-12-14,98.36,-0.07,,,
PIBFR5YS2029-02-07,98.31,-0.03,,,
PIBFR5YS2029-04-18,98.41,-0.06,,,
PIBFR5YS2029-06-27,98.12,-0.11,,,
PIBFR5YS2029-09-05,98.24,-0.09,,,
PIBFR5YS2029-10-03,98.10,-0.07,,,
PIBFR5YS2029-11-14,98.18,-0.14,,,
PIBFR5YS2029-12-12,97.86,-0.02,,,
PIBFR5YS2030-01-09,97.95,0.00,,,
PIBFR5YS2030-04-17,98.04,-0.06,,,
