,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,98.1,97.87,97.75,97.88,98.05,0,98.15,,98.01
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,98.05,97.86,97.75,97.86,98,0,98.1,,97.97
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,98.63,98.43,98.05,98.39,98.29,0,98.35,,98.35
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,98.2,98.35,98.1,98.14,98.29,0,98.2,,98.21
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,98.42,98.42,98.35,98.03,98.14,0,98.15,,98.24
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,98.39,98.77,98.1,97.98,98.16,0,98.5,,98.33
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,98.21,98.21,98.1,98.01,98.24,0,98.11,,98.15
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.3,98.36,98.15,98.05,98.15,0,98.15,,98.18
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,98.32,98.38,98.15,98.16,98.15,0,98.35,,98.27
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,98.55,98.42,98.15,98.35,98.05,0,98.18,,98.24
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.98,99.89,99.9,99.74,99.92,0,99.86,,99.88
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,97.96,98.48,98.17,97.86,98.45,0,98.45,,98.29
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.2,98.71,98.39,98.35,98.92,98.34,0,98.38,,98.43
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,95.71,94.6,95,95.28,94.94,0,94.95,,95.01
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.82,98.75,98.74,98.82,98.68,98.74,0,98.71,,98.75
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.89,99.9,99.9,99.89,99.84,99.9,0,99.89,,99.89
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.47,99.51,99.5,99.5,99.51,98.93,0,99.45,,99.49
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.7,99.02,98.82,99.1,99,99.11,0,98.9,,98.97
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.82,99.84,99.83,99.73,99.83,99.77,0,99.79,,99.81
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.6,95.6,95.57,95.57,95.6,95.56,0,95.56,,95.58
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.15,97.73,97.27,97.72,97.38,97.5,0,97.27,,97.43
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.29,99.35,99.4,99.22,99.24,99.3,0,99.25,,99.29
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.45,98.75,98.52,98.73,98.75,98.72,0,98.51,,98.65
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.15,99.12,99.17,99.03,98.94,99.16,0,99.15,,99.12
PIB-FRB-25,6-Apr-23,6-Apr-28,Half-Yearly,97.23,97.24,97.22,97.24,97.22,97.24,0,97.2,,97.23
PIB-FRB-26,10-Aug-23,10-Aug-28,Half-Yearly,96.77,96.85,96.82,96.87,96.8,96.87,0,96.81,,96.83
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.75,98.6,98.78,98.41,98.5,98.82,0,98.63,,98.65
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,98.2,98.01,98.06,98.16,98.53,0,98.09,,98.11
PIB-FRB-29,21-Sep-23,21-Sep-28,Half-Yearly,96.25,96.6,96.72,96.7,96.25,96.51,0,96.3,,96.47
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.12,98.08,98.17,98.13,98.03,98.5,0,98.15,,98.13
PIB-FRB-31,19-Oct-23,19-Oct-28,Half-Yearly,96.77,96.96,96.97,97.01,97.02,97.01,0,96.95,,96.98
PIB-FRB-32,14-Dec-23,14-Dec-28,Half-Yearly,96.88,96.85,96.86,96.86,96.83,96.8,0,96.88,,96.86
PIB-FRB-33,14-Dec-23,14-Dec-33,Half-Yearly,94.52,94.91,95,94.71,94.39,94.9,0,94.52,,94.71
PIB-FRB-34,7-Feb-24,7-Feb-29,Half-Yearly,96.33,96.62,96.59,96.73,96.73,96.62,0,96.7,,96.65
PIB-FRB-35,7-Feb-24,7-Feb-34,Half-Yearly,94.5,94.85,95.08,94.85,94.7,94.97,0,94.5,,94.77
PIB-FRB-36,18-Apr-24,18-Apr-29,Half-Yearly,96.87,96.79,96.82,96.82,96.77,96.81,0,96.79,,96.81
PIB-FRB-37,18-Apr-24,18-Apr-34,Half-Yearly,95.04,94.83,95.05,94.83,94.68,95.01,0,95.04,,94.95
PIB-FRB-38,27-Jun-24,27-Jun-29,Half-Yearly,96.74,96.76,96.74,96.77,96.74,96.73,0,96.77,,96.75
