Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,96.04,-0.10,,
PIBFR10YQ2033-12-14,94.73,-0.02,,
PIBFR10YS2028-05-31,99.15,-0.09,,
PIBFR10YS2028-06-28,99.24,-0.07,,
PIBFR10YS2028-08-09,99.27,-0.04,,
PIBFR10YS2029-02-21,99.13,-0.05,,
PIBFR10YS2029-03-21,98.91,-0.02,,
PIBFR10YS2029-04-18,98.81,-0.05,,
PIBFR10YS2029-05-30,98.46,-0.07,,
PIBFR10YS2029-06-27,98.63,0.07,,
PIBFR10YS2029-07-25,98.56,-0.10,,
PIBFR10YS2029-08-22,99.17,-0.05,,
PIBFR10YS2030-06-18,100.09,-0.07,,
PIBFR10YS2031-11-04,96.55,-0.06,,
PIBFR10YS2034-02-07,94.55,-0.09,,
PIBFR10YS2034-04-18,94.93,0.01,,
PIBFR10YS2034-09-05,94.49,-0.07,,
PIBFR10YS2034-10-03,94.47,-0.05,,
PIBFR10YS2034-11-14,94.56,-0.04,,
PIBFR10YS2034-12-12,94.70,0.18,,
PIBFR10YS2035-01-09,94.60,-0.15,,
PIBFR10YS2035-04-17,95.06,-0.02,,
PIBFR2YQ2025-09-21,99.94,0.00,,
PIBFR2YS2026-10-03,99.71,-0.04,,
PIBFR2YS2027-01-09,99.79,-0.11,,
PIBFR3YQ2025-09-08,99.92,0.02,,
PIBFR3YQ2026-02-09,99.77,0.02,,
PIBFR3YQ2026-09-21,99.31,-0.03,,
PIBFR3YQ2026-10-19,99.43,0.06,,
PIBFR3YQ2027-02-07,99.07,0.01,,
PIBFR5YQ2025-10-22,99.78,-0.04,,
PIBFR5YS2025-06-18,100.09,-0.01,,
PIBFR5YS2026-05-06,100.16,0.01,,
PIBFR5YS2027-11-17,98.57,0.01,,
PIBFR5YS2028-04-06,98.53,0.00,,
PIBFR5YS2028-08-10,98.00,0.00,,
PIBFR5YS2028-09-21,98.12,0.02,,
PIBFR5YS2028-10-19,98.21,-0.04,,
PIBFR5YS2028-12-14,97.89,0.10,,
PIBFR5YS2029-02-07,97.80,0.06,,
PIBFR5YS2029-04-18,98.06,0.03,,
PIBFR5YS2029-06-27,97.79,0.01,,
PIBFR5YS2029-09-05,97.64,0.03,,
PIBFR5YS2029-10-03,97.63,-0.03,,
PIBFR5YS2029-11-14,97.73,0.02,,
PIBFR5YS2029-12-12,97.55,-0.01,,
PIBFR5YS2030-01-09,97.61,0.00,,
PIBFR5YS2030-04-17,97.79,0.01,,
