,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.18,0,98.13,98,97.99,98.05,98.1,98.05,,98.07
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.17,0,98.11,98,97.9,98,98.14,98.05,,98.06
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.55,0,98.65,98.25,98.34,99.38,98.62,98.25,,98.48
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.19,0,98.59,98.2,98.21,99.49,98.61,98.21,,98.36
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.55,0,98.5,98.25,98.17,98.14,98.52,98.39,,98.37
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.41,0,98.47,98.25,98.26,98.16,98.5,98.35,,98.35
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.24,0,98.44,98.2,98.29,98.24,98.46,98.34,,98.31
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.3,0,98.57,98.2,98.44,98.15,98.55,98.2,,98.34
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.41,0,98.6,98.2,98.29,98.15,98.58,98.25,,98.35
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.48,0,98.64,98.2,98.24,99.62,98.61,98.39,,98.47
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.13,0,100.18,100.15,100.23,100.2,100.2,100.11,,100.17
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.76,0,99.88,100.11,99.73,99.85,99.9,100.04,,99.89
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.98,0,98.39,99.53,99.16,99.13,98.36,98.71,,98.87
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.91,0,94.95,96.18,95.8,94.94,94.97,95.59,,95.25
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.46,0,99.31,99.32,99.39,99.32,99.3,99.35,,99.34
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,99.82,0,99.84,99.84,99.86,99.78,99.85,99.72,,99.83
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.5,0,99.18,99.61,99.5,99.52,99.2,99.45,,99.43
PIB-FRB-18,4-Nov-21,4-Nov-31,Half-Yearly,95.49,0,96.77,95.67,95.49,95.73,96.79,95.49,,95.83
PIB-FRB-19,17-Nov-22,17-Nov-27,Half-Yearly,97.89,0,98.32,97.98,98.21,98.31,98.34,97.85,,98.14
PIB-FRB-20,9-Feb-23,9-Feb-25,Quarterly,99.63,0,99.52,99.58,99.62,99.5,99.5,99.45,,99.54
PIB-FRB-21,9-Feb-23,9-Feb-26,Quarterly,98.81,0,98.73,98.98,99.03,99.22,98.7,98.91,,98.89
PIB-FRB-22,6-Apr-23,6-Apr-25,Quarterly,99.47,0,99.35,99.4,99.39,99.28,99.33,99.29,,99.35
PIB-FRB-23,6-Apr-23,6-Apr-28,Half-Yearly,97.06,0,97.06,97.06,97.08,97.11,97.04,97.06,,97.06
PIB-FRB-24,10-Aug-23,10-Aug-28,Half-Yearly,97.56,0,97.43,98.2,97.89,98.07,97.45,96.78,,97.68
PIB-FRB-25,21-Sep-23,21-Sep-25,Quarterly,98.75,0,98.8,98.79,98.78,98.63,98.82,98.75,,98.77
PIB-FRB-26,21-Sep-23,21-Sep-26,Quarterly,98.2,0,98.3,99.02,98.63,98.85,98.32,98.93,,98.61
PIB-FRB-27,21-Sep-23,21-Sep-28,Half-Yearly,98.02,0,97.75,97.89,98.02,98.02,97.77,97.97,,97.93
PIB-FRB-28,19-Oct-23,19-Oct-26,Quarterly,98.28,0,98.45,98.98,98.56,98.69,98.47,98.38,,98.51
PIB-FRB-29,19-Oct-23,19-Oct-28,Half-Yearly,96.65,0,96.57,96.5,96.96,96.56,96.55,96.81,,96.63
PIB-FRB-30,14-Dec-23,14-Dec-28,Half-Yearly,97.48,0,97.35,97.6,97.88,97.46,97.34,97.45,,97.47
PIB-FRB-31,14-Dec-23,14-Dec-33,Half-Yearly,94.74,0,95.09,95.31,95.12,94.91,95.11,94.74,,94.99
PIB-FRB-32,7-Feb-24,7-Feb-29,Half-Yearly,97.9,0,97.93,97.93,97.93,97.92,97.95,97.79,,97.92
PIB-FRB-33,7-Feb-24,7-Feb-34,Half-Yearly,95.72,0,95.17,95.57,95.17,95.96,95.15,95.64,,95.45
PIB-FRB-34,18-Apr-24,18-Apr-29,Half-Yearly,96.23,0,96.29,96.2,96.14,96.2,96.26,96.29,,96.24
PIB-FRB-35,18-Apr-24,18-Apr-34,Half-Yearly,93.49,0,95.15,93.63,93.4,95.38,95.18,95.14,,94.52
PIB-FRB-36,27-Jun-24,27-Jun-29,Half-Yearly,97.56,0,97.56,97.55,97.85,97.7,97.54,97.69,,97.61
PIB-FRB-37,5-Sep-24,5-Sep-29,Half-Yearly,97.89,0,98.04,98.01,97.89,97.73,98.06,97.79,,97.92
PIB-FRB-38,5-Sep-24,5-Sep-34,Half-Yearly,94.43,0,94.66,94.66,94.22,94.65,94.67,94.6,,94.6
PIB-FRB-39,3-Oct-24,3-Oct-26,Half-Yearly,99.66,0,99.67,99.64,99.57,99.68,99.65,99.8,,99.66
PIB-FRB-40,3-Oct-24,3-Oct-29,Half-Yearly,96.98,0,96.98,96.95,96.95,96.91,96.96,96.95,,96.96
PIB-FRB-41,3-Oct-24,3-Oct-34,Half-Yearly,93.96,0,93.75,93.96,93.82,93.83,93.77,93.97,,93.87
PIB-FRB-42,7-Feb-24,7-Feb-27,Half-Yearly,98.83,0,98.86,98.6,98.37,98.89,98.84,98.8,,98.79
