Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.58,-0.13,,,
PIBFR10YQ2033-12-14,95.97,-0.01,,,
PIBFR10YS2028-05-31,99.69,-0.06,,,
PIBFR10YS2028-06-28,99.76,-0.08,,,
PIBFR10YS2028-08-09,99.93,-0.15,,,
PIBFR10YS2029-02-21,99.81,-0.17,,,
PIBFR10YS2029-03-21,99.72,-0.15,,,
PIBFR10YS2029-04-18,99.65,-0.20,,,
PIBFR10YS2029-05-30,99.52,-0.22,,,
PIBFR10YS2029-06-27,99.58,-0.25,,,
PIBFR10YS2029-07-25,99.71,-0.23,,,
PIBFR10YS2029-08-22,99.99,-0.11,,,
PIBFR10YS2030-06-18,100.66,-0.05,,,
PIBFR10YS2031-11-04,97.20,-0.03,,,
PIBFR10YS2034-02-07,95.51,-0.22,,,
PIBFR10YS2034-04-18,95.97,-0.01,,,
PIBFR10YS2034-09-05,95.74,0.00,,,
PIBFR10YS2034-10-03,95.69,-0.01,,,
PIBFR10YS2034-11-14,95.65,-0.03,,,
PIBFR10YS2034-12-12,95.55,0.02,,,
PIBFR10YS2035-01-09,95.46,0.00,,,
PIBFR10YS2035-04-17,95.50,-0.05,,,
PIBFR10YS2035-05-29,95.32,-0.02,,,
PIBFR10YS2035-07-10,95.08,0.02,,,
PIBFR2YQ2025-09-21,99.95,0.01,,,
PIBFR2YS2026-10-03,99.80,-0.01,,,
PIBFR2YS2027-01-09,99.84,-0.02,,,
PIBFR3YQ2025-09-08,99.99,0.01,,,
PIBFR3YQ2026-02-09,99.84,-0.02,,,
PIBFR3YQ2026-09-21,99.66,-0.02,,,
PIBFR3YQ2026-10-19,99.62,-0.01,,,
PIBFR3YQ2027-02-07,99.47,-0.03,,,
PIBFR5YQ2025-10-22,99.93,-0.01,,,
PIBFR5YS2026-05-06,100.14,-0.03,,,
PIBFR5YS2027-11-17,99.33,-0.02,,,
PIBFR5YS2028-04-06,99.11,0.00,,,
PIBFR5YS2028-08-10,98.71,0.01,,,
PIBFR5YS2028-09-21,98.70,-0.01,,,
PIBFR5YS2028-10-19,98.83,-0.02,,,
PIBFR5YS2028-12-14,98.68,0.01,,,
PIBFR5YS2029-02-07,98.51,0.03,,,
PIBFR5YS2029-04-18,98.60,-0.02,,,
PIBFR5YS2029-06-27,98.62,-0.01,,,
PIBFR5YS2029-09-05,98.57,-0.01,,,
PIBFR5YS2029-10-03,98.53,-0.02,,,
PIBFR5YS2029-11-14,98.53,0.03,,,
PIBFR5YS2029-12-12,98.40,0.07,,,
PIBFR5YS2030-01-09,98.29,0.03,,,
PIBFR5YS2030-04-17,98.23,0.03,,,
