,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,98.1,97.87,97.75,97.88,0,0,98.1,,97.98
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,98.05,97.86,97.75,97.87,0,0,98.1,,97.98
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,98.54,98.43,98.05,98.36,0,0,98.35,,98.34
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,98.2,98.35,98.1,98.12,0,0,98.2,,98.20
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,98.15,98.42,98.35,98.02,0,0,98.15,,98.21
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,98.76,98.77,98.1,97.97,0,0,98.5,,98.43
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,98.21,98.21,98.1,98.02,0,0,98.11,,98.13
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.3,98.36,98.15,98.06,0,0,98.15,,98.20
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,98.25,98.38,98.15,98.17,0,0,98.35,,98.28
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,98.45,98.42,98.15,98.33,0,0,98.18,,98.27
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.98,99.89,99.9,99.75,0,0,99.86,,99.87
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,97.96,98.48,98.17,97.96,0,0,98.4,,98.23
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.2,98.71,98.39,98.35,98.91,0,0,98.38,,98.49
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,95.71,94.6,95,95.28,0,0,94.95,,95.07
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.4,98.67,98.74,98.6,98.63,0,0,98.67,,98.62
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.89,99.88,99.89,99.89,99.84,0,0,99.89,,99.88
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.1,99.35,99.32,99.39,99.34,0,0,99.35,,99.31
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.7,99,98.82,99.1,98.99,0,0,98.9,,98.92
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.82,99.8,99.82,99.73,99.8,0,0,99.79,,99.79
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.6,95.59,95.66,95.6,95.6,0,0,95.63,,95.61
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.15,97.72,97.27,97.72,97.37,0,0,97.27,,97.42
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.29,99.38,99.4,99.22,99.21,0,0,99.25,,99.29
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.45,98.73,98.52,98.52,98.66,0,0,98.51,,98.57
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.15,99.1,99.17,99.03,98.92,0,0,99.15,,99.09
PIB-FRB-25,6-Apr-23,6-Apr-28,Half-Yearly,97.23,97.2,97.2,97.2,97.16,0,0,97.2,,97.20
PIB-FRB-26,10-Aug-23,10-Aug-28,Half-Yearly,96.77,96.72,96.72,96.72,96.7,0,0,96.71,,96.72
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.75,98.58,98.78,98.14,98.48,0,0,98.63,,98.56
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,97.94,98.01,98.06,98.14,0,0,98.09,,98.05
PIB-FRB-29,21-Sep-23,21-Sep-28,Half-Yearly,96.25,96.58,96.7,96.58,96.25,0,0,96.3,,96.44
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.12,97.9,98.17,98.13,98.02,0,0,98.12,,98.08
PIB-FRB-31,19-Oct-23,19-Oct-28,Half-Yearly,96.77,96.9,96.95,96.96,96.83,0,0,96.95,,96.89
PIB-FRB-32,14-Dec-23,14-Dec-28,Half-Yearly,96.86,96.85,96.86,96.86,96.83,0,0,96.83,,96.85
PIB-FRB-33,14-Dec-23,14-Dec-33,Half-Yearly,94.52,94.91,95,94.71,94.4,0,0,94.52,,94.68
PIB-FRB-34,7-Feb-24,7-Feb-29,Half-Yearly,96.33,96.68,96.59,96.62,96.62,0,0,96.51,,96.56
PIB-FRB-35,7-Feb-24,7-Feb-34,Half-Yearly,94.5,94.83,95.08,94.34,94.68,0,0,94.5,,94.66
PIB-FRB-36,18-Apr-24,18-Apr-29,Half-Yearly,96.75,96.72,96.8,96.75,96.65,0,0,96.74,,96.74
PIB-FRB-37,18-Apr-24,18-Apr-34,Half-Yearly,95.04,94.82,95.05,94.83,94.68,0,0,95.04,,94.91
PIB-FRB-38,27-Jun-24,27-Jun-29,Half-Yearly,96.6,96.65,96.74,96.63,96.6,0,0,96.68,,96.65
