Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.57,-0.13,,,
PIBFR10YQ2033-12-14,95.98,-0.05,,,
PIBFR10YS2028-05-31,99.60,-0.12,,,
PIBFR10YS2028-06-28,99.67,-0.11,,,
PIBFR10YS2028-08-09,99.75,-0.25,,,
PIBFR10YS2029-02-21,99.67,-0.23,,,
PIBFR10YS2029-03-21,99.55,-0.22,,,
PIBFR10YS2029-04-18,99.50,-0.24,,,
PIBFR10YS2029-05-30,99.40,-0.23,,,
PIBFR10YS2029-06-27,99.44,-0.27,,,
PIBFR10YS2029-07-25,99.54,-0.32,,,
PIBFR10YS2029-08-22,99.94,-0.17,,,
PIBFR10YS2030-06-18,100.66,-0.09,,,
PIBFR10YS2031-11-04,97.25,-0.07,,,
PIBFR10YS2034-02-07,95.82,0.00,,,
PIBFR10YS2034-04-18,96.02,0.02,,,
PIBFR10YS2034-09-05,95.74,-0.04,,,
PIBFR10YS2034-10-03,95.70,-0.04,,,
PIBFR10YS2034-11-14,95.74,0.07,,,
PIBFR10YS2034-12-12,95.53,-0.03,,,
PIBFR10YS2035-01-09,95.46,0.00,,,
PIBFR10YS2035-04-17,95.52,-0.04,,,
PIBFR10YS2035-05-29,95.36,0.01,,,
PIBFR10YS2035-07-10,95.24,-0.04,,,
PIBFR2YQ2025-09-21,99.94,-0.01,,,
PIBFR2YS2026-10-03,99.83,0.01,,,
PIBFR2YS2027-01-09,99.81,-0.04,,,
PIBFR3YQ2025-09-08,99.98,0.00,,,
PIBFR3YQ2026-02-09,99.88,0.01,,,
PIBFR3YQ2026-09-21,99.68,-0.01,,,
PIBFR3YQ2026-10-19,99.66,0.01,,,
PIBFR3YQ2027-02-07,99.55,0.05,,,
PIBFR5YQ2025-10-22,99.96,0.02,,,
PIBFR5YS2026-05-06,100.17,-0.02,,,
PIBFR5YS2027-11-17,99.29,0.00,,,
PIBFR5YS2028-04-06,99.10,-0.01,,,
PIBFR5YS2028-08-10,98.81,0.04,,,
PIBFR5YS2028-09-21,98.76,0.01,,,
PIBFR5YS2028-10-19,98.89,0.01,,,
PIBFR5YS2028-12-14,98.72,0.01,,,
PIBFR5YS2029-02-07,98.57,0.02,,,
PIBFR5YS2029-04-18,98.63,0.00,,,
PIBFR5YS2029-06-27,98.62,-0.03,,,
PIBFR5YS2029-09-05,98.53,-0.02,,,
PIBFR5YS2029-10-03,98.55,0.00,,,
PIBFR5YS2029-11-14,98.53,0.01,,,
PIBFR5YS2029-12-12,98.37,0.02,,,
PIBFR5YS2030-01-09,98.30,0.01,,,
PIBFR5YS2030-04-17,98.24,0.01,,,
