,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,98.1,98.13,98,98.04,98.05,98.1,98.18,,98.10
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,98.05,98.11,98,97.99,98,98.15,98.23,,98.09
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,98.63,98.65,98.25,98.48,98.29,98.4,98.42,,98.42
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,98.2,98.59,98.2,98.37,98.29,98.3,98.32,,98.28
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,98.42,98.5,98.25,98.35,98.14,98.25,98.3,,98.29
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,98.39,98.47,98.25,98.41,98.16,98.45,98.52,,98.41
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,98.21,98.44,98.2,98.32,98.24,98.25,98.26,,98.25
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.3,98.57,98.2,98.42,98.15,98.2,98.22,,98.25
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,98.32,98.6,98.2,98.44,98.15,98.4,98.39,,98.36
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,98.55,98.64,98.2,98.41,98.05,98.42,98.42,,98.35
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.95,100.1,100.18,100.15,100.23,100.2,100.15,100.2,,100.16
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,98.74,99.55,98.74,99.71,98.74,97.36,99.87,,98.98
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.3,98.71,98.39,99.11,99.03,98.34,98.3,98.5,,98.55
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,95.71,94.95,95,95.42,94.94,95.1,95.31,,95.12
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99,99.28,99.29,99.26,99.21,99.31,99.3,99.28,,99.27
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.94,99.96,99.94,99.94,99.97,99.99,99.94,99.98,,99.96
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.55,99.55,99.5,99.56,99.64,99.63,99.55,99.75,,99.58
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,99.35,99.51,99.18,99.51,99.34,99.38,99.35,99.38,,99.39
PIB-FRB-19,4-Nov-21,4-Nov-31,Half-Yearly,95.6,96.48,96.24,96.42,96.25,96.41,96.24,96.27,,96.31
PIB-FRB-20,17-Nov-22,17-Nov-27,Half-Yearly,97.3,97.69,97.55,97.55,97.81,97.91,97.55,97.62,,97.63
PIB-FRB-21,9-Feb-23,9-Feb-25,Quarterly,99.29,99.53,99.39,99.22,99.44,99.3,99.4,99.49,,99.39
PIB-FRB-22,9-Feb-23,9-Feb-26,Quarterly,98.55,98.79,98.73,99.14,98.85,99.02,98.8,98.82,,98.84
PIB-FRB-23,6-Apr-23,6-Apr-25,Quarterly,99.15,99.37,99.19,99.03,99.2,99.16,99.18,99.22,,99.18
PIB-FRB-24,6-Apr-23,6-Apr-28,Half-Yearly,97.23,97.49,97.49,97.58,97.33,97.48,97.3,97.3,,97.40
PIB-FRB-25,10-Aug-23,10-Aug-28,Half-Yearly,97.2,97.55,97.42,97.68,97.55,97.81,97.5,97.5,,97.53
PIB-FRB-26,21-Sep-23,21-Sep-25,Quarterly,98.75,98.89,98.8,98.41,98.67,98.82,98.8,98.8,,98.77
PIB-FRB-27,21-Sep-23,21-Sep-26,Quarterly,98.2,98.4,98.3,98.39,98.36,98.52,98.35,98.38,,98.36
PIB-FRB-28,21-Sep-23,21-Sep-28,Half-Yearly,97.4,97.71,97.71,97.77,97.66,97.65,97.45,97.65,,97.64
PIB-FRB-29,19-Oct-23,19-Oct-26,Quarterly,98.28,98.33,98.45,98.31,98.46,98.49,98.4,98.45,,98.40
PIB-FRB-30,19-Oct-23,19-Oct-28,Half-Yearly,96.79,97.27,97.32,97.32,97.3,97.29,97.34,97.32,,97.30
PIB-FRB-31,14-Dec-23,14-Dec-28,Half-Yearly,96.88,97.56,97.16,97.83,97.16,97.83,97.16,97.16,,97.34
PIB-FRB-32,14-Dec-23,14-Dec-33,Half-Yearly,94.52,95.27,94.85,94.89,94.9,95.47,94.8,94.85,,94.93
PIB-FRB-33,7-Feb-24,7-Feb-29,Half-Yearly,96.33,97.23,97.24,97.51,97.29,97.79,97.25,97.34,,97.31
PIB-FRB-34,7-Feb-24,7-Feb-34,Half-Yearly,94.5,95.15,95.08,94.79,94.78,95.37,94.8,94.85,,94.91
PIB-FRB-35,18-Apr-24,18-Apr-29,Half-Yearly,97.16,97.13,97.1,97.08,97.08,97.07,97.1,97.1,,97.10
PIB-FRB-36,18-Apr-24,18-Apr-34,Half-Yearly,95.08,95.48,94.85,95.1,95.3,95.66,95.1,96.04,,95.29
PIB-FRB-37,27-Jun-24,27-Jun-29,Half-Yearly,97.41,97.52,97.38,97.67,97.3,97.52,97.65,97.57,,97.51
PIB-FRB-38,5-Sep-24,5-Sep-29,Half-Yearly,96.77,97.13,97.13,97.01,97.13,97.44,97.13,97.19,,97.12
PIB-FRB-39,5-Sep-24,5-Sep-34,Half-Yearly,94.05,94.45,94.26,94.46,94.45,95.17,94.4,94.6,,94.44
