Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.46,0.01,,,
PIBFR10YQ2033-12-14,95.59,0.04,,,
PIBFR10YS2028-05-31,99.50,-0.03,,,
PIBFR10YS2028-06-28,99.55,-0.04,,,
PIBFR10YS2028-08-09,99.60,-0.05,,,
PIBFR10YS2029-02-21,99.44,-0.08,,,
PIBFR10YS2029-03-21,99.27,-0.10,,,
PIBFR10YS2029-04-18,99.23,-0.12,,,
PIBFR10YS2029-05-30,99.12,-0.15,,,
PIBFR10YS2029-06-27,99.11,-0.14,,,
PIBFR10YS2029-07-25,99.16,-0.13,,,
PIBFR10YS2029-08-22,99.79,0.18,,,
PIBFR10YS2030-06-18,100.72,0.04,,,
PIBFR10YS2031-11-04,97.31,0.08,,,
PIBFR10YS2034-02-07,95.65,0.02,,,
PIBFR10YS2034-04-18,95.70,0.00,,,
PIBFR10YS2034-09-05,95.47,0.02,,,
PIBFR10YS2034-10-03,95.48,0.01,,,
PIBFR10YS2034-11-14,95.59,-0.02,,,
PIBFR10YS2034-12-12,95.16,0.01,,,
PIBFR10YS2035-01-09,95.49,0.00,,,
PIBFR10YS2035-04-17,95.53,0.01,,,
PIBFR10YS2035-05-29,95.41,0.02,,,
PIBFR2YQ2025-09-21,99.96,0.01,,,
PIBFR2YS2026-10-03,99.78,0.00,,,
PIBFR2YS2027-01-09,99.83,0.04,,,
PIBFR3YQ2025-09-08,99.97,0.00,,,
PIBFR3YQ2026-02-09,99.84,0.00,,,
PIBFR3YQ2026-09-21,99.66,0.01,,,
PIBFR3YQ2026-10-19,99.63,0.00,,,
PIBFR3YQ2027-02-07,99.38,-0.03,,,
PIBFR5YQ2025-10-22,99.96,-0.02,,,
PIBFR5YS2026-05-06,100.16,-0.01,,,
PIBFR5YS2027-11-17,99.23,0.01,,,
PIBFR5YS2028-04-06,98.93,0.01,,,
PIBFR5YS2028-08-10,98.66,0.03,,,
PIBFR5YS2028-09-21,98.65,0.01,,,
PIBFR5YS2028-10-19,98.72,0.05,,,
PIBFR5YS2028-12-14,98.47,0.03,,,
PIBFR5YS2029-02-07,98.40,0.01,,,
PIBFR5YS2029-04-18,98.49,0.03,,,
PIBFR5YS2029-06-27,98.39,0.01,,,
PIBFR5YS2029-09-05,98.35,0.02,,,
PIBFR5YS2029-10-03,98.24,0.07,,,
PIBFR5YS2029-11-14,98.33,0.01,,,
PIBFR5YS2029-12-12,98.11,0.04,,,
PIBFR5YS2030-01-09,98.09,-0.04,,,
PIBFR5YS2030-04-17,98.17,0.03,,,
