,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,95.15,94.75,94.75,0.00,92.71,94.68,94.70,95.00,,94.78
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,94.90,94.80,94.85,0.00,93.50,94.72,94.75,94.71,,94.77
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,95.60,95.10,95.25,0.00,94.20,95.21,95.25,95.21,,95.20
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,95.70,95.25,95.35,0.00,93.90,95.20,95.30,95.21,,95.26
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,95.65,95.20,95.35,0.00,93.61,95.45,95.30,95.21,,95.30
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,95.55,95.20,95.35,0.00,93.54,95.10,95.25,96.00,,95.29
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,95.45,95.25,95.35,0.00,93.43,95.10,95.25,95.12,,95.21
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,95.35,95.30,95.35,0.00,93.72,95.15,95.20,95.10,,95.22
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,95.55,95.35,95.35,0.00,93.68,95.20,95.30,95.15,,95.27
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,95.60,95.45,95.50,0.00,93.82,95.25,95.40,95.75,,95.44
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,98.92,98.92,98.97,0.00,98.89,98.89,98.90,99.20,,98.92
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,97.55,97.50,98.00,0.00,96.43,97.25,97.40,97.19,,97.38
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,94.80,94.10,91.24,0.00,93.06,93.25,93.90,93.97,,93.66
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,98.80,98.55,98.77,0.00,98.00,98.52,98.45,98.80,,98.62
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,95.90,96.80,96.89,0.00,95.90,96.84,96.60,96.65,,96.56
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,93.96,92.90,92.94,0.00,92.00,92.02,92.25,92.00,,92.42
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.30,98.90,98.50,0.00,99.19,98.86,98.95,98.48,,98.88
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.80,95.95,96.01,0.00,94.25,95.83,95.90,96.70,,96.08
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.90,99.87,99.88,0.00,99.87,99.88,99.85,99.85,,99.87
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,97.95,97.90,98.20,0.00,98.07,97.90,97.95,97.90,,97.95
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.45,99.39,99.34,0.00,99.33,99.33,99.38,99.38,,99.36
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,98.15,97.50,97.57,0.00,97.53,97.50,97.50,98.10,,97.64
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.25,97.20,98.11,0.00,97.17,97.20,97.20,97.25,,97.22
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,98.95,98.75,98.75,0.00,98.76,98.75,98.70,98.73,,98.75
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93.50,92.40,91.22,0.00,89.31,92.04,92.40,92.05,,92.02
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.15,94.60,94.60,0.00,92.36,94.27,94.20,94.64,,94.46
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.48,98.46,98.51,0.00,98.51,98.47,98.45,98.45,,98.47
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,96.72,96.75,96.73,0.00,96.75,96.60,96.60,96.45,,96.68
