Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,96.13,0.05,,,
PIBFR10YQ2033-12-14,95.24,0.05,,,
PIBFR10YS2028-05-31,99.25,0.01,,,
PIBFR10YS2028-06-28,99.21,0.00,,,
PIBFR10YS2028-08-09,99.03,0.05,,,
PIBFR10YS2029-02-21,98.90,0.02,,,
PIBFR10YS2029-03-21,98.74,-0.02,,,
PIBFR10YS2029-04-18,98.61,0.02,,,
PIBFR10YS2029-05-30,98.40,-0.01,,,
PIBFR10YS2029-06-27,98.38,-0.05,,,
PIBFR10YS2029-07-25,98.47,-0.01,,,
PIBFR10YS2029-08-22,99.13,0.14,,,
PIBFR10YS2030-06-18,100.11,0.09,,,
PIBFR10YS2031-11-04,96.79,0.01,,,
PIBFR10YS2034-02-07,95.00,0.04,,,
PIBFR10YS2034-04-18,95.30,0.03,,,
PIBFR10YS2034-09-05,94.89,0.02,,,
PIBFR10YS2034-10-03,95.06,0.04,,,
PIBFR10YS2034-11-14,95.06,0.07,,,
PIBFR10YS2034-12-12,95.09,0.04,,,
PIBFR10YS2035-01-09,95.02,0.08,,,
PIBFR10YS2035-04-17,95.06,0.00,,,
PIBFR2YQ2025-09-21,99.91,0.02,,,
PIBFR2YS2026-10-03,99.75,0.01,,,
PIBFR2YS2027-01-09,99.90,0.02,,,
PIBFR3YQ2025-09-08,99.96,0.01,,,
PIBFR3YQ2026-02-09,99.71,-0.01,,,
PIBFR3YQ2026-09-21,99.32,0.02,,,
PIBFR3YQ2026-10-19,99.35,-0.04,,,
PIBFR3YQ2027-02-07,99.06,0.00,,,
PIBFR5YQ2025-10-22,99.75,-0.01,,,
PIBFR5YS2025-06-18,100.04,-0.01,,,
PIBFR5YS2026-05-06,100.18,-0.02,,,
PIBFR5YS2027-11-17,98.83,0.02,,,
PIBFR5YS2028-04-06,98.95,0.02,,,
PIBFR5YS2028-08-10,98.22,0.03,,,
PIBFR5YS2028-09-21,98.35,-0.02,,,
PIBFR5YS2028-10-19,98.66,-0.01,,,
PIBFR5YS2028-12-14,98.10,0.02,,,
PIBFR5YS2029-02-07,98.04,0.02,,,
PIBFR5YS2029-04-18,98.38,0.01,,,
PIBFR5YS2029-06-27,97.94,0.03,,,
PIBFR5YS2029-09-05,97.82,0.00,,,
PIBFR5YS2029-10-03,97.80,0.02,,,
PIBFR5YS2029-11-14,98.09,0.01,,,
PIBFR5YS2029-12-12,97.70,0.03,,,
PIBFR5YS2030-01-09,97.74,0.02,,,
PIBFR5YS2030-04-17,97.89,0.03,,,
