,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.10,98.14,98.14,98.14,96.20,96.21,96.20,98.11,,97.48
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.10,98.12,98.12,98.12,96.28,98.10,96.25,98.10,,97.80
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.75,98.80,98.84,98.81,96.86,98.80,98.80,98.75,,98.79
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.90,98.80,99.00,98.83,96.68,99.00,98.50,98.85,,98.81
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.80,98.75,98.85,98.71,96.62,98.85,98.60,98.65,,98.73
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.75,98.79,98.80,98.72,96.57,98.75,98.80,98.74,,98.76
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.75,98.75,98.75,98.63,96.54,98.80,98.00,98.70,,98.60
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.80,98.80,98.90,98.78,96.82,99.00,98.10,98.75,,98.69
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,99.00,98.80,98.90,99.81,96.75,99.07,98.50,98.75,,98.84
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.75,98.80,96.65,98.78,96.72,98.95,98.80,98.75,,98.43
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,99.85,99.91,99.58,99.65,99.91,99.63,99.80,99.95,,99.79
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,99.80,99.76,99.95,99.76,98.98,99.75,99.75,99.75,,99.76
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,98.60,98.50,96.41,98.40,96.38,98.40,98.50,98.40,,98.10
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.30,99.30,99.27,99.30,99.30,99.30,99.30,99.33,,99.30
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,97.90,98.00,98.25,98.00,97.63,97.68,97.99,98.00,,97.93
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,96.10,95.86,96.60,95.86,93.24,93.89,95.80,96.25,,95.63
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.10,99.00,99.00,99.00,99.30,99.05,99.00,99.00,,99.03
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.65,96.70,96.73,96.66,96.29,96.56,96.60,96.60,,96.63
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.70,99.75,99.69,99.68,99.68,99.70,99.70,99.60,,99.69
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,98.45,98.42,98.48,98.46,98.48,98.44,98.45,98.39,,98.45
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.50,99.50,99.46,99.45,99.46,99.42,99.50,99.56,,99.48
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,98.15,98.15,98.15,98.08,98.11,98.11,98.10,98.11,,98.12
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.80,97.82,97.83,97.83,97.82,97.64,97.85,97.81,,97.82
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,99.00,99.03,98.96,99.03,98.95,98.98,99.04,99.02,,99.00
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93.65,93.67,93.84,93.63,93.46,93.47,99.65,93.65,,93.65
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.45,95.45,95.45,95.45,95.16,95.47,95.45,95.45,,95.45
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.85,98.85,98.88,98.88,98.87,98.85,98.85,98.85,,98.86
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,97.63,97.64,97.64,97.64,97.64,97.64,97.64,97.63,,97.64
