,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,98.1,0,97.75,97.89,0,98.1,98.09,,98.01
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,98.05,0,97.75,97.86,0,98.05,98.11,,98.01
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,98.63,0,98.05,98.31,0,98.35,98.37,,98.34
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,98.2,0,98.1,98.11,0,98.2,98.22,,98.17
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,98.42,0,98.35,98.1,0,98.3,98.25,,98.26
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,98.39,0,98.1,98.03,0,98.45,98.47,,98.32
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,98.21,0,98.1,98.02,0,98.18,98.21,,98.14
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.3,0,98.15,98.04,0,98.17,98.17,,98.16
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,98.32,0,98.15,98.11,0,98.3,98.29,,98.26
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,98.55,0,98.15,98.05,0,98.35,98.34,,98.26
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.95,100.11,0,100.15,100.27,0,100.15,100.15,,100.13
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,98.74,0,98.74,98.7,0,98.6,98.5,,98.62
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.3,98.71,0,99.11,98.96,0,98.4,98.39,,98.65
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,95.71,0,95,95.29,0,94.98,94.97,,95.14
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.87,98.8,0,99.12,98.93,0,98.9,98.92,,98.92
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.94,99.94,0,99.94,99.94,0,99.93,99.93,,99.94
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.55,99.58,0,99.56,99.56,0,99.55,99.57,,99.56
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,99.35,99.1,0,99.14,99.12,0,99.18,99.21,,99.18
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.85,99.96,0,99.88,99.97,0,99.95,99.9,,99.92
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.6,95.36,0,95.36,95.3,0,95.47,95.36,,95.41
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.3,97.54,0,97.53,97.55,0,97.52,97.53,,97.50
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.29,99.47,0,99.22,99.37,0,99.3,99.34,,99.33
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.55,98.75,0,98.73,98.75,0,98.75,98.71,,98.71
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.15,99.29,0,99.03,99.1,0,99.15,99.17,,99.15
PIB-FRB-25,6-Apr-23,6-Apr-28,Half-Yearly,97.23,96.94,0,96.91,96.92,0,96.9,96.95,,96.98
PIB-FRB-26,10-Aug-23,10-Aug-28,Half-Yearly,97.2,97.16,0,97.17,97.17,0,97.17,97.22,,97.18
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.75,98.82,0,98.41,98.59,0,98.75,98.75,,98.68
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.2,98.34,0,98.55,98.22,0,98.3,98.29,,98.32
PIB-FRB-29,21-Sep-23,21-Sep-28,Half-Yearly,96.25,96.69,0,96.65,96.79,0,96.65,96.71,,96.62
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.28,98.28,0,98.31,98.42,0,98.28,98.33,,98.32
PIB-FRB-31,19-Oct-23,19-Oct-28,Half-Yearly,96.77,96.56,0,96.58,96.59,0,96.75,96.66,,96.65
PIB-FRB-32,14-Dec-23,14-Dec-28,Half-Yearly,96.88,96.92,0,97,96.98,0,96.92,96.85,,96.93
PIB-FRB-33,14-Dec-23,14-Dec-33,Half-Yearly,94.52,94.9,0,94.71,94.39,0,94.9,94.54,,94.66
PIB-FRB-34,7-Feb-24,7-Feb-29,Half-Yearly,96.33,96.9,0,97,96.91,0,96.9,97.05,,96.85
PIB-FRB-35,7-Feb-24,7-Feb-34,Half-Yearly,94.5,94.8,0,94.58,94.41,0,94.8,94.8,,94.65
PIB-FRB-36,18-Apr-24,18-Apr-29,Half-Yearly,96.45,96.38,0,96.37,96.38,0,96.4,96.41,,96.40
PIB-FRB-37,18-Apr-24,18-Apr-34,Half-Yearly,95.04,94.87,0,94.83,94.61,0,95.04,95.01,,94.90
PIB-FRB-38,27-Jun-24,27-Jun-29,Half-Yearly,96.88,96.82,0,96.82,96.79,0,96.82,96.82,,96.83
