Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.37,-0.03
PIBFR10YQ2033-12-14,93.19,0.01
PIBFR10YS2028-05-31,98.90,0.04
PIBFR10YS2028-06-28,98.89,0.04
PIBFR10YS2028-08-09,98.91,-0.06
PIBFR10YS2029-02-21,98.79,-0.05
PIBFR10YS2029-03-21,98.66,-0.06
PIBFR10YS2029-04-18,98.52,-0.03
PIBFR10YS2029-05-30,98.23,0.00
PIBFR10YS2029-06-27,98.39,-0.14
PIBFR10YS2029-07-25,98.37,0.01
PIBFR10YS2029-08-22,98.82,0.05
PIBFR10YS2030-06-18,99.99,-0.01
PIBFR10YS2031-11-04,95.29,0.02
PIBFR10YS2034-02-07,93.43,-0.09
PIBFR10YS2034-04-18,93.59,0.01
PIBFR10YS2034-09-05,93.27,0.03
PIBFR10YS2034-10-03,93.75,-0.01
PIBFR10YS2034-11-14,93.18,-0.03
PIBFR10YS2034-12-12,93.13,0.00
PIBFR10YS2035-01-09,92.90,0.00
PIBFR2YQ2025-04-06,99.91,-0.01
PIBFR2YQ2025-09-21,99.57,0.01
PIBFR2YS2026-10-03,99.75,-0.01
PIBFR2YS2027-01-09,99.99,0.00
PIBFR3YQ2025-04-07,99.96,0.00
PIBFR3YQ2025-09-08,99.83,0.00
PIBFR3YQ2026-02-09,99.57,0.01
PIBFR3YQ2026-09-21,99.05,0.03
PIBFR3YQ2026-10-19,99.07,-0.01
PIBFR3YQ2027-02-07,98.79,0.00
PIBFR5YQ2025-10-22,99.63,0.00
PIBFR5YS2025-06-18,100.20,-0.01
PIBFR5YS2026-05-06,99.75,0.00
PIBFR5YS2027-11-17,98.70,0.01
PIBFR5YS2028-04-06,97.78,-0.01
PIBFR5YS2028-08-10,97.43,-0.01
PIBFR5YS2028-09-21,97.63,0.00
PIBFR5YS2028-10-19,97.44,0.00
PIBFR5YS2028-12-14,97.41,0.03
PIBFR5YS2029-02-07,97.04,-0.02
PIBFR5YS2029-04-18,97.08,0.01
PIBFR5YS2029-06-27,97.03,0.01
PIBFR5YS2029-09-05,96.93,0.02
PIBFR5YS2029-10-03,96.85,0.00
PIBFR5YS2029-11-14,97.36,0.00
PIBFR5YS2029-12-12,96.88,-0.02
PIBFR5YS2030-01-09,96.84,0.00
