Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,95.60,0.09,,
PIBFR10YQ2033-12-14,93.69,0.30,,
PIBFR10YS2028-05-31,98.98,-0.12,,
PIBFR10YS2028-06-28,98.96,-0.12,,
PIBFR10YS2028-08-09,99.00,-0.05,,
PIBFR10YS2029-02-21,98.88,-0.14,,
PIBFR10YS2029-03-21,98.72,-0.21,,
PIBFR10YS2029-04-18,98.57,-0.30,,
PIBFR10YS2029-05-30,98.23,-0.40,,
PIBFR10YS2029-06-27,98.51,-0.21,,
PIBFR10YS2029-07-25,98.37,-0.52,,
PIBFR10YS2029-08-22,99.00,-0.01,,
PIBFR10YS2030-06-18,100.06,-0.03,,
PIBFR10YS2031-11-04,96.03,0.21,,
PIBFR10YS2034-02-07,93.57,0.06,,
PIBFR10YS2034-04-18,93.91,0.13,,
PIBFR10YS2034-09-05,93.47,0.04,,
PIBFR10YS2034-10-03,93.28,0.16,,
PIBFR10YS2034-11-14,93.62,0.10,,
PIBFR10YS2034-12-12,93.58,0.11,,
PIBFR10YS2035-01-09,93.44,0.10,,
PIBFR10YS2035-04-17,93.62,0.06,,
PIBFR2YQ2025-09-21,99.76,0.04,,
PIBFR2YS2026-10-03,99.74,-0.02,,
PIBFR2YS2027-01-09,99.78,0.02,,
PIBFR3YQ2025-09-08,99.87,0.04,,
PIBFR3YQ2026-02-09,99.64,0.03,,
PIBFR3YQ2026-09-21,99.18,0.06,,
PIBFR3YQ2026-10-19,99.19,0.04,,
PIBFR3YQ2027-02-07,98.87,0.06,,
PIBFR5YQ2025-10-22,99.71,-0.03,,
PIBFR5YS2025-06-18,100.02,-0.02,,
PIBFR5YS2026-05-06,99.95,0.23,,
PIBFR5YS2027-11-17,98.59,-0.08,,
PIBFR5YS2028-04-06,98.05,0.01,,
PIBFR5YS2028-08-10,97.62,0.14,,
PIBFR5YS2028-09-21,97.64,0.04,,
PIBFR5YS2028-10-19,97.75,0.11,,
PIBFR5YS2028-12-14,97.54,0.02,,
PIBFR5YS2029-02-07,97.39,-175.17,,
PIBFR5YS2029-04-18,97.47,0.06,,
PIBFR5YS2029-06-27,97.32,0.14,,
PIBFR5YS2029-09-05,97.15,0.18,,
PIBFR5YS2029-10-03,97.12,0.16,,
PIBFR5YS2029-11-14,97.31,0.17,,
PIBFR5YS2029-12-12,97.10,0.11,,
PIBFR5YS2030-01-09,97.03,0.08,,
PIBFR5YS2030-04-17,97.12,0.07,,
