Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,96.20,0.05,,,
PIBFR10YQ2033-12-14,95.51,0.13,,,
PIBFR10YS2028-05-31,99.26,0.00,,,
PIBFR10YS2028-06-28,99.25,0.01,,,
PIBFR10YS2028-08-09,99.10,0.04,,,
PIBFR10YS2029-02-21,98.96,0.04,,,
PIBFR10YS2029-03-21,98.77,0.00,,,
PIBFR10YS2029-04-18,98.65,0.01,,,
PIBFR10YS2029-05-30,98.44,0.02,,,
PIBFR10YS2029-06-27,98.41,0.00,,,
PIBFR10YS2029-07-25,98.48,-0.01,,,
PIBFR10YS2029-08-22,99.19,0.04,,,
PIBFR10YS2030-06-18,100.15,0.03,,,
PIBFR10YS2031-11-04,97.08,0.17,,,
PIBFR10YS2034-02-07,95.38,0.34,,,
PIBFR10YS2034-04-18,95.70,0.08,,,
PIBFR10YS2034-09-05,95.23,0.26,,,
PIBFR10YS2034-10-03,95.45,0.31,,,
PIBFR10YS2034-11-14,95.41,0.24,,,
PIBFR10YS2034-12-12,95.34,0.16,,,
PIBFR10YS2035-01-09,95.36,0.19,,,
PIBFR10YS2035-04-17,95.44,0.23,,,
PIBFR2YQ2025-09-21,99.95,0.03,,,
PIBFR2YS2026-10-03,99.79,0.01,,,
PIBFR2YS2027-01-09,99.89,-0.01,,,
PIBFR3YQ2025-09-08,99.97,0.00,,,
PIBFR3YQ2026-02-09,99.78,0.03,,,
PIBFR3YQ2026-09-21,99.47,0.04,,,
PIBFR3YQ2026-10-19,99.50,0.04,,,
PIBFR3YQ2027-02-07,99.10,0.02,,,
PIBFR5YQ2025-10-22,99.78,0.02,,,
PIBFR5YS2025-06-18,100.03,-0.01,,,
PIBFR5YS2026-05-06,100.19,0.00,,,
PIBFR5YS2027-11-17,99.03,0.15,,,
PIBFR5YS2028-04-06,99.08,0.11,,,
PIBFR5YS2028-08-10,98.54,0.30,,,
PIBFR5YS2028-09-21,98.91,0.35,,,
PIBFR5YS2028-10-19,98.83,0.15,,,
PIBFR5YS2028-12-14,98.46,0.29,,,
PIBFR5YS2029-02-07,98.19,0.14,,,
PIBFR5YS2029-04-18,98.61,0.18,,,
PIBFR5YS2029-06-27,98.22,0.22,,,
PIBFR5YS2029-09-05,98.45,0.53,,,
PIBFR5YS2029-10-03,98.15,0.31,,,
PIBFR5YS2029-11-14,98.44,0.29,,,
PIBFR5YS2029-12-12,98.03,0.29,,,
PIBFR5YS2030-01-09,98.00,0.24,,,
PIBFR5YS2030-04-17,98.18,0.27,,,
