Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.30,0.11
PIBFR10YQ2033-12-14,95.05,0.06
PIBFR10YS2028-05-31,98.67,-0.09
PIBFR10YS2028-06-28,98.56,-0.13
PIBFR10YS2028-08-09,98.75,0.03
PIBFR10YS2029-02-21,98.53,-0.24
PIBFR10YS2029-03-21,98.37,-0.24
PIBFR10YS2029-04-18,98.32,-0.08
PIBFR10YS2029-05-30,98.22,-0.02
PIBFR10YS2029-06-27,98.42,-0.15
PIBFR10YS2029-07-25,98.31,-0.22
PIBFR10YS2029-08-22,98.51,-0.26
PIBFR10YS2030-06-18,99.94,0.00
PIBFR10YS2031-11-04,94.84,-0.05
PIBFR10YS2034-02-07,95.85,-0.14
PIBFR10YS2034-04-18,93.44,-0.14
PIBFR10YS2034-09-05,94.44,0.04
PIBFR10YS2034-10-03,93.89,0.05
PIBFR10YS2034-11-14,93.00,0.07
PIBFR2YQ2025-02-09,99.84,-0.02
PIBFR2YQ2025-04-06,99.74,-0.02
PIBFR2YQ2025-09-21,99.37,-0.02
PIBFR2YS2026-10-03,99.74,0.03
PIBFR3YQ2025-04-07,100.10,-0.01
PIBFR3YQ2025-09-08,99.59,0.00
PIBFR3YQ2026-02-09,98.94,-0.01
PIBFR3YQ2026-09-21,98.90,-0.01
PIBFR3YQ2026-10-19,98.68,0.00
PIBFR3YQ2027-02-07,98.72,0.00
PIBFR5YQ2025-10-22,99.22,-0.04
PIBFR5YS2025-06-18,100.49,0.00
PIBFR5YS2026-05-06,99.34,-0.01
PIBFR5YS2027-11-17,97.57,0.03
PIBFR5YS2028-04-06,97.65,0.03
PIBFR5YS2028-08-10,97.86,-0.01
PIBFR5YS2028-09-21,97.99,0.00
PIBFR5YS2028-10-19,97.20,-0.01
PIBFR5YS2028-12-14,97.45,-0.04
PIBFR5YS2029-02-07,97.85,-0.05
PIBFR5YS2029-04-18,96.84,-0.04
PIBFR5YS2029-06-27,97.22,0.05
PIBFR5YS2029-09-05,97.74,-0.02
PIBFR5YS2029-10-03,97.47,0.00
PIBFR5YS2029-11-14,96.70,0.00
