,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,100,99.28,99.65,99.49,99.96,100.2,,99.7
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,100.1,99.23,99.7,99.5,100.1,100.22,,99.73
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.89,0,100.74,98.99,99.9,99.74,100.61,100.61,,99.97
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.59,0,100.69,98.79,99.8,99.55,100.4,100.82,,99.85
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.6,0,100.68,98.49,99.65,99.39,100.39,100.53,,99.71
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.52,0,100.74,98.48,99.6,99.37,100.39,100.53,,99.68
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.47,0,100.72,98.3,99.5,99.21,100.42,100.25,,99.57
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.37,0,100.75,98.28,99.5,99.21,100.6,100.43,,99.62
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.8,98.38,99.7,99.37,100.62,100.78,,99.8
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.52,0,100.7,98.52,100,99.82,100.61,100.44,,100.08
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.61,0,100.93,100.73,100.8,100.71,100.52,101.08,,100.74
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.87,0,100,99.99,99.95,100,99.94,97.47,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.28,0,98.23,97.27,97.65,97.66,97.66,99.91,,97.7
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.11,0,100.32,100.18,100.21,100.17,100.1,100.28,,100.19
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.98,0,100.02,99.99,99.97,99.97,99.98,99.96,,99.98
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.99,0,97.91,97.18,97.3,97.3,97.2,97.61,,97.32
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.08,0,99.37,98.97,99.3,99.37,99.41,99.76,,99.31
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.75,0,99.92,99.83,99.9,99.87,99.9,99.82,,99.86
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.07,0,99.11,99.06,99.15,99.07,99.11,99.17,,99.1
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.76,0,98.9,98.43,98.75,98.76,99.02,98.7,,98.77
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.98,0,99.96,99.96,99.9,99.94,99.9,99.99,,99.95
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.36,0,99.88,99.69,99.65,99.67,99.73,99.69,,99.69
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.7,0,98.84,98.69,98.75,98.75,98.97,98.65,,98.75
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.27,0,100,99.67,99.6,99.66,99.71,99.6,,99.65
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.67,0,98.97,98.78,98.92,98.79,98.92,99.17,,98.88
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.61,0,98.88,98.6,98.74,98.74,98.88,98.45,,98.71
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.38,0,96.29,95.88,96,95.88,96.03,96.23,,96
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.6,0,98.73,97.96,98.59,98.59,98.7,98.4,,98.58
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.48,0,96.08,95.75,95.75,95.83,95.93,95.82,,95.82
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.51,0,98.65,98.56,98.65,98.65,98.65,98.62,,98.63
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.82,0,96.32,95.91,95.9,95.92,96.07,95.91,,95.94
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.44,0,98.74,98.59,98.6,98.59,98.74,98.77,,98.65
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.4,0,98.64,98.38,98.55,98.55,98.65,98.62,,98.55
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.43,0,96.05,95.68,95.7,95.69,95.89,95.94,,95.78
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.75,0,99.85,99.87,99.8,99.8,99.86,99.78,,99.82
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.37,0,98.68,98.52,98.52,98.37,98.62,98.61,,98.53
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.4,0,96.02,95.66,95.65,95.66,95.82,95.91,,95.74
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.33,0,99.65,99.62,99.45,99.52,99.59,98.8,,99.5
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.43,0,98.69,98.59,98.49,98.49,98.53,98.49,,98.52
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.42,0,96.19,95.78,95.67,95.67,95.83,95.32,,95.67
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.3,0,98.66,98.13,98.46,98.39,98.36,98.28,,98.36
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.11,0,96.07,95.52,95.45,95.53,95.63,95.68,,95.56
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.72,0,99.79,100,99.8,99.86,99.79,100,,99.85
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,98.45,98.28,98.28,98.28,98.35,97.96,,98.29
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.21,0,96.03,95.48,95.4,95.48,95.48,95.48,,95.46
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.22,0,98.38,98.18,98.21,98.21,98.32,98.19,,98.23
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.3,0,96.1,95.67,95.55,95.57,95.3,95.72,,95.56
