Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,95.55,0.13,,,
PIBFR10YQ2033-12-14,93.76,0.10,,,
PIBFR10YS2028-05-31,99.02,-0.04,,,
PIBFR10YS2028-06-28,99.00,-0.03,,,
PIBFR10YS2028-08-09,99.00,0.03,,,
PIBFR10YS2029-02-21,98.89,0.02,,,
PIBFR10YS2029-03-21,98.76,0.05,,,
PIBFR10YS2029-04-18,98.55,0.01,,,
PIBFR10YS2029-05-30,98.24,0.01,,,
PIBFR10YS2029-06-27,98.49,0.06,,,
PIBFR10YS2029-07-25,98.37,0.01,,,
PIBFR10YS2029-08-22,98.97,0.09,,,
PIBFR10YS2030-06-18,100.06,0.02,,,
PIBFR10YS2031-11-04,96.07,0.01,,,
PIBFR10YS2034-02-07,93.48,-0.04,,,
PIBFR10YS2034-04-18,94.08,0.07,,,
PIBFR10YS2034-09-05,93.57,-0.04,,,
PIBFR10YS2034-10-03,93.28,0.00,,,
PIBFR10YS2034-11-14,93.54,0.01,,,
PIBFR10YS2034-12-12,93.52,0.02,,,
PIBFR10YS2035-01-09,93.50,0.01,,,
PIBFR10YS2035-04-17,93.71,0.00,,,
PIBFR2YQ2025-09-21,99.80,0.03,,,
PIBFR2YS2026-10-03,99.78,0.00,,,
PIBFR2YS2027-01-09,99.90,0.04,,,
PIBFR3YQ2025-09-08,99.85,0.00,,,
PIBFR3YQ2026-02-09,99.64,0.02,,,
PIBFR3YQ2026-09-21,99.17,-0.01,,,
PIBFR3YQ2026-10-19,99.24,0.05,,,
PIBFR3YQ2027-02-07,98.94,0.05,,,
PIBFR5YQ2025-10-22,99.69,0.00,,,
PIBFR5YS2025-06-18,100.00,0.00,,,
PIBFR5YS2026-05-06,100.01,-0.03,,,
PIBFR5YS2027-11-17,98.61,0.02,,,
PIBFR5YS2028-04-06,98.09,0.02,,,
PIBFR5YS2028-08-10,97.65,0.01,,,
PIBFR5YS2028-09-21,97.64,0.00,,,
PIBFR5YS2028-10-19,97.81,0.02,,,
PIBFR5YS2028-12-14,97.56,0.00,,,
PIBFR5YS2029-02-07,97.31,0.00,,,
PIBFR5YS2029-04-18,97.51,0.01,,,
PIBFR5YS2029-06-27,97.38,0.01,,,
PIBFR5YS2029-09-05,97.17,0.00,,,
PIBFR5YS2029-10-03,97.17,0.00,,,
PIBFR5YS2029-11-14,97.27,0.01,,,
PIBFR5YS2029-12-12,97.08,-0.01,,,
PIBFR5YS2030-01-09,97.06,0.00,,,
PIBFR5YS2030-04-17,97.15,0.01,,,
