GOPFB Fixing,,,,,,,,,,
Government of Pakistan Floating Bond Rates,,,,,,,,,,
Updated at 17:15:00 Dated 2023-01-18,,,,,,,,,,
,,,,,,,,,,
User,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,Fma
GOPFB-31-05-2028,Half-Yearly,98.15,98.14,0.00,98.14,96.52,98.20,98.15,98.11,98.14
GOPFB-28-06-2028,Half-Yearly,98.10,98.12,0.00,98.11,96.61,98.10,98.15,98.10,98.11
GOPFB-09-08-2028,Half-Yearly,98.80,98.83,0.00,98.79,97.15,98.90,98.80,98.75,98.79
GOPFB-21-02-2029,Half-Yearly,98.90,98.80,0.00,98.82,96.99,99.00,99.00,98.85,98.87
GOPFB-21-03-2029,Half-Yearly,98.70,98.78,0.00,98.68,96.95,98.70,98.60,98.65,98.67
GOPFB-18-04-2029,Half-Yearly,98.80,98.79,0.00,98.70,96.92,98.75,98.80,98.74,98.76
GOPFB-30-05-2029,Half-Yearly,98.70,98.75,0.00,98.64,96.91,98.80,97.70,98.70,98.50
GOPFB-27-06-2029,Half-Yearly,98.80,98.80,0.00,98.81,97.20,99.00,97.70,98.75,98.57
GOPFB-25-07-2029,Half-Yearly,98.80,98.85,0.00,98.77,97.09,99.00,97.70,98.75,98.57
GOPFB-22-08-2029,Half-Yearly,98.90,98.85,0.00,98.73,97.05,98.95,98.80,98.75,98.81
GOPFB-19-06-2023,Half-Yearly,99.95,99.91,0.00,99.93,99.87,99.95,99.95,99.95,99.94
GOPFB-18-06-2025,Half-Yearly,99.65,99.76,0.00,99.73,98.23,99.75,99.75,99.75,99.73
GOPFB-18-06-2030,Half-Yearly,98.00,98.76,0.00,98.55,96.78,98.40,98.60,98.60,98.43
GOPFB-22-10-2023,Quarterly,99.25,99.29,0.00,99.29,99.36,99.30,99.30,99.27,99.29
GOPFB-22-10-2025,Quarterly,97.25,98.25,0.00,97.98,97.58,97.80,98.00,98.00,97.87
GOPFB-22-10-2030,Quarterly,96.50,96.61,0.00,95.68,93.61,96.00,96.25,96.25,96.14
GOPFB-31-12-2023,Half-Yearly,99.00,99.02,0.00,99.02,99.47,99.00,98.95,99.00,99.01
GOPFB-06-05-2026,Half-Yearly,96.75,96.74,0.00,96.61,96.49,96.64,96.60,96.60,96.64
GOPFB-26-08-2023,Quarterly,99.77,99.68,0.00,99.72,99.77,99.70,99.60,99.60,99.69
GOPFB-07-10-2024,Quarterly,98.40,98.40,0.00,98.44,98.47,98.50,98.40,98.39,98.42
GOPFB-30-12-2023,Quarterly,99.90,99.59,0.00,96.60,99.56,99.60,99.55,99.56,99.57
GOPFB-07-04-2025,Quarterly,97.90,98.08,0.00,98.09,98.12,98.15,98.15,98.11,98.11
GOPFB-08-09-2025,Quarterly,97.87,97.84,0.00,97.82,97.85,97.85,97.88,97.81,97.85
GOPFB-08-09-2024,Quarterly,99.08,99.06,0.00,99.06,99.07,99.06,99.05,99.06,99.06
GOPFB-04-11-2031,Half-Yearly,93.62,93.67,0.00,93.67,93.46,93.70,93.65,93.65,93.65
GOPFB-17-11-2027,Half-Yearly,95.45,95.45,0.00,95.44,94.98,95.45,95.45,95.45,95.45
