,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.4,0,99.3,99.28,99.25,99.27,99.76,98.64,,99.3
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.23,0,99.4,99.23,99.25,99.22,100.22,98.6,,99.27
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.8,0,99.25,98.99,99.1,98.92,100.74,99.3,,99.11
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.51,0,99.05,98.79,98.95,98.79,100.54,99,,98.92
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.54,0,99,98.49,98.75,98.78,100.52,98.7,,98.75
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.48,0,98.85,98.48,98.6,98.63,100.57,98.55,,98.62
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.51,0,98.6,98.3,98.5,98.35,100.61,98.24,,98.45
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.34,0,98.7,98.28,98.4,98.43,100.76,98.2,,98.43
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.45,0,98.65,98.38,98.5,98.54,100.76,98.3,,98.5
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.77,0,99.2,98.52,99.15,99.15,100.76,99.62,,99.18
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100,0,100.2,100.04,100.05,100,100.04,100,,100.03
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.98,0,100.15,99.96,100.1,100.16,100.72,100.52,,100.18
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.77,0,99.85,100.12,99.75,99.76,99.84,99.55,,99.79
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,96.53,0,96.17,94.98,96,96.15,97.66,95.6,,96.09
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,100.17,0,100.2,100.2,100.2,100.2,100.16,100.2,,100.19
PIB-FRB-16,8-Sep-22,8-Sep-25,Quarterly,99.93,0,100,100,99.97,99.93,99.94,99.96,,99.96
PIB-FRB-17,4-Nov-21,4-Nov-31,Half-Yearly,96.2,0,96.9,97.81,97.17,97.16,97.05,97.38,,97.13
PIB-FRB-18,17-Nov-22,17-Nov-27,Half-Yearly,98.74,0,98.95,98.84,98.84,98.95,99.36,99.36,,98.99
PIB-FRB-19,9-Feb-23,9-Feb-26,Quarterly,99.66,0,99.82,99.83,99.86,99.8,99.83,99.82,,99.82
PIB-FRB-20,6-Apr-23,6-Apr-28,Half-Yearly,98.72,0,99,99.26,99.14,99.14,99.19,99.14,,99.12
PIB-FRB-21,10-Aug-23,10-Aug-28,Half-Yearly,97.54,0,98.25,98.79,98.4,98.53,98.97,98.89,,98.57
PIB-FRB-22,21-Sep-23,21-Sep-25,Quarterly,99.77,0,100,99.96,99.95,99.9,99.91,99.99,,99.94
PIB-FRB-23,21-Sep-23,21-Sep-26,Quarterly,99.28,0,99.45,99.69,99.69,99.45,99.63,99.69,,99.58
PIB-FRB-24,21-Sep-23,21-Sep-28,Half-Yearly,98.23,0,98.7,98.89,99.03,98.89,98.89,98.89,,98.85
PIB-FRB-25,19-Oct-23,19-Oct-26,Quarterly,99.17,0,99.5,99.67,99.5,99.49,99.61,99.6,,99.54
PIB-FRB-26,19-Oct-23,19-Oct-28,Half-Yearly,98.35,0,98.85,99.02,98.97,98.75,98.75,98.91,,98.85
PIB-FRB-27,14-Dec-23,14-Dec-28,Half-Yearly,98.17,0,98.35,98.45,98.31,98.45,98.45,98.72,,98.4
PIB-FRB-28,14-Dec-23,14-Dec-33,Half-Yearly,95.4,0,95.35,95.64,95.5,95.64,95.79,95.63,,95.56
PIB-FRB-29,7-Feb-24,7-Feb-29,Half-Yearly,98.07,0,98.1,98.5,98.07,98.21,98.21,98.79,,98.22
PIB-FRB-30,7-Feb-24,7-Feb-34,Half-Yearly,95.24,0,95.1,95.75,95.49,95.49,95.75,95.43,,95.48
PIB-FRB-31,18-Apr-24,18-Apr-29,Half-Yearly,98.32,0,98.5,98.76,98.76,98.61,98.4,98.76,,98.61
PIB-FRB-32,18-Apr-24,18-Apr-34,Half-Yearly,95.53,0,95.8,96.04,95.78,95.68,95.68,95.53,,95.69
PIB-FRB-33,27-Jun-24,27-Jun-29,Half-Yearly,98.1,0,98.1,98.41,98.1,98.26,98.1,98.56,,98.19
PIB-FRB-34,5-Sep-24,5-Sep-29,Half-Yearly,98.01,0,98,98.65,98.33,98.33,98.49,98.49,,98.33
PIB-FRB-35,5-Sep-24,5-Sep-34,Half-Yearly,95.1,0,95.1,95.63,95.37,95.37,95.42,95.36,,95.32
PIB-FRB-36,3-Oct-24,3-Oct-26,Half-Yearly,99.72,0,99.8,99.87,99.47,99.78,99.84,99.78,,99.78
PIB-FRB-37,3-Oct-24,3-Oct-29,Half-Yearly,97.92,0,97.9,98.48,98.15,98.15,97.89,98.54,,98.12
PIB-FRB-38,3-Oct-24,3-Oct-34,Half-Yearly,95.09,0,95.2,95.62,95.62,95.36,95.62,95.35,,95.43
PIB-FRB-39,7-Feb-24,7-Feb-27,Quarterly,98.92,0,99.2,99.62,99.1,99.09,99.51,98.8,,99.16
PIB-FRB-40,14-Nov-24,14-Nov-29,Half-Yearly,97.66,0,98.4,98.65,98.48,98.32,98.15,98.81,,98.4
PIB-FRB-41,14-Nov-24,14-Nov-34,Half-Yearly,95.14,0,95.5,95.93,95.66,95.4,95.61,95.4,,95.51
PIB-FRB-42,12-Dec-24,12-Dec-29,Half-Yearly,97.8,0,97.85,98.16,98,98.04,97.83,98.48,,97.98
PIB-FRB-43,12-Dec-24,12-Dec-34,Half-Yearly,95.38,0,95.35,95.78,95.53,95.44,95.28,95.37,,95.41
PIB-FRB-44,9-Jan-25,9-Jan-27,Half-Yearly,99.68,0,99.95,99.96,99.16,99.83,99.97,100,,99.88
PIB-FRB-45,9-Jan-25,9-Jan-30,Half-Yearly,97.74,0,97.85,97.91,97.85,98.08,97.81,98.52,,97.9
PIB-FRB-46,9-Jan-25,9-Jan-35,Half-Yearly,95.33,0,95.15,95.86,95.33,95.33,95.6,95.32,,95.38
PIB-FRB-47,17-Apr-25,17-Apr-30,Half-Yearly,97.75,0,98,98.71,98.18,98.18,97.82,98.53,,98.14
PIB-FRB-48,17-Apr-25,17-Apr-35,Half-Yearly,95.43,0,95.15,95.81,95.54,95.38,95.54,95.26,,95.43
PIB-FRB-49,29-May-25,29-May-35,Half-Yearly,95.14,0,95.42,95.31,95.31,95.42,95.31,95.3,,95.33
