,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,100.25,99.28,99.5,99.49,99.85,0,,99.56
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.25,0,100.22,99.23,99.55,99.5,100.1,0,,99.6
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.88,0,100.74,98.99,99.65,99.74,100.61,0,,99.75
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.58,0,100.69,98.79,99.53,99.55,100.4,0,,99.57
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.6,0,100.68,98.49,99.3,99.39,100.39,0,,99.42
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.52,0,100.74,98.48,99.25,99.37,100.39,0,,99.38
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.47,0,100.72,98.3,99.15,99.21,100.42,0,,99.31
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.36,0,100.9,98.28,99,99.21,100.6,0,,99.29
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.51,0,100.94,98.38,99.25,99.37,100.63,0,,99.44
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,99.51,0,100.95,98.52,99.8,99.82,100.6,0,,99.93
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.61,0,100.93,100.73,100.89,100.71,100.52,0,,100.71
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.87,0,100,100,99.95,100,99.92,0,,99.97
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.28,0,98.23,97.27,97.5,97.46,97.66,0,,97.48
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.12,0,100.32,100.18,100.23,100.39,100.1,0,,100.21
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.98,0,100.02,99.95,99.97,99.97,99.97,0,,99.97
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.99,0,97.91,97.18,97.61,97.5,96.98,0,,97.32
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.08,0,99.37,98.97,99.57,99.77,99.27,0,,99.32
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.74,0,99.92,99.83,99.86,99.92,99.86,0,,99.87
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.07,0,99.11,99.06,99.29,99.4,99.06,0,,99.13
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.75,0,98.9,98.43,98.75,98.99,98.91,0,,98.83
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.98,0,99.96,99.95,99.87,99.94,99.87,0,,99.93
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.35,0,99.88,99.69,99.6,99.67,99.72,0,,99.67
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.69,0,98.84,98.69,98.82,98.89,98.89,0,,98.81
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.26,0,100,99.67,99.6,99.66,99.71,0,,99.66
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.66,0,98.97,98.78,98.92,99.31,98.91,0,,98.9
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.6,0,98.88,98.6,98.88,98.88,98.87,0,,98.81
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.37,0,96.29,95.88,96.14,96.14,95.62,0,,95.95
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.59,0,98.73,97.96,98.58,98.59,98.58,0,,98.59
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.47,0,96.08,95.75,95.83,95.83,95.72,0,,95.78
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.5,0,98.65,98.56,98.79,98.65,98.64,0,,98.63
