Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,97.58,-0.01,,
PIBFR10YS2028-05-31,99.87,0.02,,
PIBFR10YS2028-06-28,99.84,-0.02,,
PIBFR10YS2028-08-09,100.22,-0.04,,
PIBFR10YS2029-02-21,100.41,0.06,,
PIBFR10YS2029-03-21,100.21,-0.11,,
PIBFR10YS2029-04-18,100.19,-0.11,,
PIBFR10YS2029-05-30,100.13,-0.10,,
PIBFR10YS2029-06-27,100.28,-0.09,,
PIBFR10YS2029-07-25,100.40,-0.08,,
PIBFR10YS2029-08-22,100.60,-0.03,,
PIBFR10YS2030-06-18,100.55,-0.02,,
PIBFR10YS2031-11-04,97.48,0.00,,
PIBFR10YS2033-12-14,95.76,0.01,,
PIBFR10YS2034-02-07,95.56,0.02,,
PIBFR10YS2034-04-18,95.78,0.02,,
PIBFR10YS2034-09-05,95.51,0.03,,
PIBFR10YS2034-10-03,95.56,-0.01,,
PIBFR10YS2034-11-14,95.58,0.03,,
PIBFR10YS2034-12-12,95.53,0.02,,
PIBFR10YS2035-01-09,95.41,-0.02,,
PIBFR10YS2035-04-17,95.51,0.03,,
PIBFR10YS2035-05-29,95.23,0.04,,
PIBFR10YS2035-07-10,94.96,0.09,,
PIBFR2YS2026-10-03,99.83,-0.01,,
PIBFR2YS2027-01-09,99.81,-0.02,,
PIBFR3YQ2026-02-09,99.94,0.00,,
PIBFR3YQ2026-09-21,99.79,-0.01,,
PIBFR3YQ2026-10-19,99.70,-0.01,,
PIBFR3YQ2027-02-07,99.51,-0.01,,
PIBFR5YQ2025-10-22,99.98,0.00,,
PIBFR5YS2026-05-06,99.97,-0.01,,
PIBFR5YS2027-11-17,99.41,-0.02,,
PIBFR5YS2028-04-06,98.93,0.02,,
PIBFR5YS2028-08-10,98.72,0.02,,
PIBFR5YS2028-09-21,98.63,0.00,,
PIBFR5YS2028-10-19,98.72,0.01,,
PIBFR5YS2028-12-14,98.63,0.00,,
PIBFR5YS2029-02-07,98.40,0.00,,
PIBFR5YS2029-04-18,98.46,0.01,,
PIBFR5YS2029-06-27,98.37,0.03,,
PIBFR5YS2029-09-05,98.35,0.03,,
PIBFR5YS2029-10-03,98.26,-0.03,,
PIBFR5YS2029-11-14,98.38,0.03,,
PIBFR5YS2029-12-12,98.38,0.00,,
PIBFR5YS2030-01-09,98.27,-0.01,,
PIBFR5YS2030-04-17,98.26,0.03,,
