Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.40,0.00
PIBFR10YQ2033-12-14,93.14,0.00
PIBFR10YS2028-05-31,98.53,0.00
PIBFR10YS2028-06-28,98.50,-0.02
PIBFR10YS2028-08-09,98.68,0.00
PIBFR10YS2029-02-21,98.59,0.00
PIBFR10YS2029-03-21,98.36,0.00
PIBFR10YS2029-04-18,98.37,0.00
PIBFR10YS2029-05-30,98.20,0.00
PIBFR10YS2029-06-27,98.51,0.00
PIBFR10YS2029-07-25,98.33,0.00
PIBFR10YS2029-08-22,98.55,0.00
PIBFR10YS2030-06-18,100.00,0.01
PIBFR10YS2031-11-04,94.86,0.00
PIBFR10YS2034-02-07,95.94,0.00
PIBFR10YS2034-04-18,93.56,0.00
PIBFR10YS2034-09-05,94.40,0.00
PIBFR10YS2034-10-03,93.85,-0.22
PIBFR10YS2034-11-14,92.99,-0.04
PIBFR10YS2034-12-12,92.58,0.00
PIBFR2YQ2025-02-09,99.88,0.00
PIBFR2YQ2025-04-06,99.80,0.01
PIBFR2YQ2025-09-21,99.49,0.00
PIBFR2YS2026-10-03,99.73,0.00
PIBFR3YQ2025-04-07,100.09,0.00
PIBFR3YQ2025-09-08,99.85,0.00
PIBFR3YQ2026-02-09,99.48,0.02
PIBFR3YQ2026-09-21,98.96,-0.07
PIBFR3YQ2026-10-19,98.77,0.01
PIBFR3YQ2027-02-07,98.73,0.00
PIBFR5YQ2025-10-22,99.29,0.00
PIBFR5YS2025-06-18,100.44,-0.03
PIBFR5YS2026-05-06,99.70,-0.01
PIBFR5YS2027-11-17,98.12,-0.04
PIBFR5YS2028-04-06,97.88,0.00
PIBFR5YS2028-08-10,97.86,0.00
PIBFR5YS2028-09-21,98.03,0.00
PIBFR5YS2028-10-19,97.53,0.01
PIBFR5YS2028-12-14,97.09,0.01
PIBFR5YS2029-02-07,97.94,0.00
PIBFR5YS2029-04-18,97.28,0.02
PIBFR5YS2029-06-27,96.76,-0.04
PIBFR5YS2029-09-05,97.50,0.00
PIBFR5YS2029-10-03,97.47,0.02
PIBFR5YS2029-11-14,97.02,0.04
PIBFR5YS2029-12-12,96.65,0.00
