,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.13,98.14,0.00,98.14,96.20,96.21,98.15,98.11,,97.75
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.08,98.12,0.00,98.12,96.28,98.10,98.15,98.10,,98.10
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.80,98.80,0.00,98.81,96.86,98.80,98.80,98.75,,98.79
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.80,98.80,0.00,98.83,96.68,99.00,98.00,98.85,,98.66
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.80,98.75,0.00,98.71,96.62,98.85,98.60,98.65,,98.70
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.75,98.79,0.00,98.72,96.57,98.75,98.80,98.74,,98.75
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.75,98.75,0.00,98.63,96.54,98.80,97.70,98.70,,98.51
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.70,98.80,0.00,98.78,96.82,99.00,97.70,98.75,,98.55
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.80,98.80,0.00,99.81,96.75,99.07,97.70,98.75,,98.62
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.75,98.80,0.00,98.78,96.72,98.95,98.80,98.75,,98.78
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,99.90,99.91,0.00,99.65,99.91,99.63,99.95,99.95,,99.86
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.76,0.00,99.76,98.98,99.75,99.75,99.75,,99.75
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,98.80,98.50,0.00,98.40,96.36,98.40,98.60,98.40,,98.46
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.30,99.30,0.00,99.30,99.30,99.30,99.28,99.33,,99.30
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,98.00,98.00,0.00,98.00,97.63,97.77,98.00,98.00,,97.95
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,96.65,95.86,0.00,95.86,93.24,95.66,95.85,96.25,,95.90
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,99.00,99.00,0.00,99.00,99.30,99.34,98.95,99.00,,99.06
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,96.70,96.70,0.00,96.66,96.29,96.64,96.60,96.60,,96.64
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,99.75,99.75,0.00,99.68,99.67,99.70,99.78,99.60,,99.71
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,98.45,98.42,0.00,98.46,98.50,98.50,98.40,98.39,,98.45
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,99.55,99.50,0.00,99.45,99.43,99.43,99.50,99.56,,99.49
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,98.15,98.15,0.00,98.08,98.08,98.16,98.05,98.11,,98.11
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,97.85,97.82,0.00,97.83,97.85,97.82,97.88,97.81,,97.83
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,99.00,99.03,0.00,99.03,99.05,99.03,99.01,99.02,,99.02
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,93.65,93.67,0.00,93.63,93.46,93.47,93.65,93.65,,93.61
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,95.45,95.45,0.00,95.45,95.16,95.47,95.45,95.45,,95.45
PIB-FRB-27,9-Feb-23,9-Feb-25,Quarterly,98.85,98.85,0.00,98.88,98.88,98.85,98.85,98.85,,98.86
PIB-FRB-28,9-Feb-23,9-Feb-26,Quarterly,97.63,97.64,0.00,97.64,97.64,97.64,97.63,97.63,,97.64
