Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.63,0.15,,,
PIBFR10YQ2033-12-14,96.00,0.05,,,
PIBFR10YS2028-05-31,99.68,0.12,,,
PIBFR10YS2028-06-28,99.72,0.12,,,
PIBFR10YS2028-08-09,99.92,0.17,,,
PIBFR10YS2029-02-21,99.79,0.22,,,
PIBFR10YS2029-03-21,99.64,0.22,,,
PIBFR10YS2029-04-18,99.61,0.23,,,
PIBFR10YS2029-05-30,99.50,0.19,,,
PIBFR10YS2029-06-27,99.52,0.23,,,
PIBFR10YS2029-07-25,99.71,0.27,,,
PIBFR10YS2029-08-22,100.03,0.10,,,
PIBFR10YS2030-06-18,100.76,0.05,,,
PIBFR10YS2031-11-04,97.38,0.06,,,
PIBFR10YS2034-02-07,95.79,0.01,,,
PIBFR10YS2034-04-18,95.97,-0.02,,,
PIBFR10YS2034-09-05,95.71,0.06,,,
PIBFR10YS2034-10-03,95.68,0.06,,,
PIBFR10YS2034-11-14,95.68,-0.06,,,
PIBFR10YS2034-12-12,95.60,0.02,,,
PIBFR10YS2035-01-09,95.43,0.02,,,
PIBFR10YS2035-04-17,95.68,0.01,,,
PIBFR10YS2035-05-29,95.41,0.02,,,
PIBFR10YS2035-07-10,95.29,0.01,,,
PIBFR2YQ2025-09-21,99.94,0.01,,,
PIBFR2YS2026-10-03,99.81,0.00,,,
PIBFR2YS2027-01-09,99.83,0.04,,,
PIBFR3YQ2025-09-08,99.97,0.00,,,
PIBFR3YQ2026-02-09,99.87,0.00,,,
PIBFR3YQ2026-09-21,99.67,0.00,,,
PIBFR3YQ2026-10-19,99.65,-0.01,,,
PIBFR3YQ2027-02-07,99.49,-0.04,,,
PIBFR5YQ2025-10-22,99.95,-0.02,,,
PIBFR5YS2026-05-06,100.22,0.01,,,
PIBFR5YS2027-11-17,99.39,0.07,,,
PIBFR5YS2028-04-06,99.14,0.01,,,
PIBFR5YS2028-08-10,98.80,-0.03,,,
PIBFR5YS2028-09-21,98.79,-0.02,,,
PIBFR5YS2028-10-19,98.94,0.04,,,
PIBFR5YS2028-12-14,98.77,-0.04,,,
PIBFR5YS2029-02-07,98.55,-0.04,,,
PIBFR5YS2029-04-18,98.62,-0.01,,,
PIBFR5YS2029-06-27,98.65,0.02,,,
PIBFR5YS2029-09-05,98.49,0.03,,,
PIBFR5YS2029-10-03,98.57,0.01,,,
PIBFR5YS2029-11-14,98.56,-0.01,,,
PIBFR5YS2029-12-12,98.38,0.02,,,
PIBFR5YS2030-01-09,98.29,-0.03,,,
PIBFR5YS2030-04-17,98.25,-0.02,,,
