Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,97.59,0.02,,
PIBFR10YS2028-05-31,99.85,-0.02,,
PIBFR10YS2028-06-28,99.86,0.04,,
PIBFR10YS2028-08-09,100.26,0.10,,
PIBFR10YS2029-02-21,100.35,-0.04,,
PIBFR10YS2029-03-21,100.32,0.10,,
PIBFR10YS2029-04-18,100.30,0.13,,
PIBFR10YS2029-05-30,100.23,0.11,,
PIBFR10YS2029-06-27,100.37,0.11,,
PIBFR10YS2029-07-25,100.48,0.12,,
PIBFR10YS2029-08-22,100.63,0.07,,
PIBFR10YS2030-06-18,100.57,0.04,,
PIBFR10YS2031-11-04,97.48,-0.02,,
PIBFR10YS2033-12-14,95.75,-0.01,,
PIBFR10YS2034-02-07,95.54,-0.03,,
PIBFR10YS2034-04-18,95.76,-0.05,,
PIBFR10YS2034-09-05,95.48,-0.07,,
PIBFR10YS2034-10-03,95.57,-0.06,,
PIBFR10YS2034-11-14,95.55,-0.05,,
PIBFR10YS2034-12-12,95.51,-0.12,,
PIBFR10YS2035-01-09,95.43,-0.03,,
PIBFR10YS2035-04-17,95.48,-0.04,,
PIBFR10YS2035-05-29,95.19,-0.15,,
PIBFR10YS2035-07-10,94.87,-0.33,,
PIBFR2YS2026-10-03,99.84,0.02,,
PIBFR2YS2027-01-09,99.83,0.05,,
PIBFR3YQ2026-02-09,99.94,-0.01,,
PIBFR3YQ2026-09-21,99.80,0.02,,
PIBFR3YQ2026-10-19,99.71,0.02,,
PIBFR3YQ2027-02-07,99.52,0.03,,
PIBFR5YQ2025-10-22,99.98,0.00,,
PIBFR5YS2026-05-06,99.98,-0.01,,
PIBFR5YS2027-11-17,99.43,-0.01,,
PIBFR5YS2028-04-06,98.91,-0.05,,
PIBFR5YS2028-08-10,98.70,-0.06,,
PIBFR5YS2028-09-21,98.63,0.00,,
PIBFR5YS2028-10-19,98.71,0.01,,
PIBFR5YS2028-12-14,98.63,-0.01,,
PIBFR5YS2029-02-07,98.40,-0.03,,
PIBFR5YS2029-04-18,98.45,-0.02,,
PIBFR5YS2029-06-27,98.34,-0.05,,
PIBFR5YS2029-09-05,98.32,0.00,,
PIBFR5YS2029-10-03,98.29,-0.06,,
PIBFR5YS2029-11-14,98.35,-0.09,,
PIBFR5YS2029-12-12,98.38,-0.04,,
PIBFR5YS2030-01-09,98.28,-0.03,,
PIBFR5YS2030-04-17,98.23,0.01,,
