Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.71,0.14,,,
PIBFR10YQ2033-12-14,95.98,0.00,,,
PIBFR10YS2028-05-31,99.75,0.15,,,
PIBFR10YS2028-06-28,99.84,0.17,,,
PIBFR10YS2028-08-09,100.08,0.33,,,
PIBFR10YS2029-02-21,99.98,0.31,,,
PIBFR10YS2029-03-21,99.87,0.32,,,
PIBFR10YS2029-04-18,99.85,0.35,,,
PIBFR10YS2029-05-30,99.74,0.34,,,
PIBFR10YS2029-06-27,99.83,0.39,,,
PIBFR10YS2029-07-25,99.94,0.40,,,
PIBFR10YS2029-08-22,100.10,0.16,,,
PIBFR10YS2030-06-18,100.71,0.05,,,
PIBFR10YS2031-11-04,97.23,-0.02,,,
PIBFR10YS2034-02-07,95.73,-0.09,,,
PIBFR10YS2034-04-18,95.98,-0.04,,,
PIBFR10YS2034-09-05,95.74,0.00,,,
PIBFR10YS2034-10-03,95.70,0.00,,,
PIBFR10YS2034-11-14,95.68,-0.06,,,
PIBFR10YS2034-12-12,95.53,0.00,,,
PIBFR10YS2035-01-09,95.46,0.00,,,
PIBFR10YS2035-04-17,95.55,0.03,,,
PIBFR10YS2035-05-29,95.34,-0.02,,,
PIBFR10YS2035-07-10,95.06,-0.18,,,
PIBFR2YQ2025-09-21,99.94,0.00,,,
PIBFR2YS2026-10-03,99.81,-0.02,,,
PIBFR2YS2027-01-09,99.86,0.05,,,
PIBFR3YQ2025-09-08,99.98,0.00,,,
PIBFR3YQ2026-02-09,99.86,-0.02,,,
PIBFR3YQ2026-09-21,99.68,0.00,,,
PIBFR3YQ2026-10-19,99.63,-0.03,,,
PIBFR3YQ2027-02-07,99.50,-0.05,,,
PIBFR5YQ2025-10-22,99.94,-0.02,,,
PIBFR5YS2026-05-06,100.17,0.00,,,
PIBFR5YS2027-11-17,99.35,0.06,,,
PIBFR5YS2028-04-06,99.11,0.01,,,
PIBFR5YS2028-08-10,98.70,-0.11,,,
PIBFR5YS2028-09-21,98.71,-0.05,,,
PIBFR5YS2028-10-19,98.85,-0.04,,,
PIBFR5YS2028-12-14,98.67,-0.05,,,
PIBFR5YS2029-02-07,98.48,-0.09,,,
PIBFR5YS2029-04-18,98.62,-0.01,,,
PIBFR5YS2029-06-27,98.63,0.01,,,
PIBFR5YS2029-09-05,98.58,0.05,,,
PIBFR5YS2029-10-03,98.55,0.00,,,
PIBFR5YS2029-11-14,98.50,-0.03,,,
PIBFR5YS2029-12-12,98.33,-0.04,,,
PIBFR5YS2030-01-09,98.26,-0.04,,,
PIBFR5YS2030-04-17,98.20,-0.04,,,
