,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,0,98.13,97.75,97.88,98.05,98.1,98.15,,98.06
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,0,98.11,97.75,97.86,98,98.05,98.12,,98.03
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,0,98.65,98.05,98.33,98.29,98.35,98.37,,98.33
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,0,98.59,98.1,98.19,98.29,98.25,98.22,,98.23
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,0,98.5,98.35,98.06,98.14,98.3,98.17,,98.22
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,0,98.47,98.1,98,98.16,98.5,98.52,,98.35
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,0,98.44,98.1,98.01,98.24,98.15,98.13,,98.14
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,0,98.57,98.15,98.04,98.15,98.17,98.17,,98.16
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,0,98.6,98.15,98.13,98.15,98.3,98.37,,98.27
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,0,98.64,98.15,98.39,98.05,98.35,98.2,,98.24
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.95,0,100.18,100.15,99.85,100.18,100.11,100.08,,100.09
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,0,98.48,98.74,97.67,98.74,98.5,98.64,,98.56
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.3,0,98.39,99.11,98.94,98.34,98.4,98.39,,98.49
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,0,94.95,95,95.28,94.94,94.95,94.97,,94.96
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.87,0,98.91,98.98,99.45,98.97,98.96,98.97,,98.96
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.94,0,99.95,99.94,99.93,99.93,99.93,99.94,,99.94
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.55,0,99.5,99.56,99.54,99.55,99.5,99.57,,99.54
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,99.15,0,99.04,99.28,99.04,99.18,99.1,99.12,,99.12
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.82,0,99.9,99.88,99.91,99.84,99.84,99.85,,99.86
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.6,0,95.57,95.51,95.58,95.51,95.47,95.56,,95.55
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.3,0,97.4,97.85,97.74,97.52,97.72,97.85,,97.65
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.29,0,99.39,99.22,99.29,99.3,99.3,99.27,,99.29
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.55,0,98.73,98.73,98.74,98.92,98.75,98.1,,98.70
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.15,0,99.19,99.03,98.99,99.16,99.15,99.17,,99.13
PIB-FRB-25,6-Apr-23,6-Apr-28,Half-Yearly,97.23,0,97.24,97.07,97.11,97.13,97.2,97.21,,97.18
PIB-FRB-26,10-Aug-23,10-Aug-28,Half-Yearly,96.82,0,96.84,96.84,96.76,96.84,96.91,96.83,,96.83
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.75,0,98.8,98.41,98.55,98.82,98.7,98.75,,98.71
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.2,0,98.3,98.55,98.18,98.55,98.25,98.29,,98.32
PIB-FRB-29,21-Sep-23,21-Sep-28,Half-Yearly,96.25,0,96.72,96.64,96.72,96.59,96.6,96.32,,96.57
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.15,0,98.17,98.62,98.05,98.5,98.13,98.17,,98.22
PIB-FRB-31,19-Oct-23,19-Oct-28,Half-Yearly,96.77,0,96.98,96.86,97.02,96.86,96.95,96.97,,96.92
PIB-FRB-32,14-Dec-23,14-Dec-28,Half-Yearly,96.88,0,96.86,96.86,96.83,96.8,96.87,96.9,,96.86
PIB-FRB-33,14-Dec-23,14-Dec-33,Half-Yearly,94.52,0,95,94.71,94.39,94.9,94.9,94.54,,94.71
PIB-FRB-34,7-Feb-24,7-Feb-29,Half-Yearly,96.33,0,96.84,96.84,96.75,96.83,96.86,96.72,,96.80
PIB-FRB-35,7-Feb-24,7-Feb-34,Half-Yearly,94.5,0,95.08,94.85,94.47,94.97,94.8,94.52,,94.73
PIB-FRB-36,18-Apr-24,18-Apr-29,Half-Yearly,96.62,0,96.73,96.63,96.65,96.65,96.61,96.81,,96.66
PIB-FRB-37,18-Apr-24,18-Apr-34,Half-Yearly,95.04,0,94.85,94.83,94.7,94.64,95.04,95.09,,94.89
PIB-FRB-38,27-Jun-24,27-Jun-29,Half-Yearly,96.62,0,96.62,96.62,96.62,96.61,96.64,96.62,,96.62
