Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.28,-0.06
PIBFR10YQ2033-12-14,94.82,-0.19
PIBFR10YS2028-05-31,98.65,-0.01
PIBFR10YS2028-06-28,98.63,-0.01
PIBFR10YS2028-08-09,98.68,-0.01
PIBFR10YS2029-02-21,98.53,0.03
PIBFR10YS2029-03-21,98.36,0.00
PIBFR10YS2029-04-18,98.34,0.01
PIBFR10YS2029-05-30,98.21,-0.01
PIBFR10YS2029-06-27,98.45,0.02
PIBFR10YS2029-07-25,98.35,0.00
PIBFR10YS2029-08-22,98.50,0.00
PIBFR10YS2030-06-18,99.95,0.01
PIBFR10YS2031-11-04,94.82,-0.02
PIBFR10YS2034-02-07,95.91,0.00
PIBFR10YS2034-04-18,93.46,0.01
PIBFR10YS2034-09-05,94.41,0.00
PIBFR10YS2034-10-03,93.87,0.00
PIBFR10YS2034-11-14,92.99,0.00
PIBFR2YQ2025-02-09,99.85,0.01
PIBFR2YQ2025-04-06,99.75,0.01
PIBFR2YQ2025-09-21,99.41,0.01
PIBFR2YS2026-10-03,99.72,0.00
PIBFR3YQ2025-04-07,100.10,0.00
PIBFR3YQ2025-09-08,99.59,-0.01
PIBFR3YQ2026-02-09,98.97,0.03
PIBFR3YQ2026-09-21,98.90,0.01
PIBFR3YQ2026-10-19,98.69,0.01
PIBFR3YQ2027-02-07,98.77,0.02
PIBFR5YQ2025-10-22,99.23,0.01
PIBFR5YS2025-06-18,100.49,0.00
PIBFR5YS2026-05-06,99.69,0.35
PIBFR5YS2027-11-17,97.62,0.03
PIBFR5YS2028-04-06,97.72,0.07
PIBFR5YS2028-08-10,97.86,-0.01
PIBFR5YS2028-09-21,98.02,0.03
PIBFR5YS2028-10-19,97.26,0.08
PIBFR5YS2028-12-14,97.41,-0.08
PIBFR5YS2029-02-07,97.94,0.07
PIBFR5YS2029-04-18,96.93,0.08
PIBFR5YS2029-06-27,97.20,-0.04
PIBFR5YS2029-09-05,97.77,0.03
PIBFR5YS2029-10-03,97.48,-0.02
PIBFR5YS2029-11-14,96.69,-0.01
