Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,95.56,0.04,,
PIBFR10YQ2033-12-14,93.30,0.00,,
PIBFR10YS2028-05-31,98.98,0.05,,
PIBFR10YS2028-06-28,98.95,0.06,,
PIBFR10YS2028-08-09,98.87,-0.07,,
PIBFR10YS2029-02-21,98.78,-0.05,,
PIBFR10YS2029-03-21,98.62,-0.07,,
PIBFR10YS2029-04-18,98.53,-0.03,,
PIBFR10YS2029-05-30,98.25,0.02,,
PIBFR10YS2029-06-27,98.37,-0.14,,
PIBFR10YS2029-07-25,98.37,0.01,,
PIBFR10YS2029-08-22,98.88,-0.05,,
PIBFR10YS2030-06-18,99.99,-0.01,,
PIBFR10YS2031-11-04,95.53,0.06,,
PIBFR10YS2034-02-07,93.46,0.00,,
PIBFR10YS2034-04-18,93.44,0.08,,
PIBFR10YS2034-09-05,93.07,0.01,,
PIBFR10YS2034-10-03,93.10,0.06,,
PIBFR10YS2034-11-14,93.32,0.07,,
PIBFR10YS2034-12-12,93.31,0.10,,
PIBFR10YS2035-01-09,93.12,0.23,,
PIBFR10YS2035-04-17,93.53,0.63,,
PIBFR2YQ2025-09-21,99.70,0.01,,
PIBFR2YS2026-10-03,99.75,-0.02,,
PIBFR2YS2027-01-09,99.88,-0.02,,
PIBFR3YQ2025-09-08,99.84,0.00,,
PIBFR3YQ2026-02-09,99.61,0.01,,
PIBFR3YQ2026-09-21,99.17,0.00,,
PIBFR3YQ2026-10-19,99.14,0.02,,
PIBFR3YQ2027-02-07,98.83,0.02,,
PIBFR5YQ2025-10-22,99.73,0.03,,
PIBFR5YS2025-06-18,100.09,0.01,,
PIBFR5YS2026-05-06,99.74,0.02,,
PIBFR5YS2027-11-17,98.65,-0.01,,
PIBFR5YS2028-04-06,97.96,0.03,,
PIBFR5YS2028-08-10,97.48,0.02,,
PIBFR5YS2028-09-21,97.58,0.01,,
PIBFR5YS2028-10-19,97.65,0.04,,
PIBFR5YS2028-12-14,97.49,0.04,,
PIBFR5YS2029-02-07,97.16,0.02,,
PIBFR5YS2029-04-18,97.39,0.02,,
PIBFR5YS2029-06-27,97.14,0.04,,
PIBFR5YS2029-09-05,96.93,0.06,,
PIBFR5YS2029-10-03,96.95,0.00,,
PIBFR5YS2029-11-14,97.11,0.02,,
PIBFR5YS2029-12-12,96.95,0.01,,
PIBFR5YS2030-01-09,96.91,0.06,,
PIBFR5YS2030-04-17,96.98,0.13,,
