,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.2,99.32,99.2,0,98.01,0,0,98.06,,98.76
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.15,99.27,97.92,0,97.92,0,0,98.05,,98.46
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.6,98.63,98.35,0,98.35,0,0,98.51,,98.49
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.25,98.2,98.21,0,98.21,0,0,98.37,,98.25
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.59,98.42,98.17,0,98.17,0,0,98.46,,98.36
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.47,98.39,98.1,0,98.25,0,0,98.32,,98.31
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.31,98.21,98.25,0,98.31,0,0,98.36,,98.29
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.37,98.3,98.3,0,98.45,0,0,98.25,,98.33
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.47,98.32,98.27,0,98.3,0,0,98.25,,98.32
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.54,98.55,98.24,0,98.24,0,0,98.39,,98.39
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.13,100.33,100.33,0,100.33,0,0,100.11,,100.25
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.77,100.04,99.88,0,99.9,0,0,100.04,,99.93
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.01,98.71,99.1,0,99.15,0,0,98.71,,98.94
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.91,95.71,95.28,0,95.28,0,0,95.64,,95.36
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.36,99.24,99.31,0,99.36,0,0,99.36,,99.33
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,99.99,100.06,99.99,0,99.99,0,0,99.99,,100
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.51,99.7,99.5,0,99.59,0,0,99.49,,99.56
PIB-FRB-18,4-Nov-21,4-Nov-31,Half-Yearly,95.52,95.36,95.25,0,95.29,0,0,95.52,,95.39
PIB-FRB-19,17-Nov-22,17-Nov-27,Half-Yearly,97.93,98.24,98.14,0,97.93,0,0,97.85,,98.02
PIB-FRB-20,9-Feb-23,9-Feb-25,Quarterly,99.67,99.6,99.52,0,99.65,0,0,99.59,,99.61
PIB-FRB-21,9-Feb-23,9-Feb-26,Quarterly,98.83,98.89,98.73,0,99.11,0,0,98.94,,98.9
PIB-FRB-22,6-Apr-23,6-Apr-25,Quarterly,99.49,99.37,99.35,0,99.41,0,0,99.37,,99.4
PIB-FRB-23,6-Apr-23,6-Apr-28,Half-Yearly,97.22,97.32,97.21,0,97.32,0,0,97.21,,97.26
PIB-FRB-24,10-Aug-23,10-Aug-28,Half-Yearly,97.82,97.69,97.56,0,97.9,0,0,97.94,,97.78
PIB-FRB-25,21-Sep-23,21-Sep-25,Quarterly,98.75,98.76,98.8,0,98.84,0,0,98.77,,98.78
PIB-FRB-26,21-Sep-23,21-Sep-26,Quarterly,98.2,99.18,98.72,0,98.72,0,0,98.95,,98.75
PIB-FRB-27,21-Sep-23,21-Sep-28,Half-Yearly,98.13,98.02,98.02,0,97.89,0,0,98.1,,98.03
PIB-FRB-28,19-Oct-23,19-Oct-26,Quarterly,98.28,98.66,98.45,0,98.58,0,0,98.46,,98.49
PIB-FRB-29,19-Oct-23,19-Oct-28,Half-Yearly,96.88,96.94,96.85,0,96.94,0,0,96.96,,96.91
PIB-FRB-30,14-Dec-23,14-Dec-28,Half-Yearly,97.5,97.76,97.35,0,97.76,0,0,97.68,,97.61
PIB-FRB-31,14-Dec-23,14-Dec-33,Half-Yearly,94.76,95.14,95.09,0,95.14,0,0,94.75,,94.98
PIB-FRB-32,7-Feb-24,7-Feb-29,Half-Yearly,97.96,97.93,97.93,0,98.21,0,0,98.07,,98.02
PIB-FRB-33,7-Feb-24,7-Feb-34,Half-Yearly,95.49,95.76,95.17,0,94.97,0,0,95.76,,95.43
PIB-FRB-34,18-Apr-24,18-Apr-29,Half-Yearly,96.57,96.72,96.67,0,96.67,0,0,96.66,,96.66
PIB-FRB-35,18-Apr-24,18-Apr-34,Half-Yearly,93.49,93.62,93.16,0,93.39,0,0,93.4,,93.41
PIB-FRB-36,27-Jun-24,27-Jun-29,Half-Yearly,97.58,97.57,97.56,0,97.8,0,0,97.65,,97.63
PIB-FRB-37,5-Sep-24,5-Sep-29,Half-Yearly,97.89,97.58,98.04,0,97.73,0,0,97.82,,97.81
PIB-FRB-38,5-Sep-24,5-Sep-34,Half-Yearly,94.26,94.42,94.66,0,94.22,0,0,94.64,,94.44
PIB-FRB-39,3-Oct-24,3-Oct-26,Half-Yearly,99.66,99.8,99.67,0,99.56,0,0,99.72,,99.68
PIB-FRB-40,3-Oct-24,3-Oct-29,Half-Yearly,97.31,97.3,97.28,0,97.24,0,0,97.27,,97.28
PIB-FRB-41,3-Oct-24,3-Oct-34,Half-Yearly,93.73,93.95,93.77,0,93.68,0,0,93.95,,93.82
PIB-FRB-42,7-Feb-24,7-Feb-27,Quarterly,98.83,98.65,98.86,0,98.48,0,0,98.74,,98.71
