,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0,98.17,97.87,97.75,98.01,0,98.1,98.02,,97.99
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0,98.08,97.86,97.75,97.96,0,98,98.03,,97.95
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0,98.52,98.43,98.05,98.36,0,98.42,98.3,,98.35
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0,98.18,98.35,98.1,98.24,0,98.15,98.08,,98.18
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0,98.13,98.42,98.35,98.22,0,98.2,98.08,,98.23
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0,98.76,98.77,98.1,98.31,0,98.6,98.45,,98.50
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0,98.21,98.21,98.1,98.38,0,98.18,98.1,,98.20
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0,98.25,98.36,98.15,98.33,0,98.3,98.1,,98.25
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0,98.22,98.38,98.15,98.33,0,98.25,98.17,,98.25
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0,98.18,98.42,98.15,98.29,0,98.2,98.13,,98.23
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,0,99.91,99.89,99.85,99.26,0,99.9,99.8,,99.77
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,0,97.83,98.38,98.55,96.14,0,98.25,98.14,,97.88
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,0,98.54,98.39,98.35,98.58,0,98.38,98.3,,98.42
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,0,95.33,94.6,95,95.48,0,95,94.95,,95.06
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,0,98.5,98.65,98.56,98.55,0,98.55,98.44,,98.54
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,0,99.67,99.65,99.64,99.68,0,99.66,99.56,,99.64
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,0,99.12,99.14,99.11,99.2,0,99.1,99.05,,99.12
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,0,98.82,98.82,98.74,98.88,0,98.8,98.68,,98.79
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,0,99.59,99.6,99.54,99.64,0,99.55,99.46,,99.56
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,0,95.34,95.38,95.45,95.18,0,95.45,95.32,,95.35
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,0,97.28,97.19,97.35,97.51,0,97.25,97.1,,97.28
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,0,99.12,99.02,99.1,99.06,0,99.1,99.06,,99.08
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,0,98.34,98.52,98.52,98.38,0,98.5,98.3,,98.43
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,0,98.91,98.81,98.83,98.86,0,98.85,98.8,,98.84
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,0,96.94,96.97,96.95,97.04,0,97.05,97,,96.99
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,0,96.3,96.41,96.42,96.87,0,96.4,96.24,,96.44
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,0,98.52,98.3,98.46,98.38,0,98.45,98.3,,98.40
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,0,97.89,98.01,98.06,97.88,0,98.02,97.9,,97.96
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,0,96.22,96.35,96.36,96.28,0,98.35,96.2,,96.63
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,0,97.82,97.97,98.13,96.7,0,97.95,97.92,,97.75
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,0,96.79,96.79,96.79,96.82,0,96.85,96.65,,96.78
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,0,96.29,96.61,96.41,96.68,0,96.4,96.3,,96.45
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,0,94.62,95,94.6,94.8,0,94.6,94.73,,94.73
PIB-FRB-34,7-Feb-24,7-Feb-29,Semiannually,0,95.91,96.03,96.04,96.6,0,96.02,95.96,,96.09
PIB-FRB-35,7-Feb-24,7-Feb-34,Semiannually,0,94.33,94.14,94.32,94.33,0,94.32,94.25,,94.28
PIB-FRB-36,18-Apr-24,18-Apr-29,Semiannually,0,96.52,96.53,96.53,96.59,0,96.7,96.53,,96.57
PIB-FRB-37,18-Apr-24,18-Apr-34,Semiannually,0,94.64,94.83,94.84,94.76,0,94.8,94.6,,94.75
