Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.45,0.05
PIBFR10YQ2033-12-14,92.90,0.02
PIBFR10YS2028-05-31,98.51,-0.12
PIBFR10YS2028-06-28,98.48,-0.13
PIBFR10YS2028-08-09,98.74,0.13
PIBFR10YS2029-02-21,98.64,0.09
PIBFR10YS2029-03-21,98.36,-0.07
PIBFR10YS2029-04-18,98.37,-0.03
PIBFR10YS2029-05-30,98.21,0.02
PIBFR10YS2029-06-27,98.47,0.00
PIBFR10YS2029-07-25,98.33,-0.02
PIBFR10YS2029-08-22,98.55,0.00
PIBFR10YS2030-06-18,99.99,0.00
PIBFR10YS2031-11-04,95.52,0.05
PIBFR10YS2034-02-07,95.49,-0.01
PIBFR10YS2034-04-18,93.76,-0.12
PIBFR10YS2034-09-05,94.40,-0.06
PIBFR10YS2034-10-03,93.92,0.00
PIBFR10YS2034-11-14,93.00,0.02
PIBFR10YS2034-12-12,92.59,-0.07
PIBFR2YQ2025-02-09,99.91,0.00
PIBFR2YQ2025-04-06,99.80,0.00
PIBFR2YQ2025-09-21,99.42,0.00
PIBFR2YS2026-10-03,99.75,0.03
PIBFR3YQ2025-04-07,100.02,0.01
PIBFR3YQ2025-09-08,99.93,0.02
PIBFR3YQ2026-02-09,99.65,0.12
PIBFR3YQ2026-09-21,98.93,0.01
PIBFR3YQ2026-10-19,98.80,0.05
PIBFR3YQ2027-02-07,98.72,0.04
PIBFR5YQ2025-10-22,99.28,-0.04
PIBFR5YS2025-06-18,100.35,-0.01
PIBFR5YS2026-05-06,99.68,0.00
PIBFR5YS2027-11-17,98.35,0.00
PIBFR5YS2028-04-06,97.97,0.02
PIBFR5YS2028-08-10,97.74,-0.04
PIBFR5YS2028-09-21,97.99,-0.02
PIBFR5YS2028-10-19,97.65,0.00
PIBFR5YS2028-12-14,97.27,0.06
PIBFR5YS2029-02-07,97.84,-0.02
PIBFR5YS2029-04-18,97.38,-0.01
PIBFR5YS2029-06-27,96.63,-0.07
PIBFR5YS2029-09-05,97.48,-0.04
PIBFR5YS2029-10-03,97.34,0.00
PIBFR5YS2029-11-14,97.29,0.09
PIBFR5YS2029-12-12,96.98,0.14
