Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,96.08,0.10,,,
PIBFR10YQ2033-12-14,95.19,0.06,,,
PIBFR10YS2028-05-31,99.24,0.02,,,
PIBFR10YS2028-06-28,99.21,0.03,,,
PIBFR10YS2028-08-09,98.98,-0.07,,,
PIBFR10YS2029-02-21,98.88,-0.02,,,
PIBFR10YS2029-03-21,98.76,0.01,,,
PIBFR10YS2029-04-18,98.59,0.01,,,
PIBFR10YS2029-05-30,98.41,0.04,,,
PIBFR10YS2029-06-27,98.43,0.04,,,
PIBFR10YS2029-07-25,98.48,0.03,,,
PIBFR10YS2029-08-22,98.99,-0.12,,,
PIBFR10YS2030-06-18,100.02,-0.10,,,
PIBFR10YS2031-11-04,96.78,0.00,,,
PIBFR10YS2034-02-07,94.96,0.01,,,
PIBFR10YS2034-04-18,95.27,0.05,,,
PIBFR10YS2034-09-05,94.87,0.03,,,
PIBFR10YS2034-10-03,95.02,0.09,,,
PIBFR10YS2034-11-14,94.99,-0.03,,,
PIBFR10YS2034-12-12,95.05,0.08,,,
PIBFR10YS2035-01-09,94.94,0.07,,,
PIBFR10YS2035-04-17,95.06,0.00,,,
PIBFR2YQ2025-09-21,99.89,-0.02,,,
PIBFR2YS2026-10-03,99.74,-0.01,,,
PIBFR2YS2027-01-09,99.88,-0.02,,,
PIBFR3YQ2025-09-08,99.95,0.00,,,
PIBFR3YQ2026-02-09,99.72,0.02,,,
PIBFR3YQ2026-09-21,99.30,0.01,,,
PIBFR3YQ2026-10-19,99.39,0.03,,,
PIBFR3YQ2027-02-07,99.06,0.05,,,
PIBFR5YQ2025-10-22,99.76,0.02,,,
PIBFR5YS2025-06-18,100.05,0.01,,,
PIBFR5YS2026-05-06,100.20,0.07,,,
PIBFR5YS2027-11-17,98.81,0.02,,,
PIBFR5YS2028-04-06,98.93,-0.02,,,
PIBFR5YS2028-08-10,98.19,-0.01,,,
PIBFR5YS2028-09-21,98.37,0.04,,,
PIBFR5YS2028-10-19,98.67,0.05,,,
PIBFR5YS2028-12-14,98.08,0.01,,,
PIBFR5YS2029-02-07,98.02,0.01,,,
PIBFR5YS2029-04-18,98.37,0.00,,,
PIBFR5YS2029-06-27,97.91,-0.01,,,
PIBFR5YS2029-09-05,97.82,0.02,,,
PIBFR5YS2029-10-03,97.78,-0.01,,,
PIBFR5YS2029-11-14,98.08,0.02,,,
PIBFR5YS2029-12-12,97.67,-0.02,,,
PIBFR5YS2030-01-09,97.72,0.00,,,
PIBFR5YS2030-04-17,97.86,-0.03,,,
