,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,98.10,98.13,0.00,97.89,98.05,98.10,98.09,,98.09
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,98.05,98.11,0.00,97.86,98.00,98.05,98.11,,98.06
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.30,98.63,98.65,0.00,98.32,98.29,98.35,98.37,,98.39
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.20,98.20,98.59,0.00,98.12,98.29,98.25,98.22,,98.23
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,98.42,98.50,0.00,98.08,98.14,98.30,98.25,,98.25
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.50,98.39,98.47,0.00,98.01,98.16,98.50,98.52,,98.40
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.10,98.21,98.44,0.00,98.02,98.24,98.15,98.21,,98.18
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.30,98.57,0.00,98.04,98.15,98.17,98.17,,98.19
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.40,98.32,98.60,0.00,98.12,98.15,98.30,98.29,,98.29
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.10,98.55,98.64,0.00,98.33,98.05,98.40,98.34,,98.34
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.95,100.10,100.18,0.00,100.27,100.18,100.10,100.15,,100.14
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,98.74,98.48,0.00,97.67,98.74,98.55,98.50,,98.54
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.30,98.71,98.39,0.00,98.95,98.34,98.40,98.39,,98.45
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.90,95.71,94.95,0.00,95.29,94.94,94.95,94.97,,95.02
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.87,98.92,98.91,0.00,98.99,98.98,98.96,98.97,,98.95
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.94,99.93,99.94,0.00,99.93,99.93,99.93,99.93,,99.93
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.55,99.60,99.50,0.00,99.55,99.57,99.50,99.57,,99.55
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,99.35,99.21,99.04,0.00,99.26,99.34,99.15,99.21,,99.23
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.85,99.93,99.93,0.00,99.94,99.84,99.95,99.90,,99.91
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.60,95.52,95.68,0.00,95.52,95.51,95.47,95.56,,95.54
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.30,97.53,97.53,0.00,97.53,97.53,97.52,97.53,,97.53
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.29,99.47,99.39,0.00,99.35,99.30,99.30,99.34,,99.34
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.55,98.74,98.73,0.00,98.75,98.92,98.75,98.71,,98.74
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,99.15,99.27,99.19,0.00,99.07,99.16,99.15,99.17,,99.16
PIB-FRB-25,6-Apr-23,6-Apr-28,Half-Yearly,97.23,96.96,97.02,0.00,96.97,96.91,97.20,97.18,,97.07
PIB-FRB-26,10-Aug-23,10-Aug-28,Half-Yearly,96.82,97.14,97.04,0.00,97.12,97.14,96.89,96.99,,97.04
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.75,98.80,98.80,0.00,98.57,98.82,98.70,98.75,,98.76
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.20,98.33,98.30,0.00,98.20,98.55,98.30,98.29,,98.28
PIB-FRB-29,21-Sep-23,21-Sep-28,Half-Yearly,96.25,96.66,96.92,0.00,96.79,96.53,96.60,96.71,,96.66
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.15,98.10,98.17,0.00,98.06,98.50,98.15,98.17,,98.15
PIB-FRB-31,19-Oct-23,19-Oct-28,Half-Yearly,96.77,96.75,96.87,0.00,96.70,96.67,96.79,96.80,,96.76
PIB-FRB-32,14-Dec-23,14-Dec-28,Half-Yearly,96.88,96.86,96.73,0.00,96.92,96.86,96.87,96.85,,96.86
PIB-FRB-33,14-Dec-23,14-Dec-33,Half-Yearly,94.52,94.90,94.85,0.00,94.39,94.90,94.90,94.54,,94.74
PIB-FRB-34,7-Feb-24,7-Feb-29,Half-Yearly,96.33,96.91,96.70,0.00,96.86,96.85,96.86,96.83,,96.82
PIB-FRB-35,7-Feb-24,7-Feb-34,Half-Yearly,94.50,94.82,95.08,0.00,94.46,94.97,94.80,94.80,,94.78
PIB-FRB-36,18-Apr-24,18-Apr-29,Half-Yearly,96.45,96.47,96.48,0.00,96.45,96.44,96.57,96.58,,96.48
PIB-FRB-37,18-Apr-24,18-Apr-34,Half-Yearly,95.04,95.04,94.85,0.00,94.71,94.56,95.04,95.01,,94.93
PIB-FRB-38,27-Jun-24,27-Jun-29,Half-Yearly,96.88,96.93,96.94,0.00,96.94,96.90,96.90,96.91,,96.92
