,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-19,10-Aug-23,10-Aug-28,Half-Yearly,99.01,0,98.79,98.88,98.81,98.89,98.3,98.76,,98.83
PIB-FRB-20,21-Sep-23,21-Sep-25,Quarterly,99.99,0,99.9,99.98,99.98,99.98,99.96,99.99,,99.98
PIB-FRB-21,21-Sep-23,21-Sep-26,Quarterly,99.42,0,99.8,99.84,99.89,99.8,99.8,99.69,,99.79
PIB-FRB-22,21-Sep-23,21-Sep-28,Half-Yearly,98.64,0,98.9,98.83,98.76,98.86,98.93,98.51,,98.8
PIB-FRB-23,19-Oct-23,19-Oct-26,Quarterly,99.33,0,99.75,99.87,99.79,99.67,99.75,99.6,,99.71
PIB-FRB-24,19-Oct-23,19-Oct-28,Half-Yearly,98.89,0,98.81,98.84,98.79,98.79,98.76,98.78,,98.8
PIB-FRB-25,14-Dec-23,14-Dec-28,Half-Yearly,98.63,0,98.76,98.74,98.77,98.77,98.77,98.76,,98.76
PIB-FRB-26,14-Dec-23,14-Dec-33,Half-Yearly,95.7,0,95.91,96.15,96.06,96.06,95.81,96.19,,96
PIB-FRB-27,7-Feb-24,7-Feb-29,Half-Yearly,98.59,0,98.6,98.73,98.68,98.7,98.79,98.59,,98.66
PIB-FRB-28,7-Feb-24,7-Feb-34,Half-Yearly,95.63,0,95.89,95.84,95.99,95.84,95.63,96.09,,95.84
PIB-FRB-29,18-Apr-24,18-Apr-29,Half-Yearly,98.7,0,98.61,98.7,98.61,98.61,98.69,98.69,,98.66
PIB-FRB-30,18-Apr-24,18-Apr-34,Half-Yearly,95.86,0,95.91,96.09,96.09,95.96,95.76,95.91,,95.95
PIB-FRB-31,27-Jun-24,27-Jun-29,Half-Yearly,98.61,0,98.52,98.61,98.61,98.61,98.61,98.6,,98.61
PIB-FRB-32,5-Sep-24,5-Sep-29,Half-Yearly,98.58,0,98.55,98.61,98.55,98.58,98.58,98.58,,98.57
PIB-FRB-33,5-Sep-24,5-Sep-34,Half-Yearly,95.61,0,95.77,95.68,95.71,95.71,95.45,95.94,,95.7
PIB-FRB-34,3-Oct-24,3-Oct-26,Half-Yearly,99.79,0,99.8,99.87,99.8,99.8,99.88,99.78,,99.81
PIB-FRB-35,3-Oct-24,3-Oct-29,Half-Yearly,98.57,0,98.54,98.57,98.51,98.57,98.57,98.57,,98.56
PIB-FRB-36,3-Oct-24,3-Oct-34,Half-Yearly,95.71,0,95.76,95.79,95.71,95.76,95.61,95.94,,95.75
PIB-FRB-37,7-Feb-24,7-Feb-27,Quarterly,99.47,0,99.55,99.62,99.48,99.48,99.54,98.8,,99.5
PIB-FRB-38,14-Nov-24,14-Nov-29,Half-Yearly,98.69,0,98.5,98.48,98.68,98.59,98.53,98.59,,98.58
PIB-FRB-39,14-Nov-24,14-Nov-34,Half-Yearly,96.22,0,95.86,95.78,95.96,95.91,95.6,95.94,,95.89
PIB-FRB-40,12-Dec-24,12-Dec-29,Half-Yearly,98.55,0,98.39,98.64,98.58,98.52,98.45,98.64,,98.55
PIB-FRB-41,12-Dec-24,12-Dec-34,Half-Yearly,95.82,0,95.71,95.81,95.8,95.81,95.49,95.79,,95.78
PIB-FRB-42,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.73,99.98,99.8,99.85,99.79,100,,99.83
PIB-FRB-43,9-Jan-25,9-Jan-30,Half-Yearly,98.53,0,98.39,98.62,98.56,98.53,98.39,98.62,,98.53
PIB-FRB-44,9-Jan-25,9-Jan-35,Half-Yearly,95.5,0,95.6,95.76,95.76,95.67,95.55,95.48,,95.62
PIB-FRB-45,17-Apr-25,17-Apr-30,Half-Yearly,98.53,0,98.36,98.5,98.39,98.5,98.43,98.59,,98.47
PIB-FRB-46,17-Apr-25,17-Apr-35,Half-Yearly,95.61,0,95.71,95.67,95.96,95.77,95.66,95.85,,95.73
PIB-FRB-47,29-May-25,29-May-35,Half-Yearly,95.45,0,95.56,95.77,95.72,95.67,95.56,95.71,,95.64
PIB-FRB-48,10-Jul-25,10-Jul-35,Half-Yearly,95.64,0,95.48,95.75,95.53,95.64,95.47,95.58,,95.57
