Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.23,-0.04
PIBFR10YQ2033-12-14,95.02,0.01
PIBFR10YS2028-05-31,98.88,0.01
PIBFR10YS2028-06-28,98.69,0.10
PIBFR10YS2028-08-09,98.68,0.03
PIBFR10YS2029-02-21,98.51,0.01
PIBFR10YS2029-03-21,98.37,0.05
PIBFR10YS2029-04-18,98.32,0.04
PIBFR10YS2029-05-30,98.32,0.02
PIBFR10YS2029-06-27,98.35,0.02
PIBFR10YS2029-07-25,98.33,0.03
PIBFR10YS2029-08-22,98.57,-0.03
PIBFR10YS2030-06-18,99.92,-0.01
PIBFR10YS2031-11-04,94.99,-0.03
PIBFR10YS2034-02-07,95.94,-0.07
PIBFR10YS2034-04-18,93.63,-0.01
PIBFR10YS2034-09-05,94.45,0.07
PIBFR10YS2034-10-03,93.93,0.06
PIBFR10YS2034-11-14,92.95,-0.40
PIBFR2YQ2025-02-09,99.83,0.02
PIBFR2YQ2025-04-06,99.71,0.03
PIBFR2YQ2025-09-21,99.26,0.02
PIBFR2YS2026-10-03,99.72,-0.01
PIBFR3YQ2025-04-07,100.07,0.01
PIBFR3YQ2025-09-08,99.57,0.00
PIBFR3YQ2026-02-09,98.91,-0.05
PIBFR3YQ2026-09-21,98.88,-0.04
PIBFR3YQ2026-10-19,98.67,0.03
PIBFR3YQ2027-02-07,98.71,0.00
PIBFR5YQ2025-10-22,99.21,-0.04
PIBFR5YS2025-06-18,100.49,0.02
PIBFR5YS2026-05-06,99.36,0.12
PIBFR5YS2027-11-17,97.53,0.04
PIBFR5YS2028-04-06,97.50,-0.05
PIBFR5YS2028-08-10,97.88,-0.01
PIBFR5YS2028-09-21,97.99,0.01
PIBFR5YS2028-10-19,97.16,0.02
PIBFR5YS2028-12-14,97.53,0.00
PIBFR5YS2029-02-07,97.89,-0.01
PIBFR5YS2029-04-18,96.81,-0.02
PIBFR5YS2029-06-27,97.28,-0.03
PIBFR5YS2029-09-05,97.74,-0.01
PIBFR5YS2029-10-03,97.44,-0.01
PIBFR5YS2029-11-14,96.70,0.03
