Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,96.51,0.18,,,
PIBFR10YQ2033-12-14,95.62,0.02,,,
PIBFR10YS2028-05-31,99.30,0.02,,,
PIBFR10YS2028-06-28,99.24,0.01,,,
PIBFR10YS2028-08-09,99.00,-0.06,,,
PIBFR10YS2029-02-21,98.83,-0.04,,,
PIBFR10YS2029-03-21,98.68,0.00,,,
PIBFR10YS2029-04-18,98.57,0.01,,,
PIBFR10YS2029-05-30,98.40,0.02,,,
PIBFR10YS2029-06-27,98.39,0.03,,,
PIBFR10YS2029-07-25,98.48,0.02,,,
PIBFR10YS2029-08-22,99.00,-0.12,,,
PIBFR10YS2030-06-18,100.73,-0.07,,,
PIBFR10YS2031-11-04,97.07,0.03,,,
PIBFR10YS2034-02-07,95.55,0.01,,,
PIBFR10YS2034-04-18,95.75,0.04,,,
PIBFR10YS2034-09-05,95.37,0.00,,,
PIBFR10YS2034-10-03,95.54,0.04,,,
PIBFR10YS2034-11-14,95.56,0.00,,,
PIBFR10YS2034-12-12,95.17,-0.11,,,
PIBFR10YS2035-01-09,95.40,0.02,,,
PIBFR10YS2035-04-17,95.45,0.03,,,
PIBFR10YS2035-05-29,95.27,-0.01,,,
PIBFR2YQ2025-09-21,99.90,-0.01,,,
PIBFR2YS2026-10-03,99.77,0.00,,,
PIBFR2YS2027-01-09,99.84,-0.02,,,
PIBFR3YQ2025-09-08,99.98,0.01,,,
PIBFR3YQ2026-02-09,99.81,0.00,,,
PIBFR3YQ2026-09-21,99.60,-0.02,,,
PIBFR3YQ2026-10-19,99.56,-0.01,,,
PIBFR3YQ2027-02-07,99.32,0.05,,,
PIBFR5YQ2025-10-22,99.79,0.02,,,
PIBFR5YS2025-06-18,100.01,0.00,,,
PIBFR5YS2026-05-06,100.18,0.00,,,
PIBFR5YS2027-11-17,98.92,-0.09,,,
PIBFR5YS2028-04-06,99.01,0.00,,,
PIBFR5YS2028-08-10,98.64,0.01,,,
PIBFR5YS2028-09-21,98.74,0.00,,,
PIBFR5YS2028-10-19,98.77,-0.02,,,
PIBFR5YS2028-12-14,98.46,-0.03,,,
PIBFR5YS2029-02-07,98.33,-0.04,,,
PIBFR5YS2029-04-18,98.49,0.00,,,
PIBFR5YS2029-06-27,98.24,0.00,,,
PIBFR5YS2029-09-05,98.37,-0.01,,,
PIBFR5YS2029-10-03,98.17,-0.04,,,
PIBFR5YS2029-11-14,98.32,0.00,,,
PIBFR5YS2029-12-12,97.99,0.01,,,
PIBFR5YS2030-01-09,97.88,-0.07,,,
PIBFR5YS2030-04-17,98.16,0.02,,,
