Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,96.33,-0.42,,,
PIBFR10YQ2033-12-14,95.56,-0.02,,,
PIBFR10YS2028-05-31,99.28,-0.02,,,
PIBFR10YS2028-06-28,99.23,-0.01,,,
PIBFR10YS2028-08-09,99.06,0.06,,,
PIBFR10YS2029-02-21,98.87,0.04,,,
PIBFR10YS2029-03-21,98.68,0.01,,,
PIBFR10YS2029-04-18,98.56,-0.01,,,
PIBFR10YS2029-05-30,98.38,-0.02,,,
PIBFR10YS2029-06-27,98.36,-0.02,,,
PIBFR10YS2029-07-25,98.46,-0.02,,,
PIBFR10YS2029-08-22,99.12,0.28,,,
PIBFR10YS2030-06-18,100.58,0.05,,,
PIBFR10YS2031-11-04,97.04,-0.03,,,
PIBFR10YS2034-02-07,95.54,0.00,,,
PIBFR10YS2034-04-18,95.70,-0.05,,,
PIBFR10YS2034-09-05,95.37,0.01,,,
PIBFR10YS2034-10-03,95.50,-0.03,,,
PIBFR10YS2034-11-14,95.56,0.00,,,
PIBFR10YS2034-12-12,95.40,-0.02,,,
PIBFR10YS2035-01-09,95.38,-0.01,,,
PIBFR10YS2035-04-17,95.42,-0.03,,,
PIBFR10YS2035-05-29,95.29,0.01,,,
PIBFR2YQ2025-09-21,99.91,0.02,,,
PIBFR2YS2026-10-03,99.76,0.00,,,
PIBFR2YS2027-01-09,99.84,0.03,,,
PIBFR3YQ2025-09-08,99.97,0.02,,,
PIBFR3YQ2026-02-09,99.80,0.01,,,
PIBFR3YQ2026-09-21,99.62,0.02,,,
PIBFR3YQ2026-10-19,99.57,0.01,,,
PIBFR3YQ2027-02-07,99.27,-0.02,,,
PIBFR5YQ2025-10-22,99.77,-0.01,,,
PIBFR5YS2025-06-18,100.01,-0.01,,,
PIBFR5YS2026-05-06,100.16,-0.02,,,
PIBFR5YS2027-11-17,99.01,0.09,,,
PIBFR5YS2028-04-06,99.01,-0.04,,,
PIBFR5YS2028-08-10,98.63,0.02,,,
PIBFR5YS2028-09-21,98.74,-0.01,,,
PIBFR5YS2028-10-19,98.79,0.02,,,
PIBFR5YS2028-12-14,98.49,0.03,,,
PIBFR5YS2029-02-07,98.37,0.04,,,
PIBFR5YS2029-04-18,98.49,0.03,,,
PIBFR5YS2029-06-27,98.24,0.18,,,
PIBFR5YS2029-09-05,98.38,0.03,,,
PIBFR5YS2029-10-03,98.21,0.05,,,
PIBFR5YS2029-11-14,98.32,0.00,,,
PIBFR5YS2029-12-12,98.00,-0.02,,,
PIBFR5YS2030-01-09,97.95,0.07,,,
PIBFR5YS2030-04-17,98.14,0.00,,,
