Bond Code,Price,Net Change,,
PIBFR10YQ2030-10-22,95.49,0.00,,
PIBFR10YQ2033-12-14,93.28,0.01,,
PIBFR10YS2028-05-31,98.93,0.00,,
PIBFR10YS2028-06-28,98.92,0.00,,
PIBFR10YS2028-08-09,98.93,0.00,,
PIBFR10YS2029-02-21,98.83,0.01,,
PIBFR10YS2029-03-21,98.69,0.00,,
PIBFR10YS2029-04-18,98.56,-0.01,,
PIBFR10YS2029-05-30,98.23,0.00,,
PIBFR10YS2029-06-27,98.51,0.00,,
PIBFR10YS2029-07-25,98.36,0.00,,
PIBFR10YS2029-08-22,98.93,0.00,,
PIBFR10YS2030-06-18,100.00,0.00,,
PIBFR10YS2031-11-04,95.42,0.10,,
PIBFR10YS2034-02-07,93.51,0.00,,
PIBFR10YS2034-04-18,93.48,-0.18,,
PIBFR10YS2034-09-05,93.21,0.08,,
PIBFR10YS2034-10-03,93.10,0.00,,
PIBFR10YS2034-11-14,93.22,0.00,,
PIBFR10YS2034-12-12,93.20,0.01,,
PIBFR10YS2035-01-09,92.83,0.00,,
PIBFR10YS2035-04-17,92.88,0.00,,
PIBFR2YQ2025-09-21,99.67,0.00,,
PIBFR2YS2026-10-03,99.79,0.00,,
PIBFR2YS2027-01-09,99.86,0.00,,
PIBFR3YQ2025-09-08,99.83,0.00,,
PIBFR3YQ2026-02-09,99.59,-0.01,,
PIBFR3YQ2026-09-21,99.19,0.05,,
PIBFR3YQ2026-10-19,99.13,0.02,,
PIBFR3YQ2027-02-07,98.81,0.00,,
PIBFR5YQ2025-10-22,99.70,0.00,,
PIBFR5YS2025-06-18,100.07,0.00,,
PIBFR5YS2026-05-06,99.73,0.00,,
PIBFR5YS2027-11-17,98.67,0.00,,
PIBFR5YS2028-04-06,97.90,0.01,,
PIBFR5YS2028-08-10,97.44,0.00,,
PIBFR5YS2028-09-21,97.57,0.00,,
PIBFR5YS2028-10-19,97.61,0.05,,
PIBFR5YS2028-12-14,97.44,0.02,,
PIBFR5YS2029-02-07,97.11,0.00,,
PIBFR5YS2029-04-18,97.29,0.02,,
PIBFR5YS2029-06-27,97.08,0.03,,
PIBFR5YS2029-09-05,96.85,0.00,,
PIBFR5YS2029-10-03,96.87,0.00,,
PIBFR5YS2029-11-14,97.27,-0.07,,
PIBFR5YS2029-12-12,96.92,0.00,,
PIBFR5YS2030-01-09,96.83,-0.01,,
PIBFR5YS2030-04-17,96.81,0.00,,
