Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,97.43,0.00,,,
PIBFR10YQ2033-12-14,95.83,0.28,,,
PIBFR10YS2028-05-31,99.50,0.00,,,
PIBFR10YS2028-06-28,99.53,-0.01,,,
PIBFR10YS2028-08-09,99.66,0.03,,,
PIBFR10YS2029-02-21,99.45,0.00,,,
PIBFR10YS2029-03-21,99.28,0.01,,,
PIBFR10YS2029-04-18,99.21,0.00,,,
PIBFR10YS2029-05-30,99.11,0.00,,,
PIBFR10YS2029-06-27,99.09,0.02,,,
PIBFR10YS2029-07-25,99.23,0.00,,,
PIBFR10YS2029-08-22,99.87,0.00,,,
PIBFR10YS2030-06-18,100.72,0.04,,,
PIBFR10YS2031-11-04,97.32,0.05,,,
PIBFR10YS2034-02-07,95.74,0.12,,,
PIBFR10YS2034-04-18,95.94,0.22,,,
PIBFR10YS2034-09-05,95.65,0.20,,,
PIBFR10YS2034-10-03,95.59,0.20,,,
PIBFR10YS2034-11-14,95.62,0.06,,,
PIBFR10YS2034-12-12,95.54,0.24,,,
PIBFR10YS2035-01-09,95.39,0.15,,,
PIBFR10YS2035-04-17,95.68,0.34,,,
PIBFR10YS2035-05-29,95.39,0.24,,,
PIBFR10YS2035-07-10,95.26,0.28,,,
PIBFR2YQ2025-09-21,99.94,0.00,,,
PIBFR2YS2026-10-03,99.79,0.01,,,
PIBFR2YS2027-01-09,99.82,0.00,,,
PIBFR3YQ2025-09-08,99.97,0.00,,,
PIBFR3YQ2026-02-09,99.84,0.01,,,
PIBFR3YQ2026-09-21,99.66,-0.01,,,
PIBFR3YQ2026-10-19,99.64,0.00,,,
PIBFR3YQ2027-02-07,99.46,0.02,,,
PIBFR5YQ2025-10-22,99.95,0.00,,,
PIBFR5YS2026-05-06,100.17,0.00,,,
PIBFR5YS2027-11-17,99.25,0.00,,,
PIBFR5YS2028-04-06,99.06,0.02,,,
PIBFR5YS2028-08-10,98.80,0.06,,,
PIBFR5YS2028-09-21,98.78,0.05,,,
PIBFR5YS2028-10-19,98.85,0.05,,,
PIBFR5YS2028-12-14,98.71,0.11,,,
PIBFR5YS2029-02-07,98.54,0.06,,,
PIBFR5YS2029-04-18,98.59,0.07,,,
PIBFR5YS2029-06-27,98.55,0.12,,,
PIBFR5YS2029-09-05,98.45,0.07,,,
PIBFR5YS2029-10-03,98.51,0.18,,,
PIBFR5YS2029-11-14,98.50,0.05,,,
PIBFR5YS2029-12-12,98.29,0.05,,,
PIBFR5YS2030-01-09,98.26,0.10,,,
PIBFR5YS2030-04-17,98.23,0.04,,,
