,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.38,0,99.9,99.28,99.35,99.38,99.86,98.64,,99.45
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.26,0,99.65,99.23,99.3,99.28,100.24,98.6,,99.34
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.82,0,99.83,98.99,99.2,99.2,100.73,99.3,,99.3
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.53,0,99.9,98.79,99,99.09,100.54,99,,99.16
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.56,0,99.95,98.49,98.9,98.93,100.51,98.7,,99.01
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.49,0,99.96,98.48,98.8,98.78,100.55,98.55,,98.92
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.46,0,99.99,98.3,98.7,98.61,100.6,98.24,,98.81
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.38,0,99.99,98.28,98.65,98.61,107.7,98.2,,98.78
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.48,0,99.97,98.38,98.75,98.72,100.76,98.3,,98.86
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.79,0,99.96,98.52,99.3,98.32,100.76,99.62,,99.24
PIB-FRB-11,18-Jun-20,18-Jun-30,Half-Yearly,99.63,0,100,100.73,100.37,99.99,100.74,101.08,,100.37
PIB-FRB-12,22-Oct-20,22-Oct-25,Quarterly,99.8,0,100.11,100.11,99.89,99.8,99.87,99.55,,99.89
PIB-FRB-13,22-Oct-20,22-Oct-30,Quarterly,97.3,0,97.3,97.3,97.1,96.74,97.68,95.6,,97.15
PIB-FRB-14,6-May-21,6-May-26,Half-Yearly,100.15,0,100.18,100.18,100.17,100.17,100.13,100.14,,100.16
PIB-FRB-15,8-Sep-22,8-Sep-25,Quarterly,99.94,0,99.9,100.02,99.94,99.97,100.02,99.96,,99.97
PIB-FRB-16,4-Nov-21,4-Nov-31,Half-Yearly,96.97,0,96.96,96.96,96.97,96.79,96.92,96.96,,96.95
PIB-FRB-17,17-Nov-22,17-Nov-27,Half-Yearly,99.05,0,98.75,98.75,98.85,98.85,99.26,98.95,,98.89
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.69,0,99.6,99.83,99.86,99.81,99.87,99.82,,99.8
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,98.92,0,98.8,98.69,98.69,98.69,98.8,98.68,,98.73
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.69,0,98.17,98.43,98.31,98.43,98.69,98.55,,98.48
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.81,0,99.7,99.97,99.9,99.91,99.93,99.99,,99.9
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.31,0,99.4,99.69,99.6,99.6,99.71,99.69,,99.6
