Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,95.72,0.17,,,
PIBFR10YQ2033-12-14,93.76,0.00,,,
PIBFR10YS2028-05-31,99.20,0.18,,,
PIBFR10YS2028-06-28,99.17,0.17,,,
PIBFR10YS2028-08-09,99.02,0.02,,,
PIBFR10YS2029-02-21,98.95,0.06,,,
PIBFR10YS2029-03-21,98.78,0.02,,,
PIBFR10YS2029-04-18,98.65,0.10,,,
PIBFR10YS2029-05-30,98.33,0.09,,,
PIBFR10YS2029-06-27,98.58,0.09,,,
PIBFR10YS2029-07-25,98.47,0.10,,,
PIBFR10YS2029-08-22,98.85,-0.12,,,
PIBFR10YS2030-06-18,100.07,0.01,,,
PIBFR10YS2031-11-04,96.23,0.16,,,
PIBFR10YS2034-02-07,93.70,0.22,,,
PIBFR10YS2034-04-18,94.12,0.04,,,
PIBFR10YS2034-09-05,93.68,0.11,,,
PIBFR10YS2034-10-03,93.39,0.11,,,
PIBFR10YS2034-11-14,93.64,0.10,,,
PIBFR10YS2034-12-12,93.54,0.02,,,
PIBFR10YS2035-01-09,93.47,-0.03,,,
PIBFR10YS2035-04-17,93.72,0.01,,,
PIBFR2YQ2025-09-21,99.85,0.05,,,
PIBFR2YS2026-10-03,99.76,-0.02,,,
PIBFR2YS2027-01-09,99.84,-0.06,,,
PIBFR3YQ2025-09-08,99.88,0.03,,,
PIBFR3YQ2026-02-09,99.73,0.09,,,
PIBFR3YQ2026-09-21,99.22,0.05,,,
PIBFR3YQ2026-10-19,99.42,0.18,,,
PIBFR3YQ2027-02-07,98.97,0.03,,,
PIBFR5YQ2025-10-22,99.75,0.06,,,
PIBFR5YS2025-06-18,100.00,0.00,,,
PIBFR5YS2026-05-06,100.07,0.06,,,
PIBFR5YS2027-11-17,98.63,0.02,,,
PIBFR5YS2028-04-06,98.22,0.13,,,
PIBFR5YS2028-08-10,97.67,0.02,,,
PIBFR5YS2028-09-21,97.67,0.03,,,
PIBFR5YS2028-10-19,97.89,0.08,,,
PIBFR5YS2028-12-14,97.64,0.08,,,
PIBFR5YS2029-02-07,97.49,0.18,,,
PIBFR5YS2029-04-18,97.65,0.14,,,
PIBFR5YS2029-06-27,97.42,0.04,,,
PIBFR5YS2029-09-05,97.25,0.08,,,
PIBFR5YS2029-10-03,97.23,0.06,,,
PIBFR5YS2029-11-14,97.41,0.14,,,
PIBFR5YS2029-12-12,97.11,0.03,,,
PIBFR5YS2030-01-09,97.20,0.14,,,
PIBFR5YS2030-04-17,97.40,0.25,,,
