Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.34,-0.01
PIBFR10YQ2033-12-14,94.75,0.06
PIBFR10YS2028-05-31,98.52,-0.08
PIBFR10YS2028-06-28,98.50,-0.13
PIBFR10YS2028-08-09,98.66,0.03
PIBFR10YS2029-02-21,98.57,0.06
PIBFR10YS2029-03-21,98.35,-0.12
PIBFR10YS2029-04-18,98.37,-0.04
PIBFR10YS2029-05-30,98.19,0.00
PIBFR10YS2029-06-27,98.57,-0.05
PIBFR10YS2029-07-25,98.30,-0.05
PIBFR10YS2029-08-22,98.68,0.18
PIBFR10YS2030-06-18,99.95,-0.03
PIBFR10YS2031-11-04,94.94,0.08
PIBFR10YS2034-02-07,95.93,0.08
PIBFR10YS2034-04-18,93.56,0.03
PIBFR10YS2034-09-05,94.35,0.00
PIBFR10YS2034-10-03,93.82,0.02
PIBFR10YS2034-11-14,92.91,-0.08
PIBFR2YQ2025-02-09,99.94,0.02
PIBFR2YQ2025-04-06,99.88,0.07
PIBFR2YQ2025-09-21,99.56,0.05
PIBFR2YS2026-10-03,99.72,0.02
PIBFR3YQ2025-04-07,100.10,0.00
PIBFR3YQ2025-09-08,99.92,0.11
PIBFR3YQ2026-02-09,99.54,0.19
PIBFR3YQ2026-09-21,99.06,0.05
PIBFR3YQ2026-10-19,98.79,0.01
PIBFR3YQ2027-02-07,98.69,0.00
PIBFR5YQ2025-10-22,99.27,-0.05
PIBFR5YS2025-06-18,100.49,0.00
PIBFR5YS2026-05-06,99.75,0.01
PIBFR5YS2027-11-17,97.78,0.16
PIBFR5YS2028-04-06,97.78,0.06
PIBFR5YS2028-08-10,97.87,-0.01
PIBFR5YS2028-09-21,98.05,0.03
PIBFR5YS2028-10-19,97.44,0.03
PIBFR5YS2028-12-14,97.40,-0.02
PIBFR5YS2029-02-07,97.99,0.03
PIBFR5YS2029-04-18,97.06,0.23
PIBFR5YS2029-06-27,97.04,-0.08
PIBFR5YS2029-09-05,97.79,0.01
PIBFR5YS2029-10-03,97.52,0.05
PIBFR5YS2029-11-14,96.81,0.10
