,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0,98.1,98.13,97.75,97.89,98.05,98.1,0,,98.00
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0,98.05,98.11,97.75,97.86,98,98.05,0,,97.97
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0,98.63,98.65,98.05,98.33,98.29,98.35,0,,98.38
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0,98.2,98.59,98.1,98.13,98.29,98.25,0,,98.26
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0,98.42,98.5,98.35,98.07,98.14,98.25,0,,98.29
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0,98.39,98.47,98.1,98.01,98.16,98.5,0,,98.27
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0,98.21,98.44,98.1,98.01,98.24,98.15,0,,98.19
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0,98.3,98.57,98.15,98.04,98.15,98.17,0,,98.23
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0,98.32,98.6,98.15,98.13,98.15,98.3,0,,98.28
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0,98.55,98.64,98.15,98.34,98.05,98.4,0,,98.36
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,0,100.11,100.18,100.15,100.28,100.18,100.1,0,,100.17
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,0,98.74,98.48,98.74,97.67,98.74,98.55,0,,98.49
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,0,98.71,98.39,99.11,98.94,98.34,98.4,0,,98.65
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,0,95.71,94.95,95,95.29,94.94,94.95,0,,95.14
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,0,98.95,98.91,99.12,98.98,98.97,98.96,0,,98.98
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,0,99.93,99.95,99.94,99.93,99.93,99.93,0,,99.94
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,0,99.6,99.5,99.56,99.54,99.55,99.5,0,,99.54
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,0,99.21,99.04,99.28,99.25,99.18,99.15,0,,99.19
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,0,99.93,99.91,99.88,99.93,99.84,99.9,0,,99.90
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,0,95.52,95.68,95.51,95.52,95.51,95.47,0,,95.54
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,0,97.53,97.53,97.53,97.53,97.41,97.52,0,,97.51
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,0,99.47,99.39,99.22,99.34,99.3,99.3,0,,99.34
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,0,98.76,98.73,98.73,98.74,98.92,98.75,0,,98.77
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,0,99.26,99.19,99.03,99.06,99.16,99.15,0,,99.14
PIB-FRB-25,6-Apr-23,6-Apr-28,Half-Yearly,0,96.98,97.02,97.02,96.96,97.02,97.18,0,,97.03
PIB-FRB-26,10-Aug-23,10-Aug-28,Half-Yearly,0,96.99,96.84,96.94,97.02,97.02,96.89,0,,96.95
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,0,98.79,98.8,98.41,98.55,98.82,98.7,0,,98.68
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,0,98.32,98.3,98.55,98.19,98.55,98.3,0,,98.37
PIB-FRB-29,21-Sep-23,21-Sep-28,Half-Yearly,0,96.66,96.72,96.65,96.78,96.52,96.6,0,,96.66
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,0,98.1,98.17,98.62,98.05,98.5,98.15,0,,98.27
PIB-FRB-31,19-Oct-23,19-Oct-28,Half-Yearly,0,96.8,96.87,96.79,96.87,96.74,96.79,0,,96.81
PIB-FRB-32,14-Dec-23,14-Dec-28,Half-Yearly,0,96.86,96.73,96.86,96.86,96.8,96.87,0,,96.83
PIB-FRB-33,14-Dec-23,14-Dec-33,Half-Yearly,0,94.9,94.85,94.71,94.39,94.9,94.9,0,,94.78
PIB-FRB-34,7-Feb-24,7-Feb-29,Half-Yearly,0,96.83,96.7,96.84,96.89,96.83,96.86,0,,96.83
PIB-FRB-35,7-Feb-24,7-Feb-34,Half-Yearly,0,94.82,95.08,94.85,94.46,94.97,94.8,0,,94.83
PIB-FRB-36,18-Apr-24,18-Apr-29,Half-Yearly,0,96.63,96.52,96.58,96.55,96.52,96.57,0,,96.56
PIB-FRB-37,18-Apr-24,18-Apr-34,Half-Yearly,0,95.04,94.85,94.83,94.71,94.64,95.04,0,,94.85
PIB-FRB-38,27-Jun-24,27-Jun-29,Half-Yearly,0,96.79,96.79,96.79,96.82,96.79,96.79,0,,96.80
