,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.10,98.17,98.04,97.88,97.87,0.00,97.94,97.85,,97.97
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.00,98.08,97.90,97.87,97.86,0.00,97.89,97.84,,97.90
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,97.90,98.52,98.26,98.44,98.43,0.00,98.38,98.40,,98.38
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,97.80,98.18,98.14,98.33,98.35,0.00,98.28,98.10,,98.21
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,97.70,98.13,97.99,98.40,98.42,0.00,98.32,97.90,,98.15
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.30,98.76,98.48,98.70,98.77,0.00,98.48,98.70,,98.62
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.05,98.21,98.38,98.22,98.21,0.00,98.13,98.20,,98.19
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,98.25,98.42,98.35,98.36,0.00,98.37,98.34,,98.33
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.47,98.22,98.22,98.36,98.38,0.00,98.35,98.37,,98.34
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.02,98.18,98.25,98.40,98.42,0.00,98.19,98.30,,98.26
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.85,99.91,99.89,99.88,99.89,0.00,99.90,99.87,,99.89
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.21,97.83,98.24,98.37,98.38,0.00,98.39,98.36,,98.31
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,97.00,98.54,98.56,98.40,98.39,0.00,98.41,98.37,,98.42
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.82,95.33,95.36,94.60,94.60,0.00,94.85,94.99,,94.92
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.37,98.28,98.41,98.31,98.43,0.00,98.43,98.39,,98.38
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.66,99.66,99.65,99.66,99.66,0.00,99.66,99.53,,99.66
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.05,99.18,99.15,99.13,99.14,0.00,99.13,99.12,,99.13
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,98.55,98.76,98.81,98.81,98.79,0.00,98.77,98.77,,98.78
PIB-FRB-19,8-Sep-22,8-Sep-24,Quarterly,99.55,99.60,99.60,99.57,99.61,0.00,96.61,99.58,,99.58
PIB-FRB-20,4-Nov-21,4-Nov-31,Half-Yearly,95.50,95.37,95.31,95.37,95.38,0.00,95.35,95.00,,95.36
PIB-FRB-21,17-Nov-22,17-Nov-27,Half-Yearly,97.05,96.96,97.15,97.15,97.19,0.00,97.19,97.10,,97.13
PIB-FRB-22,9-Feb-23,9-Feb-25,Quarterly,99.10,99.14,99.15,99.16,99.17,0.00,99.17,99.12,,99.15
PIB-FRB-23,9-Feb-23,9-Feb-26,Quarterly,98.39,98.31,98.49,98.50,98.52,0.00,98.48,98.47,,98.47
PIB-FRB-24,6-Apr-23,6-Apr-25,Quarterly,98.95,98.95,98.96,98.94,98.98,0.00,98.98,98.93,,98.96
PIB-FRB-25,6-Apr-23,6-Apr-28,Semiannually,96.85,96.87,96.97,97.05,96.90,0.00,96.90,97.11,,96.94
PIB-FRB-26,10-Aug-23,10-Aug-28,Semiannually,96.45,96.25,96.25,96.51,96.12,0.00,96.25,96.30,,96.30
PIB-FRB-27,21-Sep-23,21-Sep-25,Quarterly,98.40,98.50,98.50,98.49,98.55,0.00,98.55,98.46,,98.50
PIB-FRB-28,21-Sep-23,21-Sep-26,Quarterly,98.05,97.83,97.91,98.02,98.04,0.00,98.03,98.03,,98.01
PIB-FRB-29,21-Sep-23,21-Sep-28,Semiannually,96.15,96.31,96.19,96.20,96.21,0.00,96.21,96.15,,96.19
PIB-FRB-30,19-Oct-23,19-Oct-26,Quarterly,98.13,97.78,97.87,97.76,97.78,0.00,97.87,97.90,,97.84
PIB-FRB-31,19-Oct-23,19-Oct-28,Semiannually,96.35,96.66,96.67,96.80,96.67,0.00,96.67,96.80,,96.69
PIB-FRB-32,14-Dec-23,14-Dec-28,Semiannually,96.25,96.34,96.47,96.60,96.60,0.00,96.60,96.50,,96.50
PIB-FRB-33,14-Dec-23,14-Dec-33,Semiannually,94.30,94.55,94.92,95.00,95.00,0.00,94.84,95.00,,94.86
PIB-FRB-34,7-Feb-24,7-Feb-29,Semiannually,96.50,96.00,96.00,95.96,96.00,0.00,96.00,95.99,,96.00
PIB-FRB-35,7-Feb-24,7-Feb-34,Semiannually,94.31,94.30,94.23,94.15,94.14,0.00,94.23,94.20,,94.22
PIB-FRB-36,18-Apr-24,18-Apr-29,Semiannually,96.69,96.59,96.54,96.55,96.54,0.00,96.60,96.80,,96.59
PIB-FRB-37,18-Apr-24,18-Apr-34,Semiannually,94.35,94.48,94.79,94.30,95.05,0.00,94.67,94.37,,94.53
