,Issue Date,Maturity date,Coupon Frequency,AHL,BMA,CEL,CMKA,ICON,IONE,MCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,0.00,98.14,98.14,98.14,96.52,98.20,98.15,98.11,,98.14
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,0.00,98.12,98.12,98.10,96.61,98.10,98.15,98.10,,98.11
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,0.00,98.83,98.84,98.80,97.15,98.90,98.80,98.75,,98.80
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,0.00,98.80,99.00,98.83,96.99,99.00,99.00,98.85,,98.90
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,0.00,98.78,98.85,98.69,96.95,98.70,98.60,98.65,,98.68
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,0.00,98.79,98.80,98.71,96.92,98.75,98.80,98.74,,98.76
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,0.00,98.75,98.75,98.63,96.91,98.80,97.70,98.70,,98.51
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,0.00,98.80,98.90,98.80,97.20,99.00,97.70,98.75,,98.59
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,0.00,98.80,98.90,98.79,97.09,99.00,97.70,98.75,,98.59
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,0.00,98.80,96.65,98.74,97.05,98.95,98.80,98.75,,98.43
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,0.00,99.91,99.77,99.92,99.87,99.95,99.95,99.95,,99.92
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,0.00,99.76,99.95,99.72,98.23,99.75,99.75,99.75,,99.75
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,0.00,98.76,96.41,98.42,96.78,98.40,98.60,98.40,,98.12
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,0.00,99.30,99.27,99.30,99.36,99.30,99.28,99.27,,99.29
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,0.00,98.00,98.25,98.00,97.58,97.80,98.00,98.00,,97.96
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,0.00,96.47,96.60,95.86,93.61,96.00,96.25,96.25,,96.17
PIB-FRB-17,31-Dec-20,31-Dec-23,Half-Yearly,0.00,99.00,99.00,99.00,99.47,96.00,98.95,99.00,,98.99
PIB-FRB-18,6-May-21,6-May-26,Half-Yearly,0.00,96.70,96.73,96.63,96.49,96.64,96.60,96.60,,96.63
PIB-FRB-19,26-Aug-21,26-Aug-23,Quarterly,0.00,99.76,99.81,99.73,99.76,99.70,99.80,99.60,,99.75
PIB-FRB-20,7-Oct-21,7-Oct-24,Quarterly,0.00,98.40,98.48,98.47,98.49,98.50,98.40,98.39,,98.45
PIB-FRB-21,30-Dec-21,30-Dec-23,Quarterly,0.00,99.58,99.52,96.60,99.56,99.52,99.60,99.56,,99.55
PIB-FRB-22,7-Apr-22,7-Apr-25,Quarterly,0.00,98.08,98.15,98.12,98.13,98.16,98.15,98.11,,98.13
PIB-FRB-23,8-Sep-22,8-Sep-25,Quarterly,0.00,97.84,97.85,97.83,97.86,97.82,97.88,97.81,,97.84
PIB-FRB-24,8-Sep-22,8-Sep-24,Quarterly,0.00,99.03,99.07,99.06,99.04,99.00,99.01,99.06,,99.04
PIB-FRB-25,4-Nov-21,4-Nov-31,Half-Yearly,0.00,93.67,93.84,93.69,93.46,93.70,93.65,93.65,,93.67
PIB-FRB-26,17-Nov-22,17-Nov-27,Half-Yearly,0.00,95.45,95.45,99.45,94.98,95.45,95.45,95.45,,95.45
