,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.18,98.64,98.65,98.7,97.85,98.05,98.65,98.65,,98.56
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.23,98.6,98.65,98.6,98.03,98,98.6,98.65,,98.52
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.64,99.26,98.38,98.7,98.39,99.38,98.55,98.56,,98.68
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.53,99.05,98.37,98.55,98.24,99.49,98.47,98.37,,98.56
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.57,99.03,98.17,98.4,98.17,98.14,98.4,98.46,,98.36
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.4,98.7,98.24,98.4,98.24,98.16,98.36,98.37,,98.34
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.05,98.21,98.21,98.25,98.11,98.24,98.22,98.32,,98.21
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.46,99.22,98.52,98.5,98.54,98.15,98.42,98.49,,98.49
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.52,98.32,98.29,98.4,98.32,98.15,98.32,98.29,,98.32
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.55,98.55,98.55,98.55,98.26,99.62,98.55,98.51,,98.54
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.48,100.6,100.5,100.5,100.33,100.5,100.5,100.51,,100.5
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.98,100.04,99.96,99.9,99.96,99.85,99.95,99.97,,99.95
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.31,99.57,99.17,99.2,99.19,99.13,99.25,99.39,,99.25
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.96,95.66,95.31,95.3,95.14,94.94,95.35,95.68,,95.29
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.78,99.71,99.78,99.78,99.35,99.78,99.75,99.72,,99.75
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,100.09,100.11,100.1,100.1,100.15,100.03,100.06,100.1,,100.09
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.65,99.99,100.06,99.95,99.65,99.92,99.89,99.59,,99.84
PIB-FRB-18,4-Nov-21,4-Nov-31,Half-Yearly,94.72,95.04,94.84,95.05,94.84,94.84,95.05,94.68,,94.89
PIB-FRB-19,17-Nov-22,17-Nov-27,Half-Yearly,97.65,97.64,97.64,98.22,97.65,97.3,97.64,97.53,,97.63
PIB-FRB-20,9-Feb-23,9-Feb-25,Quarterly,99.93,99.93,99.94,99.94,99.94,99.93,99.94,99.86,,99.94
PIB-FRB-21,9-Feb-23,9-Feb-26,Quarterly,98.88,99.72,99.67,98.98,99.09,99.72,99.72,98.94,,99.35
PIB-FRB-22,6-Apr-23,6-Apr-25,Quarterly,99.75,99.86,99.74,99.89,99.89,99.91,99.88,99.75,,99.84
PIB-FRB-23,6-Apr-23,6-Apr-28,Half-Yearly,97.71,97.68,97.7,97.71,97.71,97.7,97.7,97.68,,97.7
