,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,43251,46904,Half-Yearly,98.15,98.1,97.87,97.75,97.88,98.05,98,98,,97.98
PIB-FRB-2,43279,46932,Half-Yearly,98.23,98.05,97.86,97.75,97.87,98,97.95,98.01,,97.96
PIB-FRB-3,43321,46974,Half-Yearly,98.3,98.52,98.43,98.05,98.36,98.29,98.35,98.3,,98.34
PIB-FRB-4,43517,47170,Half-Yearly,98.2,98.2,98.35,98.1,98.12,98.29,98.2,98.2,,98.2
PIB-FRB-5,43545,47198,Half-Yearly,98.15,98.15,98.42,98.35,98.01,98.14,98.15,98.2,,98.19
PIB-FRB-6,43573,47226,Half-Yearly,98.5,98.76,98.77,98.1,97.97,98.16,98.5,98.4,,98.4
PIB-FRB-7,43615,47268,Half-Yearly,98.1,98.21,98.21,98.1,98.02,98.24,98.22,98.15,,98.17
PIB-FRB-8,43643,47296,Half-Yearly,98.15,98.3,98.36,98.15,98.06,98.15,98.2,98.23,,98.2
PIB-FRB-9,43671,47324,Half-Yearly,98.4,98.25,98.38,98.15,98.18,98.15,98.25,98.25,,98.24
PIB-FRB-10,43699,47352,Half-Yearly,98.1,98.18,98.42,98.15,98.32,98.05,98.22,98.19,,98.19
PIB-FRB-11,44000,45826,Half-Yearly,99.85,99.98,99.89,99.9,99.75,99.92,99.9,99.86,,99.89
PIB-FRB-12,44000,11127,Half-Yearly,98.42,97.96,98.48,98.17,97.69,98.45,98.4,98.22,,98.27
PIB-FRB-13,44126,45952,Quarterly,98.2,98.71,98.39,98.35,98.91,98.34,98.35,98.38,,98.42
PIB-FRB-14,44126,11253,Quarterly,94.9,95.71,94.6,95,95.28,94.94,95,94.95,,95.01
PIB-FRB-15,44322,46148,Half-Yearly,98.4,98.67,98.74,98.74,98.74,98.7,98.8,98.62,,98.7
PIB-FRB-16,44476,45572,Quarterly,99.84,99.86,99.84,99.86,99.84,99.87,99.85,99.87,,99.85
PIB-FRB-17,44658,45754,Quarterly,99.1,99.35,99.32,99.39,99.34,98.85,99.32,99.2,,99.27
PIB-FRB-18,44812,45908,Quarterly,98.7,99,98.82,98.74,98.98,99.19,98.9,98.85,,98.88
PIB-FRB-19,44812,45543,Quarterly,99.67,99.82,99.78,99.73,99.79,99.77,99.74,98.7,,99.75
PIB-FRB-20,44504,11631,Half-Yearly,95.6,95.59,95.66,95.6,95.6,95.69,95.59,95.58,,95.61
PIB-FRB-21,44882,46708,Half-Yearly,97.15,97.61,97.27,97.72,97.37,97.38,97.39,97.2,,97.37
PIB-FRB-22,44966,45697,Quarterly,99.29,99.37,99.3,99.22,99.2,99.3,99.2,99.2,,99.25
PIB-FRB-23,44966,46062,Quarterly,98.45,98.72,98.52,98.52,98.62,98.97,98.52,98.51,,98.57
PIB-FRB-24,45022,45753,Quarterly,99.15,99.1,99.08,99.03,98.92,99.16,99.07,99.15,,99.1
PIB-FRB-25,45022,46849,Half-Yearly,97.09,97.2,97.22,97.2,97.1,97.2,97.17,97.05,,97.16
PIB-FRB-26,45148,46975,Half-Yearly,96.35,96.84,96.83,96.71,96.84,96.84,96.81,96.5,,96.76
PIB-FRB-27,45190,45921,Quarterly,98.75,98.57,98.64,98.41,98.48,98.82,98.63,98.5,,98.6
PIB-FRB-28,45190,46286,Quarterly,98.05,97.94,98.01,98.06,98.14,98.61,98.05,98.09,,98.07
PIB-FRB-29,45190,47017,Half-Yearly,96.25,96.71,96.7,96.58,96.25,96.7,96.57,96.3,,96.52
PIB-FRB-30,45218,46314,Quarterly,98.12,97.9,98.17,98.13,98.02,98.05,98.1,98.09,,98.09
PIB-FRB-31,45218,47045,Half-Yearly,96.77,96.9,96.95,96.95,96.82,96.95,97,96.81,,96.9
PIB-FRB-32,45274,47101,Half-Yearly,96.65,96.74,96.75,96.67,96.72,96.83,96.53,96.6,,96.69
PIB-FRB-33,45274,12402,Half-Yearly,94.52,94.91,95,94,94.4,94.9,94.94,94.5,,94.7
PIB-FRB-34,45329,47156,Half-Yearly,96.33,96.61,96.59,96.56,96.62,96.61,96.51,96.5,,96.56
PIB-FRB-35,45329,12457,Half-Yearly,94.5,94.82,95.08,94.34,94.67,94.97,94.55,94.5,,94.67
PIB-FRB-36,45400,47226,Half-Yearly,96.7,96.75,96.78,96.75,96.76,96.8,96.8,96.74,,96.76
PIB-FRB-37,45400,12527,Half-Yearly,95.04,94.82,95.05,94.63,94.68,95.01,96.67,94.81,,94.9
PIB-FRB-38,45470,47296,Half-Yearly,96.6,96.68,96.66,96.66,96.69,96.65,96.65,96.57,,96.65
