Bond Code,Price,Net Change,,,
PIBFR10YQ2030-10-22,95.82,0.12,,,
PIBFR10YQ2033-12-14,94.05,0.25,,,
PIBFR10YS2028-05-31,99.25,0.14,,,
PIBFR10YS2028-06-28,99.21,0.13,,,
PIBFR10YS2028-08-09,99.15,0.08,,,
PIBFR10YS2029-02-21,99.09,0.13,,,
PIBFR10YS2029-03-21,98.87,0.10,,,
PIBFR10YS2029-04-18,98.77,0.14,,,
PIBFR10YS2029-05-30,98.42,0.10,,,
PIBFR10YS2029-06-27,98.70,0.18,,,
PIBFR10YS2029-07-25,98.55,0.11,,,
PIBFR10YS2029-08-22,98.98,0.00,,,
PIBFR10YS2030-06-18,100.20,0.09,,,
PIBFR10YS2031-11-04,96.26,-0.01,,,
PIBFR10YS2034-02-07,94.02,0.31,,,
PIBFR10YS2034-04-18,94.30,0.28,,,
PIBFR10YS2034-09-05,93.77,0.11,,,
PIBFR10YS2034-10-03,93.64,0.27,,,
PIBFR10YS2034-11-14,94.02,0.37,,,
PIBFR10YS2034-12-12,93.84,0.26,,,
PIBFR10YS2035-01-09,93.62,0.13,,,
PIBFR10YS2035-04-17,93.80,0.08,,,
PIBFR2YQ2025-09-21,99.88,0.02,,,
PIBFR2YS2026-10-03,99.76,-0.01,,,
PIBFR2YS2027-01-09,99.81,-0.06,,,
PIBFR3YQ2025-09-08,99.91,0.03,,,
PIBFR3YQ2026-02-09,99.75,0.04,,,
PIBFR3YQ2026-09-21,99.24,0.01,,,
PIBFR3YQ2026-10-19,99.46,0.08,,,
PIBFR3YQ2027-02-07,99.00,0.06,,,
PIBFR5YQ2025-10-22,99.77,0.04,,,
PIBFR5YS2025-06-18,100.05,0.01,,,
PIBFR5YS2026-05-06,100.09,0.03,,,
PIBFR5YS2027-11-17,98.64,0.02,,,
PIBFR5YS2028-04-06,98.29,0.02,,,
PIBFR5YS2028-08-10,97.79,0.01,,,
PIBFR5YS2028-09-21,97.76,0.01,,,
PIBFR5YS2028-10-19,98.02,0.01,,,
PIBFR5YS2028-12-14,97.66,0.01,,,
PIBFR5YS2029-02-07,97.62,0.05,,,
PIBFR5YS2029-04-18,97.75,-0.01,,,
PIBFR5YS2029-06-27,97.44,-0.02,,,
PIBFR5YS2029-09-05,97.29,-0.02,,,
PIBFR5YS2029-10-03,97.29,-0.01,,,
PIBFR5YS2029-11-14,97.45,0.02,,,
PIBFR5YS2029-12-12,97.14,-0.01,,,
PIBFR5YS2030-01-09,97.22,-0.05,,,
PIBFR5YS2030-04-17,97.43,0.05,,,
