Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,97.57,-0.01
PIBFR10YS2028-05-31,99.87,-0.05
PIBFR10YS2028-06-28,99.82,-0.04
PIBFR10YS2028-08-09,100.16,-0.03
PIBFR10YS2029-02-21,100.39,-0.07
PIBFR10YS2029-03-21,100.22,-0.06
PIBFR10YS2029-04-18,100.17,-0.06
PIBFR10YS2029-05-30,100.12,-0.06
PIBFR10YS2029-06-27,100.26,-0.05
PIBFR10YS2029-07-25,100.36,-0.07
PIBFR10YS2029-08-22,100.56,-0.13
PIBFR10YS2030-06-18,100.53,-0.09
PIBFR10YS2031-11-04,97.50,-0.02
PIBFR10YS2033-12-14,95.76,-0.09
PIBFR10YS2034-02-07,95.57,-0.06
PIBFR10YS2034-04-18,95.81,-0.03
PIBFR10YS2034-09-05,95.55,-0.04
PIBFR10YS2034-10-03,95.63,-0.07
PIBFR10YS2034-11-14,95.60,-0.17
PIBFR10YS2034-12-12,95.63,-0.07
PIBFR10YS2035-01-09,95.46,-0.05
PIBFR10YS2035-04-17,95.52,-0.11
PIBFR10YS2035-05-29,95.34,-0.20
PIBFR10YS2035-07-10,95.20,-0.33
PIBFR2YS2026-10-03,99.82,0.01
PIBFR2YS2027-01-09,99.78,-0.04
PIBFR3YQ2026-02-09,99.95,0.01
PIBFR3YQ2026-09-21,99.78,-0.02
PIBFR3YQ2026-10-19,99.69,-0.02
PIBFR3YQ2027-02-07,99.49,-0.02
PIBFR5YQ2025-10-22,99.98,0.00
PIBFR5YS2026-05-06,99.99,0.00
PIBFR5YS2027-11-17,99.44,-0.04
PIBFR5YS2028-04-06,98.96,0.00
PIBFR5YS2028-08-10,98.76,0.00
PIBFR5YS2028-09-21,98.63,-0.01
PIBFR5YS2028-10-19,98.70,0.02
PIBFR5YS2028-12-14,98.64,-0.02
PIBFR5YS2029-02-07,98.43,-0.03
PIBFR5YS2029-04-18,98.47,-0.02
PIBFR5YS2029-06-27,98.39,-0.03
PIBFR5YS2029-09-05,98.32,-0.05
PIBFR5YS2029-10-03,98.35,-0.03
PIBFR5YS2029-11-14,98.44,-0.04
PIBFR5YS2029-12-12,98.42,-0.07
PIBFR5YS2030-01-09,98.31,-0.05
PIBFR5YS2030-04-17,98.22,-0.10
