,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,99.18,98.64,99.18,98.8,99.18,98.64,98.7,98.65,,98.86
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,99.17,98.6,99.16,98.8,99.17,98.6,98.7,98.65,,98.85
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.62,99.26,98.62,99,100.25,99.3,99,98.63,,98.97
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.47,99.05,98.77,98.85,100.29,99,98.8,98.55,,98.84
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.64,99.03,98.56,98.7,100.26,98.7,98.68,98.57,,98.72
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.47,98.7,98.45,98.6,100.26,98.55,98.55,98.41,,98.55
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.08,98.21,98.22,98.25,100.26,98.24,98.22,98.21,,98.23
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.25,99.22,98.18,98.45,100.28,98.2,98.4,98.51,,98.51
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.39,98.32,98.32,98.45,100.97,98.3,98.32,98.35,,98.36
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.46,98.55,98.5,98.85,100.32,99.62,98.55,98.57,,98.77
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,100.1,100.3,100.07,100.25,100.01,100.3,100.25,100.33,,100.21
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,99.95,100.04,99.96,100,100.52,100,100,99.99,,100
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,99.66,99.62,99.67,99.55,99.67,99.55,99.62,99.67,,99.63
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.67,95.66,94.83,95.35,95.63,95.6,95.5,95.59,,95.42
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,99.75,99.74,99.74,99.75,99.77,99.72,99.74,99.8,,99.75
PIB-FRB-16,7-Apr-22,7-Apr-25,Quarterly,99.97,99.95,99.98,99.95,99.98,99.95,99.96,99.96,,99.96
PIB-FRB-17,8-Sep-22,8-Sep-25,Quarterly,99.86,99.83,99.74,99.99,99.81,99.8,99.85,99.87,,99.84
