,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,C&M,CEL,ICON,IONE,PCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,98.15,0,98.13,98,97.91,98.05,98.05,98.13,,98.07
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,98.23,0,98.11,98,97.86,98,98,98.11,,98.04
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,98.3,0,98.65,98.25,98.3,98.29,98.3,98.37,,98.31
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,98.2,0,98.59,98.2,98.09,98.29,98.2,98.27,,98.23
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,98.15,0,98.5,98.25,98.15,98.14,98.15,98.25,,98.19
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,98.5,0,98.47,98.25,98.06,98.16,98.4,98.47,,98.35
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,98.1,0,98.44,98.2,98.03,98.24,98.2,98.21,,98.19
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,98.15,0,98.57,98.2,98.04,98.15,98.15,98.17,,98.16
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,98.4,0,98.6,98.2,98.1,98.15,98.3,98.29,,98.27
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,98.1,0,98.64,98.2,98.03,98.05,98.35,98.37,,98.21
PIB-FRB-11,18-Jun-20,18-Jun-25,Half-Yearly,99.95,0,100.18,100.15,100.24,100.2,100.18,100.15,,100.17
PIB-FRB-12,18-Jun-20,18-Jun-30,Half-Yearly,98.42,0,98.48,98.74,98.83,98.74,98.45,98.53,,98.59
PIB-FRB-13,22-Oct-20,22-Oct-25,Quarterly,98.3,0,98.39,99.11,98.99,98.34,98.35,98.45,,98.50
PIB-FRB-14,22-Oct-20,22-Oct-30,Quarterly,94.9,0,94.95,95,95.31,94.94,94.95,95.03,,94.97
PIB-FRB-15,6-May-21,6-May-26,Half-Yearly,98.87,0,98.8,99.09,99.02,99.02,98.9,98.97,,98.96
PIB-FRB-16,7-Oct-21,7-Oct-24,Quarterly,99.94,0,99.94,99.94,99.96,99.93,99.93,99.93,,99.94
PIB-FRB-17,7-Apr-22,7-Apr-25,Quarterly,99.55,0,99.5,99.56,99.59,99.47,99.55,99.57,,99.55
PIB-FRB-18,8-Sep-22,8-Sep-25,Quarterly,99.35,0,99.18,9.14,99.14,99.1,99.18,99.27,,99.17
PIB-FRB-19,4-Nov-21,4-Nov-31,Half-Yearly,95.6,0,95.5,95.55,95.56,95.58,95.6,95.65,,95.58
PIB-FRB-20,17-Nov-22,17-Nov-27,Half-Yearly,97.3,0,97.55,97.55,97.58,97.45,97.52,97.57,,97.53
PIB-FRB-21,9-Feb-23,9-Feb-25,Quarterly,99.29,0,99.39,99.22,99.41,99.3,99.3,99.34,,99.32
PIB-FRB-22,9-Feb-23,9-Feb-26,Quarterly,98.55,0,98.73,98.73,98.78,98.74,98.73,98.77,,98.74
PIB-FRB-23,6-Apr-23,6-Apr-25,Quarterly,99.15,0,99.19,99.03,99.16,99.16,99.15,99.17,,99.16
PIB-FRB-24,6-Apr-23,6-Apr-28,Half-Yearly,97.23,0,96.99,97.04,97.04,97.05,97.02,97.07,,97.04
PIB-FRB-25,10-Aug-23,10-Aug-28,Half-Yearly,97.2,0,97.43,97.45,97.42,97.45,97.35,97.45,,97.42
PIB-FRB-26,21-Sep-23,21-Sep-25,Quarterly,98.75,0,98.8,98.41,98.64,98.82,98.78,98.75,,98.74
PIB-FRB-27,21-Sep-23,21-Sep-26,Quarterly,98.2,0,98.3,98.55,98.26,98.36,98.32,98.33,,98.31
PIB-FRB-28,21-Sep-23,21-Sep-28,Half-Yearly,96.25,0,96.84,96.82,96.74,96.85,96.82,96.71,,96.79
PIB-FRB-29,19-Oct-23,19-Oct-26,Quarterly,98.28,0,98.45,98.31,98.44,98.29,98.35,98.37,,98.35
PIB-FRB-30,19-Oct-23,19-Oct-28,Half-Yearly,96.77,0,96.65,96.73,96.74,96.72,96.72,96.77,,96.74
PIB-FRB-31,14-Dec-23,14-Dec-28,Half-Yearly,96.88,0,97.15,97.14,97.02,97.3,97.02,97.03,,97.07
PIB-FRB-32,14-Dec-23,14-Dec-33,Half-Yearly,94.52,0,94.85,94.71,94.39,94.88,94.55,94.57,,94.64
PIB-FRB-33,7-Feb-24,7-Feb-29,Half-Yearly,96.33,0,97.1,97.24,97.29,97.29,97.1,97.29,,97.20
PIB-FRB-34,7-Feb-24,7-Feb-34,Half-Yearly,94.5,0,95.08,94.6,94.4,94.79,94.75,94.8,,94.69
PIB-FRB-35,18-Apr-24,18-Apr-29,Half-Yearly,96.46,0,96.53,96.53,96.54,96.52,96.51,96.55,,96.53
PIB-FRB-36,18-Apr-24,18-Apr-34,Half-Yearly,95.04,0,94.85,94.83,94.68,94.71,94.85,95.05,,94.86
PIB-FRB-37,27-Jun-24,27-Jun-29,Half-Yearly,97.03,0,97.2,97.12,97.2,97.14,97.08,97.23,,97.15
PIB-FRB-38,5-Sep-24,5-Sep-29,Half-Yearly,96.77,0,96.99,96.83,96.83,97.01,96.98,97.07,,96.93
PIB-FRB-39,5-Sep-24,5-Sep-34,Half-Yearly,94.05,0,94.26,94.26,94.09,94.17,94.25,94.55,,94.21
