Bond Code,Price,Net Change
PIBFR10YQ2030-10-22,95.43,-0.06
PIBFR10YQ2033-12-14,93.27,0.04
PIBFR10YS2028-05-31,99.00,0.12
PIBFR10YS2028-06-28,98.99,0.13
PIBFR10YS2028-08-09,98.82,-0.15
PIBFR10YS2029-02-21,98.76,-0.09
PIBFR10YS2029-03-21,98.63,-0.08
PIBFR10YS2029-04-18,98.53,-0.03
PIBFR10YS2029-05-30,98.23,0.00
PIBFR10YS2029-06-27,98.41,-0.10
PIBFR10YS2029-07-25,98.38,0.02
PIBFR10YS2029-08-22,98.67,-0.24
PIBFR10YS2030-06-18,99.99,-0.01
PIBFR10YS2031-11-04,95.31,0.03
PIBFR10YS2034-02-07,93.48,0.04
PIBFR10YS2034-04-18,93.64,0.02
PIBFR10YS2034-09-05,92.79,-0.20
PIBFR10YS2034-10-03,93.39,-0.35
PIBFR10YS2034-11-14,93.22,0.01
PIBFR10YS2034-12-12,93.17,0.00
PIBFR10YS2035-01-09,92.89,0.04
PIBFR2YQ2025-04-06,99.98,0.02
PIBFR2YQ2025-09-21,99.66,0.01
PIBFR2YS2026-10-03,99.77,-0.01
PIBFR2YS2027-01-09,99.96,0.00
PIBFR3YQ2025-04-07,99.99,0.02
PIBFR3YQ2025-09-08,99.83,0.00
PIBFR3YQ2026-02-09,99.57,0.00
PIBFR3YQ2026-09-21,99.14,0.03
PIBFR3YQ2026-10-19,99.11,0.01
PIBFR3YQ2027-02-07,98.78,-0.02
PIBFR5YQ2025-10-22,99.69,0.03
PIBFR5YS2025-06-18,100.15,-0.03
PIBFR5YS2026-05-06,99.74,0.01
PIBFR5YS2027-11-17,98.69,0.05
PIBFR5YS2028-04-06,97.78,0.04
PIBFR5YS2028-08-10,97.46,0.01
PIBFR5YS2028-09-21,97.54,-0.04
PIBFR5YS2028-10-19,97.43,0.00
PIBFR5YS2028-12-14,97.44,0.04
PIBFR5YS2029-02-07,97.03,-0.01
PIBFR5YS2029-04-18,97.06,0.01
PIBFR5YS2029-06-27,97.05,0.01
PIBFR5YS2029-09-05,96.84,0.00
PIBFR5YS2029-10-03,96.87,-0.05
PIBFR5YS2029-11-14,97.40,0.01
PIBFR5YS2029-12-12,96.89,-0.02
PIBFR5YS2030-01-09,96.82,0.01
